date,Symbol,GICS Sector,date_plus_28,date_plus_7,date_plus_1,Price,price_plus_28,price_plus_7,price_plus_1,return_28,return_7,return_1,rating_28,rating_7,rating_1,predict_return_1_logReg
10/27/2020,MMM,Industrials,11/24/2020,11/3/2020,10/28/2020,161.0299988,177.0800018,165.5099945,158.5299988,0.099670888,0.027820877,-0.015525058,buy,hold,hold,hold
7/28/2020,MMM,Industrials,8/25/2020,8/4/2020,7/29/2020,155.3300018,163.1000061,151.2100067,156.25,0.05002256,-0.026524143,0.005922862,buy,hold,hold,hold
4/28/2020,MMM,Industrials,5/26/2020,5/5/2020,4/29/2020,157.6100006,152.0800018,147.4299927,156.2599945,-0.035086598,-0.06458986,-0.008565485,sell,sell,hold,hold
1/28/2020,MMM,Industrials,2/25/2020,2/4/2020,1/29/2020,165.5800018,146.8500061,157.2400055,162,-0.113117499,-0.050368379,-0.02162098,sell,sell,hold,hold
10/24/2019,MMM,Industrials,11/21/2019,10/31/2019,10/25/2019,161.8899994,165.1399994,164.9900055,166.0899963,0.02007536,0.019148843,0.025943523,hold,hold,hold,hold
7/25/2019,MMM,Industrials,8/22/2019,8/1/2019,7/26/2019,178.1300049,160.8800049,173.3600006,173.9799957,-0.096839384,-0.026778219,-0.023297642,sell,hold,hold,hold
10/21/2020,ABT,Health Care,11/18/2020,10/28/2020,10/22/2020,105.9300003,109.7699966,106.4199982,109.4800034,0.036250319,0.004625676,0.033512726,buy,hold,buy,hold
7/16/2020,ABT,Health Care,8/13/2020,7/23/2020,7/17/2020,96.40000153,101.0999985,100.8199997,99.25,0.048755154,0.045850603,0.029564299,buy,buy,hold,hold
4/16/2020,ABT,Health Care,5/14/2020,4/23/2020,4/17/2020,96,91.77999878,93.94000244,96.01000214,-0.043958346,-0.021458308,0.000104189,sell,hold,hold,hold
1/22/2020,ABT,Health Care,2/19/2020,1/29/2020,1/23/2020,91.86000061,89.36000061,89.13999939,90.73000336,-0.027215327,-0.02961029,-0.012301298,hold,hold,hold,hold
10/16/2019,ABT,Health Care,11/13/2019,10/23/2019,10/17/2019,81.77999878,84.22000122,81.26999664,82.37999725,0.029836176,-0.00623627,0.007336739,hold,hold,hold,hold
7/17/2019,ABT,Health Care,8/14/2019,7/24/2019,7/18/2019,85.76000214,83.94000244,88.58999634,87.76000214,-0.021222011,0.032998999,0.023320895,hold,buy,hold,hold
4/17/2019,ABT,Health Care,5/15/2019,4/24/2019,4/18/2019,72.87999725,76.51000214,76.75,73.91999817,0.049807972,0.053101028,0.014270046,buy,buy,hold,hold
1/23/2019,ABT,Health Care,2/20/2019,1/30/2019,1/24/2019,69.91000366,75.54000092,71.68000031,70.86000061,0.080532069,0.025318217,0.013588856,buy,hold,hold,hold
10/17/2018,ABT,Health Care,11/14/2018,10/24/2018,10/18/2018,70.23000336,69.41000366,66.94000244,68.13999939,-0.011675917,-0.046846088,-0.029759417,hold,sell,hold,hold
7/18/2018,ABT,Health Care,8/15/2018,7/25/2018,7/19/2018,64.75,63.47000122,65.23000336,63.77999878,-0.019768321,0.007413179,-0.014980714,hold,hold,hold,hold
10/30/2020,ABBV,Health Care,11/27/2020,11/6/2020,10/31/2020,85.09999847,104.8899994,92.84999847,88.25,0.232549956,0.091069332,0.037015295,buy,buy,buy,hold
7/31/2020,ABBV,Health Care,8/28/2020,8/7/2020,8/1/2020,94.91000366,94.16999817,92.91999817,95.94000244,-0.007796918,-0.020967289,0.010852373,hold,hold,hold,hold
5/1/2020,ABBV,Health Care,5/29/2020,5/8/2020,5/2/2020,82.83999634,92.66999817,83.95999908,81.86000061,0.118662509,0.013520072,-0.011829983,buy,hold,hold,hold
2/7/2020,ABBV,Health Care,3/6/2020,2/14/2020,2/8/2020,92.29000092,88.81999969,94.05000305,94.75,-0.037598886,0.019070345,0.026655099,sell,hold,hold,hold
11/1/2019,ABBV,Health Care,11/29/2019,11/8/2019,11/2/2019,81.75,87.73000336,85.20999908,82.98999786,0.073149888,0.042324148,0.01516817,buy,buy,hold,hold
7/26/2019,ABBV,Health Care,8/23/2019,8/2/2019,7/27/2019,67.76000214,65.97000122,65.34999847,67.18000031,-0.026416778,-0.035566759,-0.008559649,hold,sell,hold,hold
4/25/2019,ABBV,Health Care,5/23/2019,5/2/2019,4/26/2019,79.33999634,81.15000153,78.47000122,79.69999695,0.022813275,-0.010965404,0.004537442,hold,hold,hold,hold
10/29/2020,ABMD,Health Care,11/26/2020,11/5/2020,10/30/2020,254.6100006,271.8999939,272.3999939,251.8800049,0.067907754,0.069871542,-0.010722264,buy,buy,hold,hold
8/6/2020,ABMD,Health Care,9/3/2020,8/13/2020,8/7/2020,314.980011,294.0100098,308.3699951,310.8200073,-0.066575657,-0.020985509,-0.013207199,sell,hold,hold,hold
4/30/2020,ABMD,Health Care,5/28/2020,5/7/2020,5/1/2020,191.25,217.3600006,188.3300018,183.4900055,0.136522879,-0.015267964,-0.040575135,buy,hold,sell,hold
2/6/2020,ABMD,Health Care,3/5/2020,2/13/2020,2/7/2020,196.0099945,154.5099945,164.8000031,186.9100037,-0.211723898,-0.159226531,-0.046426157,sell,sell,sell,hold
10/31/2019,ABMD,Health Care,11/28/2019,11/7/2019,11/1/2019,207.5800018,196.1799927,219.1300049,216.7899933,-0.054918629,0.055641213,0.044368395,sell,buy,buy,hold
8/1/2019,ABMD,Health Care,8/29/2019,8/8/2019,8/2/2019,204.8699951,192.0099945,191.6999969,200.6199951,-0.062771518,-0.064284661,-0.020744863,sell,sell,hold,hold
5/2/2019,ABMD,Health Care,5/30/2019,5/9/2019,5/3/2019,264.769989,266.3900146,261.9400024,271.75,0.006118615,-0.010688472,0.026362546,hold,hold,hold,hold
1/31/2019,ABMD,Health Care,2/28/2019,2/7/2019,2/1/2019,351.0700073,334.5,341.6099854,351.0799866,-0.047198584,-0.026946255,2.84E-05,sell,hold,hold,hold
12/17/2020,ACN,Information Technology,1/14/2021,12/24/2020,12/18/2020,264.4700012,,257.2999878,266.25,,-0.027110876,0.006730437,hold,hold,hold,hold
9/24/2020,ACN,Information Technology,10/22/2020,10/1/2020,9/25/2020,214.4199982,228.1399994,225.1799927,214.6300049,0.063986575,0.050181861,0.000979418,buy,buy,hold,hold
6/25/2020,ACN,Information Technology,7/23/2020,7/2/2020,6/26/2020,217.3200073,222.3000031,215.7200012,212.4700012,0.022915496,-0.007362443,-0.022317347,hold,hold,hold,hold
3/19/2020,ACN,Information Technology,4/16/2020,3/26/2020,3/20/2020,158.5,167.9499969,171.3399963,149.9400024,0.059621432,0.081009441,-0.054006294,buy,buy,sell,hold
12/19/2019,ACN,Information Technology,1/16/2020,12/26/2019,12/20/2019,208.3000031,208.9799957,212.0500031,211.1000061,0.003264487,0.01800288,0.013442165,hold,hold,hold,hold
9/26/2019,ACN,Information Technology,10/24/2019,10/3/2019,9/27/2019,192.1199951,185,185.8099976,191.3800049,-0.037060146,-0.032844044,-0.003851709,sell,sell,hold,hold
6/27/2019,ACN,Information Technology,7/25/2019,7/4/2019,6/28/2019,183,194.9700012,191.3899994,184.7700043,0.065409843,0.045846991,0.009672154,buy,buy,hold,hold
3/28/2019,ACN,Information Technology,4/25/2019,4/4/2019,3/29/2019,175.1199951,179.9499969,177.1600037,176.0200043,0.027581098,0.011649204,0.005139385,hold,hold,hold,hold
12/20/2018,ACN,Information Technology,1/17/2019,12/27/2018,12/21/2018,143.5,149.1199951,140.4100037,137.1999969,0.039163729,-0.021533076,-0.04390246,buy,hold,sell,hold
9/27/2018,ACN,Information Technology,10/25/2018,10/4/2018,9/28/2018,170.0500031,156.9199982,171.8600006,170.1999969,-0.077212612,0.010643914,0.000882058,sell,hold,hold,hold
6/28/2018,ACN,Information Technology,7/26/2018,7/5/2018,6/29/2018,164.5,165.1699982,164.8000031,163.5899963,0.004072937,0.001823727,-0.005531937,hold,hold,hold,hold
