Symbol,Sample Time,Open,High,Low,Close,Volume,HighShort,LowLong,LowShort
NQ=F,1/20/2015 5:00,4138.75,4175.25,4109,4167,347445,63,37,60
NQ=F,1/21/2015 5:00,4166,4205.25,4137,4182.75,327200,65,35,62
NQ=F,1/22/2015 5:00,4183.75,4269,4164.5,4264.75,338354,64,36,58
NQ=F,1/23/2015 5:00,4265.5,4286.25,4250.25,4267,227200,63,37,55
NQ=F,1/26/2015 5:00,4249.5,4278.25,4231.5,4269.25,187612,63,37,62
NQ=F,1/27/2015 5:00,4266.75,4271,4142.75,4177.5,363818,62,38,49
NQ=F,1/28/2015 5:00,4206,4234.5,4119.5,4124.25,363115,60,40,50
NQ=F,1/29/2015 5:00,4125,4199.75,4095.75,4185.75,358572,61,39,56
NQ=F,1/30/2015 5:00,4203.5,4208,4136,4141.25,345604,63,37,58
NQ=F,2/2/2015 5:00,4143.5,4188,4085.5,4185.5,353848,61,39,56
NQ=F,2/3/2015 5:00,4180.75,4222.75,4165.75,4216.25,283374,60,40,60
NQ=F,2/4/2015 5:00,4207.75,4243,4187.5,4204,269497,62,38,58
NQ=F,2/5/2015 5:00,4191,4254.75,4181.5,4247.5,200569,62,38,59
NQ=F,2/6/2015 5:00,4251,4268.25,4209.75,4227.5,253335,63,37,60
NQ=F,2/9/2015 5:00,4226.5,4232,4201.5,4214.25,198223,63,37,55
NQ=F,2/10/2015 5:00,4219,4284,4211,4276,225792,61,39,56
NQ=F,2/11/2015 5:00,4278.25,4322,4271,4296.5,207031,61,39,60
NQ=F,2/12/2015 5:00,4308.5,4346.5,4285.75,4344.75,219353,60,40,59
NQ=F,2/13/2015 5:00,4342.75,4382,4340.75,4377,190386,61,39,56
NQ=F,2/17/2015 5:00,4373.5,4388.5,4364.5,4381.75,194620,59,41,55
NQ=F,2/18/2015 5:00,4384.5,4393.5,4373.75,4386,146465,60,40,55
NQ=F,2/19/2015 5:00,4390.25,4417.25,4376,4413.25,168236,61,39,57
NQ=F,2/20/2015 5:00,4416.25,4445,4396,4438,235154,58,42,57
NQ=F,2/23/2015 5:00,4439.75,4449.25,4429.75,4444.5,133132,57,43,55
NQ=F,2/24/2015 5:00,4445.25,4455.75,4427,4450.25,163047,63,37,55
NQ=F,2/25/2015 5:00,4449.25,4461,4429.25,4436.75,173941,64,36,60
NQ=F,2/26/2015 5:00,4438.5,4464.75,4431,4461.75,193611,64,36,61
NQ=F,2/27/2015 5:00,4460.5,4462.75,4435,4442.5,173304,66,34,62
NQ=F,3/2/2015 5:00,4447,4483.25,4446.25,4477,185330,66,34,65
NQ=F,3/3/2015 5:00,4479,4479,4432.5,4456.5,198589,67,33,63
NQ=F,3/4/2015 5:00,4458.25,4458.25,4419.25,4444.25,210995,67,33,64
NQ=F,3/5/2015 5:00,4444.25,4464.75,4432.75,4449.5,185176,69,31,66
NQ=F,3/6/2015 5:00,4451.5,4460.5,4389.25,4405,296605,69,31,66
NQ=F,3/9/2015 4:00,4411.75,4424.75,4391.75,4413.5,217756,67,33,66
NQ=F,3/10/2015 4:00,4415.25,4415.75,4328.5,4331.25,313249,66,34,66
NQ=F,3/11/2015 4:00,4334.25,4347.5,4304.25,4307.5,260964,66,34,65
NQ=F,3/12/2015 4:00,4312.5,4339.5,4298.75,4330.75,269241,66,34,62
NQ=F,3/13/2015 4:00,4331.75,4347.5,4288.25,4308.75,218259,63,37,60
NQ=F,3/16/2015 4:00,4313.5,4372.75,4299.5,4359.5,119758,66,34,62
NQ=F,3/17/2015 4:00,4355.5,4384.75,4348.75,4377.75,118898,69,31,65
NQ=F,3/18/2015 4:00,4377.25,4441.5,4343.25,4427.25,75864,69,31,69
NQ=F,3/19/2015 4:00,4427.5,4441.75,4419.5,4429.5,39157,70,30,68
NQ=F,3/20/2015 4:00,4426.25,4467.25,4424.25,4461.25,210568,70,30,67
NQ=F,3/23/2015 4:00,4448.5,4461.25,4436,4436.75,149739,68,32,64
NQ=F,3/24/2015 4:00,4436.5,4461,4424.25,4429,184226,67,33,66
NQ=F,3/25/2015 4:00,4429.25,4438.5,4320,4323.5,320355,67,33,65
NQ=F,3/26/2015 4:00,4327,4331,4270,4310.75,356229,66,34,64
NQ=F,3/27/2015 4:00,4313,4333.5,4297.25,4325.75,209529,64,36,61
NQ=F,3/30/2015 4:00,4327.5,4381.75,4315.75,4372.5,202012,65,35,62
NQ=F,3/31/2015 4:00,4370,4375.75,4320.75,4329.5,224928,67,33,63
NQ=F,4/1/2015 4:00,4321.75,4334.25,4259,4313,311506,68,32,67
NQ=F,4/2/2015 4:00,4316.75,4321,4288.5,4307.25,168845,69,31,65
NQ=F,4/6/2015 4:00,4265,4354.75,4264.5,4342.25,154026,67,33,67
NQ=F,4/7/2015 4:00,4339.75,4372.25,4330.25,4334,171692,68,32,64
NQ=F,4/8/2015 4:00,4335.25,4379.25,4327.5,4374.75,225547,67,33,63
NQ=F,4/9/2015 4:00,4378,4401.25,4352.75,4399.25,201439,65,35,62
NQ=F,4/10/2015 4:00,4399,4416,4385.75,4414.75,126565,67,33,64
NQ=F,4/13/2015 4:00,4415,4441.5,4399.5,4403.25,171930,67,33,66
NQ=F,4/14/2015 4:00,4405.5,4414.5,4366.75,4397.75,220750,67,33,67
