Actual,pred,PredLag,stock,Date
1258.4100341796875,1249.4824,1250.9401,GOOGL,2020-04-22
1271.1700439453125,1250.9401,1252.8271,GOOGL,2020-04-23
1276.5999755859375,1252.8271,1256.2587,GOOGL,2020-04-24
1270.8599853515625,1256.2587,1260.2814,GOOGL,2020-04-27
1232.5899658203125,1260.2814,1261.2906,GOOGL,2020-04-28
1342.1800537109375,1261.2906,1266.6985,GOOGL,2020-04-29
1346.699951171875,1266.6985,1277.9298,GOOGL,2020-04-30
1317.3199462890625,1277.9298,1290.2839,GOOGL,2020-05-01
1322.9000244140625,1290.2839,1301.1132,GOOGL,2020-05-04
1349.02001953125,1301.1132,1311.313,GOOGL,2020-05-05
1345.4300537109375,1311.313,1320.597,GOOGL,2020-05-06
1369.280029296875,1320.597,1330.1323,GOOGL,2020-05-07
1384.3399658203125,1330.1323,1340.6682,GOOGL,2020-05-08
1403.5899658203125,1340.6682,1352.695,GOOGL,2020-05-11
1375.1800537109375,1352.695,1362.9971,GOOGL,2020-05-12
1348.3299560546875,1362.9971,1368.3007,GOOGL,2020-05-13
1356.8599853515625,1368.3007,1369.4574,GOOGL,2020-05-14
1373.06005859375,1369.4574,1369.3882,GOOGL,2020-05-15
1385.1800537109375,1369.3882,1370.3662,GOOGL,2020-05-18
1374.4000244140625,1370.3662,1371.8698,GOOGL,2020-05-19
1409.1600341796875,1371.8698,1375.7506,GOOGL,2020-05-20
1406.75,1375.7506,1381.4967,GOOGL,2020-05-21
1413.239990234375,1381.4967,1388.2537,GOOGL,2020-05-22
1421.3699951171875,1388.2537,1395.5074,GOOGL,2020-05-26
1420.280029296875,1395.5074,1402.369,GOOGL,2020-05-27
1418.239990234375,1402.369,1408.0414,GOOGL,2020-05-28
1433.52001953125,1408.0414,1413.3518,GOOGL,2020-05-29
1434.8699951171875,1413.3518,1418.4862,GOOGL,2020-06-01
1442.31005859375,1418.4862,1423.6804,GOOGL,2020-06-02
1439.25,1423.6804,1428.4044,GOOGL,2020-06-03
1414.300048828125,1428.4044,1430.5037,GOOGL,2020-06-04
1440.02001953125,1430.5037,1431.7457,GOOGL,2020-06-05
1448.0400390625,1431.7457,1433.6632,GOOGL,2020-06-08
1452.0799560546875,1433.6632,1436.6372,GOOGL,2020-06-09
1464.699951171875,1436.6372,1441.0508,GOOGL,2020-06-10
1401.9000244140625,1441.0508,1441.8005,GOOGL,2020-06-11
1412.9200439453125,1441.8005,1438.9165,GOOGL,2020-06-12
1420.739990234375,1438.9165,1434.6577,GOOGL,2020-06-15
1446.469970703125,1434.6577,1432.4143,GOOGL,2020-06-16
1452.5400390625,1432.4143,1433.2186,GOOGL,2020-06-17
1434.1199951171875,1433.2186,1434.892,GOOGL,2020-06-18
1424.6400146484375,1434.892,1435.505,GOOGL,2020-06-19
1450.6600341796875,1435.505,1436.6266,GOOGL,2020-06-22
1463.97998046875,1436.6266,1439.6431,GOOGL,2020-06-23
1432.699951171875,1439.6431,1441.925,GOOGL,2020-06-24
1441.0999755859375,1441.925,1443.0989,GOOGL,2020-06-25
1362.5400390625,1443.0989,1437.9102,GOOGL,2020-06-26
1397.1700439453125,1437.9102,1429.3483,GOOGL,2020-06-29
1418.050048828125,1429.3483,1422.0038,GOOGL,2020-06-30
1442.0,1422.0038,1419.1882,GOOGL,2020-07-01
