Actual,pred,PredLag,stock,Date
152.99000549316406,147.74779,148.95413,JNJ,2020-04-22
155.50999450683594,148.95413,150.16342,JNJ,2020-04-23
154.86000061035156,150.16342,151.32326,JNJ,2020-04-24
154.2899932861328,151.32326,152.29346,JNJ,2020-04-27
151.38999938964844,152.29346,152.81543,JNJ,2020-04-28
150.24000549316406,152.81543,152.83084,JNJ,2020-04-29
150.0399932861328,152.83084,152.48318,JNJ,2020-04-30
148.2899932861328,152.48318,151.84787,JNJ,2020-05-01
148.27000427246094,151.84787,151.08046,JNJ,2020-05-04
149.5,151.08046,150.41678,JNJ,2020-05-05
148.0800018310547,150.41678,149.84694,JNJ,2020-05-06
147.58999633789062,149.84694,149.32841,JNJ,2020-05-07
148.6999969482422,149.32841,148.94435,JNJ,2020-05-08
149.11000061035156,148.94435,148.74013,JNJ,2020-05-11
147.13999938964844,148.74013,148.54489,JNJ,2020-05-12
147.1300048828125,148.54489,148.30374,JNJ,2020-05-13
147.63999938964844,148.30374,148.0749,JNJ,2020-05-14
150.44000244140625,148.0749,148.09209,JNJ,2020-05-15
150.52000427246094,148.09209,148.3616,JNJ,2020-05-18
149.02000427246094,148.3616,148.66524,JNJ,2020-05-19
147.67999267578125,148.66524,148.79614,JNJ,2020-05-20
146.7100067138672,148.79614,148.67065,JNJ,2020-05-21
144.3699951171875,148.67065,148.19826,JNJ,2020-05-22
144.55999755859375,148.19826,147.51044,JNJ,2020-05-26
144.88999938964844,147.51044,146.80258,JNJ,2020-05-27
146.97000122070312,146.80258,146.34117,JNJ,2020-05-28
148.75,146.34117,146.28944,JNJ,2020-05-29
147.19000244140625,146.28944,146.45177,JNJ,2020-06-01
148.25,146.45177,146.74033,JNJ,2020-06-02
148.64999389648438,146.74033,147.1017,JNJ,2020-06-03
146.72999572753906,147.1017,147.33754,JNJ,2020-06-04
147.3000030517578,147.33754,147.44283,JNJ,2020-06-05
146.77000427246094,147.44283,147.42543,JNJ,2020-06-08
145.9600067138672,147.42543,147.27263,JNJ,2020-06-09
147.8000030517578,147.27263,147.16351,JNJ,2020-06-10
140.8699951171875,147.16351,146.66988,JNJ,2020-06-11
142.14999389648438,146.66988,145.87433,JNJ,2020-06-12
141.25,145.87433,144.92404,JNJ,2020-06-15
144.4600067138672,144.92404,144.21158,JNJ,2020-06-16
144.02000427246094,144.21158,143.81361,JNJ,2020-06-17
143.41000366210938,143.81361,143.61734,JNJ,2020-06-18
143.8300018310547,143.61734,143.55501,JNJ,2020-06-19
143.38999938964844,143.55501,143.53867,JNJ,2020-06-22
142.86000061035156,143.53867,143.48932,JNJ,2020-06-23
139.82000732421878,143.48932,143.18336,JNJ,2020-06-24
