Actual,pred,PredLag,stock,Date
2363.489990234375,2363.483,2390.7722,AMZN,2020-04-22
2399.449951171875,2390.7722,2421.2004,AMZN,2020-04-23
2410.219970703125,2421.2004,2436.7715,AMZN,2020-04-24
2376.0,2436.7715,2415.9338,AMZN,2020-04-27
2314.080078125,2415.9338,2369.2139,AMZN,2020-04-28
2372.7099609375,2369.2139,2403.1243,AMZN,2020-04-29
2474.0,2403.1243,2484.7698,AMZN,2020-04-30
2286.0400390625,2484.7698,2358.7083,AMZN,2020-05-01
2315.989990234375,2358.7083,2362.8945,AMZN,2020-05-04
2317.800048828125,2362.8945,2346.562,AMZN,2020-05-05
2351.260009765625,2346.562,2362.8486,AMZN,2020-05-06
2367.610107421875,2362.8486,2370.2158,AMZN,2020-05-07
2379.610107421875,2370.2158,2376.538,AMZN,2020-05-08
2409.0,2376.538,2397.4023,AMZN,2020-05-11
2356.949951171875,2397.4023,2355.9783,AMZN,2020-05-12
2367.919921875,2355.9783,2357.4243,AMZN,2020-05-13
2388.85009765625,2357.4243,2367.0122,AMZN,2020-05-14
2409.780029296875,2367.0122,2382.07,AMZN,2020-05-15
2426.260009765625,2382.07,2396.3394,AMZN,2020-05-18
2449.330078125,2396.3394,2417.856,AMZN,2020-05-19
2497.93994140625,2417.856,2463.4473,AMZN,2020-05-20
2446.739990234375,2463.4473,2429.7764,AMZN,2020-05-21
2436.8798828125,2429.7764,2424.259,AMZN,2020-05-22
2421.860107421875,2424.259,2409.5283,AMZN,2020-05-26
2410.389892578125,2409.5283,2398.244,AMZN,2020-05-27
2401.10009765625,2398.244,2388.144,AMZN,2020-05-28
2442.3701171875,2388.144,2419.225,AMZN,2020-05-29
2471.0400390625,2419.225,2446.0996,AMZN,2020-06-01
2472.409912109375,2446.0996,2454.1738,AMZN,2020-06-02
2478.39990234375,2454.1738,2464.581,AMZN,2020-06-03
2460.60009765625,2464.581,2453.8726,AMZN,2020-06-04
2483.0,2453.8726,2472.9592,AMZN,2020-06-05
2524.06005859375,2472.9592,2509.0913,AMZN,2020-06-08
2600.860107421875,2509.0913,2581.928,AMZN,2020-06-09
2647.449951171875,2581.928,2634.3257,AMZN,2020-06-10
2557.9599609375,2634.3257,2577.7822,AMZN,2020-06-11
2545.02001953125,2577.7822,2570.3074,AMZN,2020-06-12
2572.679931640625,2570.3074,2585.0369,AMZN,2020-06-15
2615.27001953125,2585.0369,2619.4695,AMZN,2020-06-16
