Actual,pred,PredLag,stock,Date
110.63999938964842,112.54185,112.09901,CAT,2020-04-22
112.91000366210938,112.09901,113.05624,CAT,2020-04-23
114.04000091552733,113.05624,113.57461,CAT,2020-04-24
115.1999969482422,113.57461,114.13444,CAT,2020-04-27
115.45999908447266,114.13444,114.06483,CAT,2020-04-28
120.05999755859378,114.06483,117.39119,CAT,2020-04-29
116.37999725341795,117.39119,114.82122,CAT,2020-04-30
110.87999725341795,114.82122,110.836426,CAT,2020-05-01
107.72000122070312,110.836426,107.922424,CAT,2020-05-04
108.91000366210938,107.922424,107.707886,CAT,2020-05-05
107.66999816894533,107.707886,106.467735,CAT,2020-05-06
107.29000091552734,106.467735,105.74314,CAT,2020-05-07
112.11000061035155,105.74314,108.796,CAT,2020-05-08
108.61000061035156,108.796,106.551735,CAT,2020-05-11
105.0,106.551735,103.892166,CAT,2020-05-12
104.4800033569336,103.892166,102.92294,CAT,2020-05-13
106.19000244140622,102.92294,103.64895,CAT,2020-05-14
107.91999816894533,103.64895,104.77484,CAT,2020-05-15
115.0199966430664,104.77484,110.40837,CAT,2020-05-18
112.08000183105469,110.40837,108.79985,CAT,2020-05-19
115.69000244140624,108.79985,111.56223,CAT,2020-05-20
114.05999755859376,111.56223,110.709816,CAT,2020-05-21
112.47000122070312,110.709816,109.71796,CAT,2020-05-22
117.41000366210938,109.71796,113.493576,CAT,2020-05-26
122.41999816894531,113.493576,118.40384,CAT,2020-05-27
120.73999786376953,118.40384,118.03472,CAT,2020-05-28
120.12999725341795,118.03472,118.10481,CAT,2020-05-29
120.5,118.10481,118.6969,CAT,2020-06-01
123.31999969482422,118.6969,121.32235,CAT,2020-06-02
127.08999633789062,121.32235,125.1411,CAT,2020-06-03
128.96000671386722,125.1411,127.62417,CAT,2020-06-04
135.1199951171875,127.62417,133.94475,CAT,2020-06-05
137.72000122070312,133.94475,137.34657,CAT,2020-06-08
134.19000244140622,137.34657,135.60966,CAT,2020-06-09
132.44000244140622,135.60966,134.66127,CAT,2020-06-10
121.55000305175781,134.66127,127.3057,CAT,2020-06-11
123.1500015258789,127.3057,126.72591,CAT,2020-06-12
123.61000061035156,126.72591,125.964325,CAT,2020-06-15
130.11000061035156,125.964325,130.51125,CAT,2020-06-16
128.22999572753906,130.51125,129.20506,CAT,2020-06-17
127.58999633789062,129.20506,128.59853,CAT,2020-06-18
127.45999908447266,128.59853,128.06598,CAT,2020-06-19
125.79000091552736,128.06598,126.396095,CAT,2020-06-22
126.24999999999999,126.396095,126.14862,CAT,2020-06-23
122.05999755859376,126.14862,122.65264,CAT,2020-06-24
124.70999908447267,122.65264,123.713165,CAT,2020-06-25
122.38999938964845,123.713165,121.54702,CAT,2020-06-26
125.25000000000001,121.54702,123.19328,CAT,2020-06-29
126.49999999999999,123.19328,124.01951,CAT,2020-06-30
126.05999755859376,124.01951,123.71721,CAT,2020-07-01
127.72000122070314,123.71721,125.00386,CAT,2020-07-02
129.42999267578122,125.00386,126.53595,CAT,2020-07-06
127.1999969482422,126.53595,125.073975,CAT,2020-07-07
128.1300048828125,125.073975,125.82058,CAT,2020-07-08
125.73000335693361,125.82058,124.02717,CAT,2020-07-09
128.00999450683594,124.02717,125.70711,CAT,2020-07-10
130.57000732421878,125.70711,127.9947,CAT,2020-07-13
136.8800048828125,127.9947,134.11873,CAT,2020-07-14
138.36000061035156,134.11873,136.39876,CAT,2020-07-15
138.55999755859378,136.39876,137.62257,CAT,2020-07-16
136.89999389648438,137.62257,136.94055,CAT,2020-07-17
134.6300048828125,136.94055,135.43605,CAT,2020-07-20
135.8699951171875,135.43605,136.29796,CAT,2020-07-21
136.97999572753906,136.29796,137.20268,CAT,2020-07-22
136.60000610351562,137.20268,137.11765,CAT,2020-07-23
137.58000183105472,137.11765,138.03647,CAT,2020-07-24
139.88999938964844,138.03647,140.07341,CAT,2020-07-27
138.02999877929688,140.07341,138.91241,CAT,2020-07-28
140.52999877929688,138.91241,141.05547,CAT,2020-07-29
136.72999572753906,141.05547,138.19298,CAT,2020-07-30
132.8800048828125,138.19298,135.10417,CAT,2020-07-31
131.77999877929688,135.10417,133.36505,CAT,2020-08-03
131.52000427246094,133.36505,132.29745,CAT,2020-08-04
134.97000122070312,132.29745,134.39734,CAT,2020-08-05
134.38999938964844,134.39734,133.81068,CAT,2020-08-06
134.91999816894528,133.81068,134.15483,CAT,2020-08-07
142.02000427246094,134.15483,140.1705,CAT,2020-08-10
142.52999877929688,140.1705,141.11911,CAT,2020-08-11
142.57000732421875,141.11911,141.88132,CAT,2020-08-12
140.66999816894528,141.88132,140.6264,CAT,2020-08-13
139.96000671386722,140.6264,140.03062,CAT,2020-08-14
138.72000122070312,140.03062,138.80858,CAT,2020-08-17
138.3699951171875,138.80858,138.24646,CAT,2020-08-18
138.02000427246094,138.24646,137.69342,CAT,2020-08-19
137.47999572753906,137.69342,137.06645,CAT,2020-08-20
138.42999267578122,137.06645,137.64395,CAT,2020-08-21
141.67999267578125,137.64395,140.33873,CAT,2020-08-24
141.14999389648438,140.33873,140.25758,CAT,2020-08-25
141.8300018310547,140.25758,141.18283,CAT,2020-08-26
143.3699951171875,141.18283,142.6601,CAT,2020-08-27
143.6300048828125,142.6601,143.19907,CAT,2020-08-28
142.30999755859375,143.19907,142.43501,CAT,2020-08-31
146.0500030517578,142.43501,145.61566,CAT,2020-09-01
149.27000427246094,145.61566,148.60287,CAT,2020-09-02
146.75999450683594,148.60287,147.25366,CAT,2020-09-03
148.17999267578125,147.25366,148.80823,CAT,2020-09-04
148.52000427246094,148.80823,149.13437,CAT,2020-09-08
152.69000244140625,149.13437,152.85345,CAT,2020-09-09
149.86000061035156,152.85345,151.01031,CAT,2020-09-10
153.8300018310547,151.01031,154.65744,CAT,2020-09-11
153.50999450683594,154.65744,154.51562,CAT,2020-09-14
148.60000610351562,154.51562,151.2403,CAT,2020-09-15
151.11000061035156,151.2403,152.89526,CAT,2020-09-16
153.8699951171875,152.89526,154.70975,CAT,2020-09-17
152.38999938964844,154.70975,153.82184,CAT,2020-09-18
145.3300018310547,153.82184,148.75186,CAT,2020-09-21
147.14999389648438,148.75186,149.2575,CAT,2020-09-22
144.3800048828125,149.2575,146.25879,CAT,2020-09-23
145.13999938964844,146.25879,146.20703,CAT,2020-09-24
145.91000366210938,146.20703,146.17442,CAT,2020-09-25
147.67999267578125,146.17442,147.34918,CAT,2020-09-28
147.41000366210938,147.34918,147.09941,CAT,2020-09-29
149.14999389648438,147.09941,148.55252,CAT,2020-09-30
146.7100067138672,148.55252,146.641,CAT,2020-10-01
149.94000244140625,146.641,149.22153,CAT,2020-10-02
153.49000549316406,149.22153,152.14215,CAT,2020-10-05
151.52999877929688,152.14215,151.08852,CAT,2020-10-06
154.77000427246094,151.08852,154.19865,CAT,2020-10-07
156.66000366210938,154.19865,155.94106,CAT,2020-10-08
158.94000244140625,155.94106,158.45613,CAT,2020-10-09
162.61000061035156,158.45613,162.0408,CAT,2020-10-12
162.1199951171875,162.0408,162.44284,CAT,2020-10-13
163.61000061035156,162.44284,164.39183,CAT,2020-10-14
165.0399932861328,164.39183,165.84406,CAT,2020-10-15
168.75,165.84406,169.14923,CAT,2020-10-16
167.52999877929688,169.14923,168.86676,CAT,2020-10-19
168.99000549316406,168.86676,170.59995,CAT,2020-10-20
167.39999389648438,170.59995,169.6371,CAT,2020-10-21
169.66000366210938,169.6371,171.52325,CAT,2020-10-22
168.58999633789062,171.52325,170.7924,CAT,2020-10-23
163.1999969482422,170.7924,167.28064,CAT,2020-10-26
157.91000366210938,167.28064,163.1071,CAT,2020-10-27
151.16000366210938,163.1071,157.23303,CAT,2020-10-28
154.6699981689453,157.23303,157.89116,CAT,2020-10-29
157.0500030517578,157.89116,158.40834,CAT,2020-10-30
163.27000427246094,158.40834,162.97067,CAT,2020-11-02
167.69000244140625,162.97067,166.76537,CAT,2020-11-03
155.22999572753906,166.76537,159.16586,CAT,2020-11-04
163.08999633789062,159.16586,164.81024,CAT,2020-11-05
161.2899932861328,164.81024,162.30971,CAT,2020-11-06
170.82000732421875,162.30971,169.83345,CAT,2020-11-09
172.3000030517578,169.83345,171.19907,CAT,2020-11-10
169.4600067138672,171.19907,170.50455,CAT,2020-11-11
169.1300048828125,170.50455,170.63426,CAT,2020-11-12
171.7100067138672,170.63426,172.33232,CAT,2020-11-13
173.19000244140625,172.33232,173.5036,CAT,2020-11-16
171.91000366210938,173.5036,173.04356,CAT,2020-11-17
172.74000549316406,173.04356,173.85397,CAT,2020-11-18
172.89999389648438,173.85397,173.96954,CAT,2020-11-19
172.22999572753906,173.96954,173.69196,CAT,2020-11-20
174.77999877929688,173.69196,175.4548,CAT,2020-11-23
176.89999389648438,175.4548,177.01682,CAT,2020-11-24
174.6300048828125,177.01682,176.08781,CAT,2020-11-25
175.0800018310547,176.08781,176.65312,CAT,2020-11-27
173.58999633789062,176.65312,175.5432,CAT,2020-11-30
173.25999450683594,175.5432,175.28989,CAT,2020-12-01
173.8699951171875,175.28989,175.4259,CAT,2020-12-02
174.6300048828125,175.4259,175.85063,CAT,2020-12-03
182.2100067138672,175.85063,180.53339,CAT,2020-12-04
178.7100067138672,180.53339,179.38826,CAT,2020-12-07
178.83999633789062,179.38826,180.16158,CAT,2020-12-08
180.07000732421875,180.16158,180.69267,CAT,2020-12-09
178.85000610351562,180.69267,180.14357,CAT,2020-12-10
179.2899932861328,180.14357,180.43379,CAT,2020-12-11
178.0500030517578,180.43379,179.53462,CAT,2020-12-14
181.7400054931641,179.53462,181.70589,CAT,2020-12-15
179.5,181.70589,180.48586,CAT,2020-12-16
179.1699981689453,180.48586,180.53697,CAT,2020-12-17
180.9600067138672,180.53697,181.35236,CAT,2020-12-18
180.16000366210938,181.35236,181.00885,CAT,2020-12-21
176.5800018310547,181.00885,178.87486,CAT,2020-12-22
178.4199981689453,178.87486,179.7061,CAT,2020-12-23
179.55999755859375,179.7061,180.04025,CAT,2020-12-24
178.3699951171875,180.04025,179.49506,CAT,2020-12-28
176.64999389648438,179.49506,178.40675,CAT,2020-12-29
180.0399932861328,178.40675,180.24791,CAT,2020-12-30
182.0200042724609,180.24791,181.49005,CAT,2020-12-31
182.1499938964844,181.49005,182.12645,CAT,2021-01-04
183.63999938964844,182.12645,183.34195,CAT,2021-01-05
193.8600006103516,183.34195,188.29572,CAT,2021-01-06
194.22999572753903,188.29572,191.08038,CAT,2021-01-07
194.25999450683597,191.08038,191.91531,CAT,2021-01-08
193.8600006103516,191.91531,192.34863,CAT,2021-01-11
197.5399932861328,192.34863,194.04512,CAT,2021-01-12
195.88999938964844,194.04512,194.08458,CAT,2021-01-13
197.3999938964844,194.08458,194.67747,CAT,2021-01-14
194.6199951171875,194.67747,193.66292,CAT,2021-01-15
194.05999755859372,193.66292,193.143,CAT,2021-01-19
