Actual,pred,PredLag,stock,Date
1258.4100341796875,1223.7123,1253.0265,GOOGL,2020-04-22
1271.1700439453125,1253.0265,1267.1562,GOOGL,2020-04-23
1276.5999755859375,1267.1562,1275.524,GOOGL,2020-04-24
1270.8599853515625,1275.524,1273.9224,GOOGL,2020-04-27
1232.5899658203125,1273.9224,1248.2072,GOOGL,2020-04-28
1342.1800537109375,1248.2072,1332.9218,GOOGL,2020-04-29
1346.699951171875,1332.9218,1344.9303,GOOGL,2020-04-30
1317.3199462890625,1344.9303,1327.6459,GOOGL,2020-05-01
1322.9000244140625,1327.6459,1330.6736,GOOGL,2020-05-04
1349.02001953125,1330.6736,1350.1721,GOOGL,2020-05-05
1345.4300537109375,1350.1721,1349.1403,GOOGL,2020-05-06
1369.280029296875,1349.1403,1369.3768,GOOGL,2020-05-07
1384.3399658203125,1369.3768,1383.7958,GOOGL,2020-05-08
1403.5899658203125,1383.7958,1403.0989,GOOGL,2020-05-11
1375.1800537109375,1403.0989,1384.1945,GOOGL,2020-05-12
1348.3299560546875,1384.1945,1363.5697,GOOGL,2020-05-13
1356.8599853515625,1363.5697,1364.3944,GOOGL,2020-05-14
1373.06005859375,1364.3944,1373.9297,GOOGL,2020-05-15
1385.1800537109375,1373.9297,1383.5955,GOOGL,2020-05-18
1374.4000244140625,1383.5955,1376.1089,GOOGL,2020-05-19
1409.1600341796875,1376.1089,1404.195,GOOGL,2020-05-20
1406.75,1404.195,1404.1544,GOOGL,2020-05-21
1413.239990234375,1404.1544,1411.8173,GOOGL,2020-05-22
1421.3699951171875,1411.8173,1419.4655,GOOGL,2020-05-26
1420.280029296875,1419.4655,1420.087,GOOGL,2020-05-27
1418.239990234375,1420.087,1419.2218,GOOGL,2020-05-28
1433.52001953125,1419.2218,1431.6265,GOOGL,2020-05-29
1434.8699951171875,1431.6265,1433.7592,GOOGL,2020-06-01
1442.31005859375,1433.7592,1441.3455,GOOGL,2020-06-02
1439.25,1441.3455,1440.0323,GOOGL,2020-06-03
1414.300048828125,1440.0323,1421.2307,GOOGL,2020-06-04
1440.02001953125,1421.2307,1439.229,GOOGL,2020-06-05
1448.0400390625,1439.229,1445.236,GOOGL,2020-06-08
1452.0799560546875,1445.236,1450.6621,GOOGL,2020-06-09
1464.699951171875,1450.6621,1462.6163,GOOGL,2020-06-10
1401.9000244140625,1462.6163,1417.4656,GOOGL,2020-06-11
1412.9200439453125,1417.4656,1420.3405,GOOGL,2020-06-12
1420.739990234375,1420.3405,1420.3536,GOOGL,2020-06-15
