Actual,pred,PredLag,stock,Date
204.1699981689453,203.78877,206.24406,HD,2020-04-22
202.32000732421875,206.24406,204.93423,HD,2020-04-23
212.17999267578125,204.93423,213.14835,HD,2020-04-24
217.75999450683597,213.14835,218.71696,HD,2020-04-27
217.6300048828125,218.71696,219.84966,HD,2020-04-28
221.80999755859372,219.84966,224.19272,HD,2020-04-29
219.8300018310547,224.19272,223.14806,HD,2020-04-30
218.57000732421875,223.14806,222.49101,HD,2020-05-01
221.83999633789062,222.49101,224.82362,HD,2020-05-04
225.6100006103516,224.82362,227.85538,HD,2020-05-05
223.9199981689453,227.85538,226.87036,HD,2020-05-06
229.4499969482422,226.87036,231.56969,HD,2020-05-07
234.42999267578125,231.56969,235.83519,HD,2020-05-08
236.55999755859372,235.83519,238.40408,HD,2020-05-11
232.8999938964844,238.40408,236.36543,HD,2020-05-12
230.1000061035156,236.36543,234.40102,HD,2020-05-13
234.47999572753903,234.40102,237.23001,HD,2020-05-14
239.3300018310547,237.23001,240.8223,HD,2020-05-15
245.3500061035156,240.8223,246.1161,HD,2020-05-18
238.1000061035156,246.1161,241.61897,HD,2020-05-19
238.19000244140625,241.61897,242.1454,HD,2020-05-20
240.8800048828125,242.1454,243.41632,HD,2020-05-21
241.8800048828125,243.41632,244.1392,HD,2020-05-22
242.47999572753903,244.1392,244.76457,HD,2020-05-26
247.3600006103516,244.76457,248.61113,HD,2020-05-27
245.13999938964844,248.61113,247.3224,HD,2020-05-28
248.47999572753903,247.3224,250.34691,HD,2020-05-29
247.2899932861328,250.34691,249.4758,HD,2020-06-01
252.7100067138672,249.4758,253.86955,HD,2020-06-02
251.0,253.86955,252.83247,HD,2020-06-03
248.9499969482422,252.83247,251.95473,HD,2020-06-04
254.8999938964844,251.95473,256.03558,HD,2020-06-05
256.76998901367193,256.03558,257.4812,HD,2020-06-08
256.760009765625,257.4812,258.30472,HD,2020-06-09
254.4499969482422,258.30472,257.06604,HD,2020-06-10
239.47000122070312,257.06604,246.91167,HD,2020-06-11
242.4499969482422,246.91167,247.46698,HD,2020-06-12
241.3600006103516,247.46698,244.44469,HD,2020-06-15
249.9499969482422,244.44469,250.14697,HD,2020-06-16
250.8500061035156,250.14697,250.78314,HD,2020-06-17
249.2100067138672,250.78314,250.51678,HD,2020-06-18
246.6499938964844,250.51678,248.83116,HD,2020-06-19
249.16000366210938,248.83116,250.41945,HD,2020-06-22
250.30999755859372,250.41945,250.99855,HD,2020-06-23
