Actual,pred,PredLag,stock,Date
152.99000549316406,151.92451,154.18274,JNJ,2020-04-22
155.50999450683594,154.18274,155.77469,JNJ,2020-04-23
154.86000061035156,155.77469,156.02951,JNJ,2020-04-24
154.2899932861328,156.02951,156.00528,JNJ,2020-04-27
151.38999938964844,156.00528,154.27136,JNJ,2020-04-28
150.24000549316406,154.27136,153.38484,JNJ,2020-04-29
150.0399932861328,153.38484,152.80414,JNJ,2020-04-30
148.2899932861328,152.80414,151.40164,JNJ,2020-05-01
148.27000427246094,151.40164,151.0694,JNJ,2020-05-04
149.5,151.0694,151.50053,JNJ,2020-05-05
148.0800018310547,151.50053,150.4605,JNJ,2020-05-06
147.58999633789062,150.4605,149.97313,JNJ,2020-05-07
148.6999969482422,149.97313,150.35347,JNJ,2020-05-08
149.11000061035156,150.35347,150.43791,JNJ,2020-05-11
147.13999938964844,150.43791,149.00139,JNJ,2020-05-12
147.1300048828125,149.00139,148.69862,JNJ,2020-05-13
147.63999938964844,148.69862,148.57274,JNJ,2020-05-14
150.44000244140625,148.57274,150.33932,JNJ,2020-05-15
150.52000427246094,150.33932,150.44693,JNJ,2020-05-18
149.02000427246094,150.44693,149.61903,JNJ,2020-05-19
147.67999267578125,149.61903,148.5429,JNJ,2020-05-20
146.7100067138672,148.5429,147.46613,JNJ,2020-05-21
144.3699951171875,147.46613,145.33513,JNJ,2020-05-22
144.55999755859375,145.33513,144.91852,JNJ,2020-05-26
144.88999938964844,144.91852,144.61728,JNJ,2020-05-27
146.97000122070312,144.61728,146.03569,JNJ,2020-05-28
148.75,146.03569,147.4949,JNJ,2020-05-29
147.19000244140625,147.4949,146.74469,JNJ,2020-06-01
148.25,146.74469,147.85072,JNJ,2020-06-02
148.64999389648438,147.85072,148.17734,JNJ,2020-06-03
146.72999572753906,148.17734,146.99396,JNJ,2020-06-04
147.3000030517578,146.99396,147.44142,JNJ,2020-06-05
146.77000427246094,147.44142,146.87277,JNJ,2020-06-08
145.9600067138672,146.87277,146.28267,JNJ,2020-06-09
147.8000030517578,146.28267,147.55899,JNJ,2020-06-10
140.8699951171875,147.55899,142.88399,JNJ,2020-06-11
142.14999389648438,142.88399,143.3662,JNJ,2020-06-12
141.25,143.3662,141.82425,JNJ,2020-06-15
144.4600067138672,141.82425,144.09378,JNJ,2020-06-16
144.02000427246094,144.09378,143.73476,JNJ,2020-06-17
143.41000366210938,143.73476,143.56142,JNJ,2020-06-18
143.8300018310547,143.56142,143.88469,JNJ,2020-06-19
143.38999938964844,143.88469,143.54092,JNJ,2020-06-22
