Actual,pred,PredLag,stock,Date
143.61000061035156,144.08015,145.033,MMM,2020-04-22
144.3300018310547,145.033,145.4244,MMM,2020-04-23
147.0,145.4244,147.65567,MMM,2020-04-24
153.64999389648438,147.65567,153.58322,MMM,2020-04-27
157.61000061035156,153.58322,157.4879,MMM,2020-04-28
156.25999450683594,157.4879,157.44632,MMM,2020-04-29
151.9199981689453,157.44632,154.81364,MMM,2020-04-30
148.60000610351562,154.81364,152.10345,MMM,2020-05-01
148.39999389648438,152.10345,151.01195,MMM,2020-05-04
147.42999267578125,151.01195,149.48196,MMM,2020-05-05
146.1999969482422,149.48196,147.93597,MMM,2020-05-06
145.74000549316406,147.93597,146.91823,MMM,2020-05-07
148.50999450683594,146.91823,148.52618,MMM,2020-05-08
145.72999572753906,148.52618,146.24382,MMM,2020-05-11
141.52000427246094,146.24382,142.98398,MMM,2020-05-12
136.1199951171875,142.98398,138.63428,MMM,2020-05-13
135.99000549316406,138.63428,136.99548,MMM,2020-05-14
138.69000244140622,136.99548,137.83498,MMM,2020-05-15
149.27000427246094,137.83498,147.07877,MMM,2020-05-18
148.3800048828125,147.07877,146.7987,MMM,2020-05-19
149.67999267578125,146.7987,148.77327,MMM,2020-05-20
145.80999755859375,148.77327,145.85458,MMM,2020-05-21
146.44000244140625,145.85458,146.26282,MMM,2020-05-22
152.0800018310547,146.26282,150.84569,MMM,2020-05-26
158.14999389648438,150.84569,156.43341,MMM,2020-05-27
156.82000732421875,156.43341,156.28273,MMM,2020-05-28
156.44000244140625,156.28273,157.0001,MMM,2020-05-29
155.5800018310547,157.0001,156.50047,MMM,2020-06-01
157.63999938964844,156.50047,158.28528,MMM,2020-06-02
161.2100067138672,158.28528,161.0995,MMM,2020-06-03
162.5500030517578,161.0995,162.61903,MMM,2020-06-04
167.41000366210938,162.61903,166.44757,MMM,2020-06-05
166.8699951171875,166.44757,167.01471,MMM,2020-06-08
166.6999969482422,167.01471,167.63582,MMM,2020-06-09
163.89999389648438,167.63582,166.02676,MMM,2020-06-10
152.3800048828125,166.02676,159.06804,MMM,2020-06-11
