Actual,pred,PredLag,stock,Date
101.79000091552734,103.00404,102.827034,TRV,2020-04-22
100.4499969482422,102.827034,101.740135,TRV,2020-04-23
100.81999969482422,101.740135,101.71082,TRV,2020-04-24
102.88999938964844,101.71082,103.06368,TRV,2020-04-27
104.29000091552734,103.06368,104.21522,TRV,2020-04-28
106.0,104.21522,105.711266,TRV,2020-04-29
101.20999908447266,105.711266,102.37184,TRV,2020-04-30
96.0500030517578,102.37184,98.600044,TRV,2020-05-01
96.91000366210938,98.600044,97.8951,TRV,2020-05-04
96.8499984741211,97.8951,97.12191,TRV,2020-05-05
93.29000091552734,97.12191,94.364624,TRV,2020-05-06
95.8000030517578,94.364624,95.15305,TRV,2020-05-07
97.33999633789062,95.15305,95.941475,TRV,2020-05-08
95.51000213623048,95.941475,94.47983,TRV,2020-05-11
93.95999908447266,94.47983,93.02318,TRV,2020-05-12
89.86000061035156,93.02318,90.08094,TRV,2020-05-13
90.22000122070312,90.08094,89.50763,TRV,2020-05-14
90.30999755859376,89.50763,89.12628,TRV,2020-05-15
95.3000030517578,89.12628,92.49996,TRV,2020-05-18
93.2699966430664,92.49996,91.21297,TRV,2020-05-19
95.54000091552734,91.21297,92.68146,TRV,2020-05-20
99.16999816894531,92.68146,95.756485,TRV,2020-05-21
100.0999984741211,95.756485,96.94193,TRV,2020-05-22
103.36000061035155,96.94193,100.18674,TRV,2020-05-26
106.81999969482422,100.18674,103.965385,TRV,2020-05-27
107.58999633789062,103.965385,105.44688,TRV,2020-05-28
106.9800033569336,105.44688,105.66437,TRV,2020-05-29
109.1500015258789,105.66437,108.02243,TRV,2020-06-01
111.0,108.02243,110.20586,TRV,2020-06-02
114.47000122070312,110.20586,114.010506,TRV,2020-06-03
118.0,114.010506,117.94808,TRV,2020-06-04
124.36000061035156,117.94808,124.384285,TRV,2020-06-05
128.0,124.384285,128.26385,TRV,2020-06-08
125.41999816894531,128.26385,127.48487,TRV,2020-06-09
120.9800033569336,127.48487,124.94519,TRV,2020-06-10
110.5500030517578,124.94519,118.15346,TRV,2020-06-11
113.33000183105469,118.15346,118.379135,TRV,2020-06-12
114.8499984741211,118.379135,118.34382,TRV,2020-06-15
116.1500015258789,118.34382,118.97661,TRV,2020-06-16
114.81999969482422,118.97661,117.8027,TRV,2020-06-17
116.0500030517578,117.8027,118.43683,TRV,2020-06-18
116.55999755859376,118.43683,118.51955,TRV,2020-06-19
116.2300033569336,118.51955,118.083626,TRV,2020-06-22
116.19000244140624,118.083626,117.76274,TRV,2020-06-23
112.86000061035156,117.76274,114.92144,TRV,2020-06-24
114.62000274658205,114.92144,115.53993,TRV,2020-06-25
111.0,115.53993,112.23857,TRV,2020-06-26
112.9000015258789,112.23857,112.96441,TRV,2020-06-29
114.0500030517578,112.96441,113.28075,TRV,2020-06-30
112.5,113.28075,111.88453,TRV,2020-07-01
112.45999908447266,111.88453,111.57021,TRV,2020-07-02
114.56999969482422,111.57021,113.00305,TRV,2020-07-06
112.4800033569336,113.00305,111.32265,TRV,2020-07-07
113.18000030517577,111.32265,111.83361,TRV,2020-07-08
110.04000091552734,111.83361,109.24994,TRV,2020-07-09
113.83999633789062,109.24994,112.1075,TRV,2020-07-10
114.23999786376952,112.1075,112.460686,TRV,2020-07-13
118.5500030517578,112.460686,116.684654,TRV,2020-07-14
119.13999938964844,116.684654,117.73265,TRV,2020-07-15
120.5,117.73265,119.698906,TRV,2020-07-16
119.16000366210938,119.698906,119.12487,TRV,2020-07-17
118.7699966430664,119.12487,119.20464,TRV,2020-07-20
120.41999816894531,119.20464,120.62453,TRV,2020-07-21
122.23999786376953,120.62453,122.32394,TRV,2020-07-22
118.61000061035156,122.32394,119.939255,TRV,2020-07-23
118.27999877929688,119.939255,119.786285,TRV,2020-07-24
116.62999725341795,119.786285,118.187454,TRV,2020-07-27
115.02999877929688,118.187454,116.698044,TRV,2020-07-28
116.8499984741211,116.698044,117.63212,TRV,2020-07-29
115.93000030517578,117.63212,116.706245,TRV,2020-07-30
114.41999816894531,116.706245,115.44261,TRV,2020-07-31
114.4000015258789,115.44261,115.054504,TRV,2020-08-03
113.0999984741211,115.054504,113.69844,TRV,2020-08-04
115.08000183105469,113.69844,114.90604,TRV,2020-08-05
113.73999786376952,114.90604,113.66385,TRV,2020-08-06
117.36000061035156,113.66385,116.5714,TRV,2020-08-07
119.12000274658205,116.5714,118.127106,TRV,2020-08-10
119.91999816894531,118.127106,119.25818,TRV,2020-08-11
118.86000061035156,119.25818,118.76128,TRV,2020-08-12
119.2699966430664,118.76128,119.25821,TRV,2020-08-13
118.5999984741211,119.25821,118.70516,TRV,2020-08-14
115.91000366210938,118.70516,116.61609,TRV,2020-08-17
114.93000030517578,116.61609,115.5169,TRV,2020-08-18
113.1999969482422,115.5169,113.70449,TRV,2020-08-19
112.52999877929688,113.70449,112.69241,TRV,2020-08-20
111.83000183105469,112.69241,111.67768,TRV,2020-08-21
114.9000015258789,111.67768,113.83139,TRV,2020-08-24
115.62000274658205,113.83139,114.483574,TRV,2020-08-25
113.54000091552736,114.483574,113.11231,TRV,2020-08-26
117.18000030517578,113.11231,116.177864,TRV,2020-08-27
115.88999938964844,116.177864,115.26334,TRV,2020-08-28
116.04000091552734,115.26334,115.6955,TRV,2020-08-31
114.69000244140624,115.6955,114.609024,TRV,2020-09-01
117.4800033569336,114.609024,116.87792,TRV,2020-09-02
115.3499984741211,116.87792,115.26122,TRV,2020-09-03
116.56999969482422,115.26122,116.38462,TRV,2020-09-04
113.73999786376952,116.38462,114.12226,TRV,2020-09-08
113.62999725341795,114.12226,113.88443,TRV,2020-09-09
111.8000030517578,113.88443,112.14484,TRV,2020-09-10
113.40000152587889,112.14484,113.085205,TRV,2020-09-11
114.45999908447266,113.085205,113.80586,TRV,2020-09-14
112.1500015258789,113.80586,112.120705,TRV,2020-09-15
113.16999816894531,112.120705,112.82019,TRV,2020-09-16
112.5999984741211,112.82019,112.22314,TRV,2020-09-17
111.61000061035156,112.22314,111.39397,TRV,2020-09-18
109.4499969482422,111.39397,109.538055,TRV,2020-09-21
109.25,109.538055,108.95318,TRV,2020-09-22
107.48999786376952,108.95318,107.2302,TRV,2020-09-23
107.81999969482422,107.2302,107.04521,TRV,2020-09-24
108.11000061035156,107.04521,106.95571,TRV,2020-09-25
110.22000122070312,106.95571,108.57954,TRV,2020-09-28
107.44000244140624,108.57954,106.51028,TRV,2020-09-29
108.19000244140624,106.51028,106.97408,TRV,2020-09-30
107.80999755859376,106.97408,106.510315,TRV,2020-10-01
108.58000183105469,106.510315,107.0928,TRV,2020-10-02
111.91000366210938,107.0928,110.02631,TRV,2020-10-05
111.52999877929688,110.02631,110.09282,TRV,2020-10-06
113.8000030517578,110.09282,112.48503,TRV,2020-10-07
115.62000274658205,112.48503,114.462944,TRV,2020-10-08
115.83000183105469,114.462944,115.21714,TRV,2020-10-09
116.54000091552734,115.21714,116.30572,TRV,2020-10-12
112.88999938964842,116.30572,113.78915,TRV,2020-10-13
112.02999877929688,113.78915,113.0545,TRV,2020-10-14
112.63999938964844,113.0545,113.15145,TRV,2020-10-15
113.31999969482423,113.15145,113.57669,TRV,2020-10-16
111.83999633789062,113.57669,112.451,TRV,2020-10-19
118.11000061035156,112.451,117.678185,TRV,2020-10-20
125.0,117.678185,123.95638,TRV,2020-10-21
126.13999938964844,123.95638,125.94905,TRV,2020-10-22
125.97000122070312,125.94905,126.98053,TRV,2020-10-23
121.54000091552734,126.98053,124.16449,TRV,2020-10-26
119.08999633789062,124.16449,122.26965,TRV,2020-10-27
121.5,122.26965,123.382645,TRV,2020-10-28
122.45999908447266,123.382645,123.770386,TRV,2020-10-29
120.70999908447266,123.770386,122.50865,TRV,2020-10-30
123.91999816894531,122.50865,124.90931,TRV,2020-11-02
126.33999633789062,124.90931,126.7506,TRV,2020-11-03
123.40000152587889,126.7506,125.01923,TRV,2020-11-04
127.51000213623048,125.01923,128.3511,TRV,2020-11-05
127.0,128.3511,127.93255,TRV,2020-11-06
134.27999877929688,127.93255,133.53484,TRV,2020-11-09
136.36000061035156,133.53484,135.53398,TRV,2020-11-10
134.96000671386722,135.53398,135.72003,TRV,2020-11-11
132.39999389648438,135.72003,134.43105,TRV,2020-11-12
134.6300048828125,134.43105,135.85815,TRV,2020-11-13
136.28999328613278,135.85815,136.74562,TRV,2020-11-16
135.03999328613278,136.74562,136.2591,TRV,2020-11-17
134.3699951171875,136.2591,135.95972,TRV,2020-11-18
133.8699951171875,135.95972,135.49583,TRV,2020-11-19
134.55000305175778,135.49583,135.82324,TRV,2020-11-20
134.6300048828125,135.82324,135.81511,TRV,2020-11-23
136.38999938964844,135.81511,136.98946,TRV,2020-11-24
136.02000427246094,136.98946,136.93091,TRV,2020-11-25
134.44000244140622,136.93091,136.13757,TRV,2020-11-27
