Actual,pred,PredLag,stock,Date
131.58999633789062,131.22462,132.98161,WMT,2020-04-22
128.52999877929688,132.98161,130.82234,WMT,2020-04-23
129.44000244140622,130.82234,131.47578,WMT,2020-04-24
128.30000305175778,131.47578,130.3669,WMT,2020-04-27
128.0,130.3669,129.97517,WMT,2020-04-28
123.5999984741211,129.97517,126.691956,WMT,2020-04-29
121.55000305175781,126.691956,124.529816,WMT,2020-04-30
122.91999816894533,124.529816,124.39657,WMT,2020-05-01
123.6999969482422,124.39657,124.37769,WMT,2020-05-04
124.7300033569336,124.37769,124.835,WMT,2020-05-05
123.3000030517578,124.835,123.51601,WMT,2020-05-06
121.88999938964844,123.51601,122.1007,WMT,2020-05-07
122.94000244140624,122.1007,122.34057,WMT,2020-05-08
123.66999816894533,122.34057,122.58783,WMT,2020-05-11
123.77999877929688,122.58783,122.53195,WMT,2020-05-12
123.70999908447264,122.53195,122.36893,WMT,2020-05-13
123.41999816894531,122.36893,122.031975,WMT,2020-05-14
125.94000244140624,122.031975,124.11677,WMT,2020-05-15
127.66000366210938,124.11677,125.83342,WMT,2020-05-18
124.9499969482422,125.83342,124.02589,WMT,2020-05-19
125.44999694824219,124.02589,124.534744,WMT,2020-05-20
124.9899978637695,124.534744,124.1022,WMT,2020-05-21
124.33000183105469,124.1022,123.63462,WMT,2020-05-22
123.86000061035156,123.63462,123.24004,WMT,2020-05-26
122.4800033569336,123.24004,122.14218,WMT,2020-05-27
123.69000244140624,122.14218,122.95264,WMT,2020-05-28
124.05999755859376,122.95264,123.28611,WMT,2020-05-29
123.95999908447266,123.28611,123.358734,WMT,2020-06-01
123.94000244140624,123.358734,123.44631,WMT,2020-06-02
123.47000122070312,123.44631,123.13884,WMT,2020-06-03
122.11000061035156,123.13884,122.09208,WMT,2020-06-04
121.55999755859376,122.09208,121.491264,WMT,2020-06-05
121.2399978637695,121.491264,121.024155,WMT,2020-06-08
121.3499984741211,121.024155,120.92104,WMT,2020-06-09
