stock,Actual,pred,PredLag
,2304.22,2304.22,2328.5088
,2328.5088,2328.5088,2346.5718
,2346.5718,2346.5718,2361.9963
,2361.9963,2361.9963,2373.0571
,2373.0571,2373.0571,2375.1538
,2375.1538,2375.1538,2373.6223
,2373.6223,2373.6223,2379.1387
,2379.1387,2379.1387,2379.2896
,2379.2896,2379.2896,2372.7493
,2372.7493,2372.7493,2362.5527
,2362.5527,2362.5527,2354.1675
,2354.1675,2354.1675,2350.5652
,2350.5652,2350.5652,2352.0469
,2352.0469,2352.0469,2358.8638
,2358.8638,2358.8638,2365.1882
,2365.1882,2365.1882,2369.3682
,2369.3682,2369.3682,2373.0361
,2373.0361,2373.0361,2378.276
,2378.276,2378.276,2386.0303
,2386.0303,2386.0303,2396.7817
,2396.7817,2396.7817,2412.3481
,2412.3481,2412.3481,2427.0742
,2427.0742,2427.0742,2437.3164
,2437.3164,2437.3164,2441.7566
,2441.7566,2441.7566,2440.8938
,2440.8938,2440.8938,2436.1165
,2436.1165,2436.1165,2432.4297
,2432.4297,2432.4297,2433.509
,2433.509,2433.509,2438.861
,2438.861,2438.861,2446.7373
,2446.7373,2446.7373,2453.8918
,2453.8918,2453.8918,2460.5579
,2460.5579,2460.5579,2469.6062
,2469.6062,2469.6062,2486.081
,2486.081,2486.081,2511.3572
,2511.3572,2511.3572,2534.6555
,2534.6555,2534.6555,2550.0334
,2550.0334,2550.0334,2559.4138
,2559.4138,2559.4138,2568.1504
,2568.1504,2568.1504,2579.4841
,2579.4841,2579.4841,2593.5405
,2593.5405,2593.5405,2609.77
,2609.77,2609.77,2628.844
,2628.844,2628.844,2652.3335
,2652.3335,2652.3335,2675.5518
,2675.5518,2675.5518,2696.5574
,2696.5574,2696.5574,2709.801
,2709.801,2709.801,2714.0735
,2714.0735,2714.0735,2717.4136
,2717.4136,2717.4136,2731.3445
,2731.3445,2731.3445,2755.9685
,2755.9685,2755.9685,2797.1333
,2797.1333,2797.1333,2844.6726
,2844.6726,2844.6726,2894.769
,2894.769,2894.769,2949.3896
,2949.3896,2949.3896,3005.3596
,3005.3596,3005.3596,3050.2642
,3050.2642,3050.2642,3078.7659
,3078.7659,3078.7659,3087.6965
,3087.6965,3087.6965,3081.3076
,3081.3076,3081.3076,3064.0981
,3064.0981,3064.0981,3058.674
,3058.674,3058.674,3065.46
,3065.46,3065.46,3076.0955
,3076.0955,3076.0955,3077.5374
,3077.5374,3077.5374,3069.9795
,3069.9795,3069.9795,3060.9954
,3060.9954,3060.9954,3050.584
,3050.584,3050.584,3041.8164
,3041.8164,3041.8164,3037.1902
,3037.1902,3037.1902,3044.3308
,3044.3308,3044.3308,3057.8418
,3057.8418,3057.8418,3074.1533
,3074.1533,3074.1533,3094.8672
,3094.8672,3094.8672,3119.2883
,3119.2883,3119.2883,3140.1018
,3140.1018,3140.1018,3153.0217
,3153.0217,3153.0217,3153.8403
,3153.8403,3153.8403,3150.8699
,3150.8699,3150.8699,3148.756
,3148.756,3148.756,3147.649
,3147.649,3147.649,3149.4797
,3149.4797,3149.4797,3162.969
,3162.969,3162.969,3182.803
,3182.803,3182.803,3205.6262
,3205.6262,3205.6262,3227.0662
,3227.0662,3227.0662,3246.2498
,3246.2498,3246.2498,3265.226
,3265.226,3265.226,3290.176
,3290.176,3290.176,3316.6047
,3316.6047,3316.6047,3340.2676
,3340.2676,3340.2676,3362.5366
,3362.5366,3362.5366,3386.4006
,3386.4006,3386.4006,3412.9092
,3412.9092,3412.9092,3428.1409
,3428.1409,3428.1409,3424.3984
,3424.3984,3424.3984,3396.0046
,3396.0046,3396.0046,3359.6636
,3359.6636,3359.6636,3320.4294
,3320.4294,3320.4294,3278.717
,3278.717,3278.717,3237.194
,3237.194,3237.194,3203.4167
,3203.4167,3203.4167,3174.3884
,3174.3884,3174.3884,3144.2012
,3144.2012,3144.2012,3109.6118
,3109.6118,3109.6118,3074.0674
,3074.0674,3074.0674,3053.6963
,3053.6963,3053.6963,3041.6304
,3041.6304,3041.6304,3033.9424
,3033.9424,3033.9424,3034.034
,3034.034,3034.034,3046.3953
,3046.3953,3046.3953,3065.5564
,3065.5564,3065.5564,3085.9553
,3085.9553,3085.9553,3109.1316
,3109.1316,3109.1316,3126.6982
,3126.6982,3126.6982,3141.2761
,3141.2761,3141.2761,3147.3135
,3147.3135,3147.3135,3151.6772
,3151.6772,3151.6772,3157.0864
,3157.0864,3157.0864,3170.1208
,3170.1208,3170.1208,3200.5388
,3200.5388,3200.5388,3243.747
,3243.747,3243.747,3284.6868
,3284.6868,3284.6868,3314.2253
,3314.2253,3314.2253,3326.9417
,3326.9417,3326.9417,3321.3853
,3321.3853,3321.3853,3304.3594
,3304.3594,3304.3594,3281.1157
,3281.1157,3281.1157,3256.2202
,3256.2202,3256.2202,3235.278
,3235.278,3235.278,3220.4417
,3220.4417,3220.4417,3216.7754
,3216.7754,3216.7754,3213.9827
,3213.9827,3213.9827,3211.2876
,3211.2876,3211.2876,3196.9353
,3196.9353,3196.9353,3169.2507
,3169.2507,3169.2507,3137.71
,3137.71,3137.71,3122.8862
,3122.8862,3122.8862,3132.9949
,3132.9949,3132.9949,3160.2283
,3160.2283,3160.2283,3182.0183
,3182.0183,3182.0183,3183.1948
,3183.1948,3183.1948,3173.3745
,3173.3745,3173.3745,3159.3599
,3159.3599,3159.3599,3146.7043
,3146.7043,3146.7043,3137.634
,3137.634,3137.634,3132.4243
,3132.4243,3132.4243,3128.0376
,3128.0376,3128.0376,3124.2024
,3124.2024,3124.2024,3119.8616
,3119.8616,3119.8616,3115.047
,3115.047,3115.047,3111.7104
,3111.7104,3111.7104,3115.0193
,3115.0193,3115.0193,3125.07
,3125.07,3125.07,3136.7712
,3136.7712,3136.7712,3150.539
,3150.539,3150.539,3164.031
,3164.031,3164.031,3174.3237
,3174.3237,3174.3237,3179.109
,3179.109,3179.109,3178.8481
,3178.8481,3178.8481,3176.8574
,3176.8574,3176.8574,3169.8977
,3169.8977,3169.8977,3158.497
,3158.497,3158.497,3146.3403
,3146.3403,3146.3403,3138.6914
,3138.6914,3138.6914,3136.8982
,3136.8982,3136.8982,3144.6724
,3144.6724,3144.6724,3159.2898
,3159.2898,3159.2898,3173.8628
,3173.8628,3173.8628,3185.3423
,3185.3423,3185.3423,3193.2483
,3193.2483,3193.2483,3196.7036
,3196.7036,3196.7036,3195.7349
,3195.7349,3195.7349,3199.6997
,3199.6997,3199.6997,3212.7922
,3212.7922,3212.7922,3229.555
,3229.555,3229.555,3243.338
,3243.338,3243.338,3247.1143
,3247.1143,3247.1143,3243.9316
,3243.9316,3243.9316,3232.202
,3232.202,3232.202,3216.427
,3216.427,3216.427,3202.217
,3202.217,3202.217,3187.043
,3187.043,3187.043,3171.4902
,3171.4902,3171.4902,3160.3098
,3160.3098,3160.3098,3151.8818
,3151.8818,3151.8818,3143.4004
,3143.4004,3143.4004,3135.7166
,3135.7166,3135.7166,3139.5945
,3139.5945,3139.5945,3157.9368
,3157.9368,3157.9368,
