stock,Actual,pred,PredLag
,85.84383,85.84383,85.041565
,85.041565,85.041565,84.32998
,84.32998,84.32998,83.81254
,83.81254,83.81254,83.627815
,83.627815,83.627815,83.9466
,83.9466,83.9466,85.19772
,85.19772,85.19772,86.79059
,86.79059,86.79059,88.05242
,88.05242,88.05242,88.654434
,88.654434,88.654434,88.71489
,88.71489,88.71489,88.27461
,88.27461,88.27461,87.72868
,87.72868,87.72868,87.48779
,87.48779,87.48779,87.30015
,87.30015,87.30015,86.88991
,86.88991,86.88991,85.911354
,85.911354,85.911354,84.91905
,84.91905,84.91905,84.09837
,84.09837,84.09837,83.924065
,83.924065,83.924065,84.27855
,84.27855,84.27855,85.138824
,85.138824,85.138824,86.21446
,86.21446,86.21446,87.21932
,87.21932,87.21932,88.37167
,88.37167,88.37167,90.1275
,90.1275,90.1275,92.09493
,92.09493,92.09493,93.683495
,93.683495,93.683495,94.83071
,94.83071,94.83071,95.77572
,95.77572,95.77572,97.05541
,97.05541,97.05541,98.73189
,98.73189,98.73189,100.77223
,100.77223,100.77223,103.175285
,103.175285,103.175285,105.42809
,105.42809,105.42809,106.929276
,106.929276,106.929276,107.09412
,107.09412,107.09412,106.385254
,106.385254,106.385254,105.5015
,105.5015,105.5015,104.90698
,104.90698,104.90698,104.559364
,104.559364,104.559364,104.23214
,104.23214,104.23214,103.77551
,103.77551,103.77551,103.116974
,103.116974,103.116974,102.35008
,102.35008,102.35008,101.324425
,101.324425,101.324425,100.30387
,100.30387,100.30387,99.15128
,99.15128,99.15128,98.003136
,98.003136,98.003136,97.04575
,97.04575,97.04575,96.26344
,96.26344,96.26344,95.65768
,95.65768,95.65768,95.37484
,95.37484,95.37484,95.130875
,95.130875,95.130875,94.81029
,94.81029,94.81029,94.27104
,94.27104,94.27104,93.76605
,93.76605,93.76605,93.44432
,93.44432,93.44432,93.39872
,93.39872,93.39872,93.74585
,93.74585,93.74585,94.29682
,94.29682,94.29682,94.78973
,94.78973,94.78973,95.04095
,95.04095,95.04095,95.22501
,95.22501,95.22501,95.4404
,95.4404,95.4404,95.69612
,95.69612,95.69612,95.86343
,95.86343,95.86343,95.94416
,95.94416,95.94416,95.872284
,95.872284,95.872284,95.83887
,95.83887,95.83887,95.76314
,95.76314,95.76314,95.52904
,95.52904,95.52904,95.18273
,95.18273,95.18273,94.784424
,94.784424,94.784424,94.55407
,94.55407,94.55407,94.56749
,94.56749,94.56749,94.98796
,94.98796,94.98796,95.882195
,95.882195,95.882195,97.163124
,97.163124,97.163124,98.46682
,98.46682,98.46682,99.476906
,99.476906,99.476906,100.12307
,100.12307,100.12307,100.26908
,100.26908,100.26908,99.95933
,99.95933,99.95933,99.40384
,99.40384,99.40384,98.783676
,98.783676,98.783676,98.17676
,98.17676,98.17676,97.86406
,97.86406,97.86406,97.8501
,97.8501,97.8501,97.9774
,97.9774,97.9774,98.35459
,98.35459,98.35459,98.99431
,98.99431,98.99431,99.696815
,99.696815,99.696815,100.38041
,100.38041,100.38041,101.12143
,101.12143,101.12143,101.885704
,101.885704,101.885704,102.67977
,102.67977,102.67977,103.30086
,103.30086,103.30086,103.69441
,103.69441,103.69441,103.827446
,103.827446,103.827446,103.80806
,103.80806,103.80806,104.00454
,104.00454,104.00454,104.418976
,104.418976,104.418976,104.88008
,104.88008,104.88008,105.18412
,105.18412,105.18412,105.21043
,105.21043,105.21043,104.64334
,104.64334,104.64334,103.62974
,103.62974,103.62974,102.252884
,102.252884,102.252884,100.74211
,100.74211,100.74211,99.38401
,99.38401,99.38401,98.49699
,98.49699,98.49699,98.01399
,98.01399,98.01399,97.97103
,97.97103,97.97103,98.32179
,98.32179,98.32179,98.914314
,98.914314,98.914314,99.736565
,99.736565,99.736565,100.51006
,100.51006,100.51006,101.20939
,101.20939,101.20939,102.005974
,102.005974,102.005974,102.89558
,102.89558,102.89558,103.79196
,103.79196,103.79196,104.48516
,104.48516,104.48516,104.90644
,104.90644,104.90644,105.07504
,105.07504,105.07504,105.10609
,105.10609,105.10609,104.910545
,104.910545,104.910545,104.58361
,104.58361,104.58361,104.11045
,104.11045,104.11045,103.79818
,103.79818,103.79818,103.460526
,103.460526,103.460526,102.75321
,102.75321,102.75321,101.59419
,101.59419,101.59419,99.96784
,99.96784,99.96784,98.103226
,98.103226,98.103226,96.3067
,96.3067,96.3067,94.934395
,94.934395,94.934395,94.26159
,94.26159,94.26159,94.195305
,94.195305,94.195305,94.61358
,94.61358,94.61358,95.19017
,95.19017,95.19017,97.18126
,97.18126,97.18126,100.36359
,100.36359,100.36359,103.62677
,103.62677,103.62677,106.3201
,106.3201,106.3201,108.54156
,108.54156,108.54156,110.62107
,110.62107,110.62107,112.41772
,112.41772,112.41772,113.6667
,113.6667,113.6667,114.3619
,114.3619,114.3619,114.53766
,114.53766,114.53766,114.609886
,114.609886,114.609886,115.05893
,115.05893,115.05893,115.89375
,115.89375,115.89375,116.90455
,116.90455,116.90455,117.744865
,117.744865,117.744865,118.39075
,118.39075,118.39075,119.0403
,119.0403,119.0403,119.775444
,119.775444,119.775444,120.66868
,120.66868,120.66868,121.54972
,121.54972,121.54972,122.264
,122.264,122.264,122.64059
,122.64059,122.64059,122.7198
,122.7198,122.7198,122.50464
,122.50464,122.50464,121.90289
,121.90289,121.90289,121.17087
,121.17087,121.17087,120.49484
,120.49484,120.49484,119.95552
,119.95552,119.95552,119.46157
,119.46157,119.46157,118.91763
,118.91763,118.91763,118.21843
,118.21843,118.21843,117.600044
,117.600044,117.600044,117.20088
,117.20088,117.20088,117.08526
,117.08526,117.08526,117.168976
,117.168976,117.168976,117.437416
,117.437416,117.437416,117.91536
,117.91536,117.91536,118.30939
,118.30939,118.30939,118.55445
,118.55445,118.55445,118.98385
,118.98385,118.98385,119.534744
,119.534744,119.534744,120.093895
,120.093895,120.093895,120.5309
,120.5309,120.5309,120.853
,120.853,120.853,121.13994
,121.13994,121.13994,121.50821
,121.50821,121.50821,121.82871
,121.82871,121.82871,122.362305
,122.362305,122.362305,123.25831
,123.25831,123.25831,124.26859
,124.26859,124.26859,
