stock,Actual,pred,PredLag
,144.61775,144.61775,143.49763
,143.49763,143.49763,142.13898
,142.13898,142.13898,140.29305
,140.29305,140.29305,138.10616
,138.10616,138.10616,136.09857
,136.09857,136.09857,135.0805
,135.0805,135.0805,135.20898
,135.20898,135.20898,135.5682
,135.5682,135.5682,135.57942
,135.57942,135.57942,134.77078
,134.77078,134.77078,133.07918
,133.07918,133.07918,131.39879
,131.39879,131.39879,130.51404
,130.51404,130.51404,130.13945
,130.13945,130.13945,129.7229
,129.7229,129.7229,128.86049
,128.86049,128.86049,127.7174
,127.7174,127.7174,126.372444
,126.372444,126.372444,126.09913
,126.09913,126.09913,126.672935
,126.672935,126.672935,127.82266
,127.82266,127.82266,129.59645
,129.59645,129.59645,131.59525
,131.59525,131.59525,133.96571
,133.96571,133.96571,136.83545
,136.83545,136.83545,139.89716
,139.89716,139.89716,142.46999
,142.46999,142.46999,144.6931
,144.6931,144.6931,146.75023
,146.75023,146.75023,150.01318
,150.01318,150.01318,155.1353
,155.1353,155.1353,162.79814
,162.79814,162.79814,173.61247
,173.61247,173.61247,184.9959
,184.9959,184.9959,194.03462
,194.03462,194.03462,197.5788
,197.5788,197.5788,197.56987
,197.56987,197.56987,196.16399
,196.16399,196.16399,195.06587
,195.06587,195.06587,194.37315
,194.37315,194.37315,193.91676
,193.91676,193.91676,193.2113
,193.2113,193.2113,192.32687
,192.32687,192.32687,191.39401
,191.39401,191.39401,189.74606
,189.74606,189.74606,187.35312
,187.35312,187.35312,184.31203
,184.31203,184.31203,182.81921
,182.81921,182.81921,182.48048
,182.48048,182.48048,182.45685
,182.45685,182.45685,182.40028
,182.40028,182.40028,182.75226
,182.75226,182.75226,182.89828
,182.89828,182.89828,182.72908
,182.72908,182.72908,181.87534
,181.87534,181.87534,180.85747
,180.85747,180.85747,179.81581
,179.81581,179.81581,179.15675
,179.15675,179.15675,179.50706
,179.50706,179.50706,180.06375
,180.06375,180.06375,180.17426
,180.17426,180.17426,179.69879
,179.69879,179.69879,179.1484
,179.1484,179.1484,178.86353
,178.86353,178.86353,178.6347
,178.6347,178.6347,178.1725
,178.1725,178.1725,177.24144
,177.24144,177.24144,176.03636
,176.03636,176.03636,174.47534
,174.47534,174.47534,172.45575
,172.45575,172.45575,169.9579
,169.9579,169.9579,167.61623
,167.61623,167.61623,165.97697
,165.97697,165.97697,165.7409
,165.7409,165.7409,166.54369
,166.54369,166.54369,167.66109
,167.66109,167.66109,169.33456
,169.33456,169.33456,171.4477
,171.4477,171.4477,173.31866
,173.31866,173.31866,174.60162
,174.60162,174.60162,175.54912
,175.54912,175.54912,175.88628
,175.88628,175.88628,175.5459
,175.5459,175.5459,174.69646
,174.69646,174.69646,173.65111
,173.65111,173.65111,172.50427
,172.50427,172.50427,172.1482
,172.1482,172.1482,172.4199
,172.4199,172.4199,172.7821
,172.7821,172.7821,173.15652
,173.15652,173.15652,173.63002
,173.63002,173.63002,173.89153
,173.89153,173.89153,173.89253
,173.89253,173.89253,173.9086
,173.9086,173.9086,173.61159
,173.61159,173.61159,173.14944
,173.14944,173.14944,171.97649
,171.97649,171.97649,170.17793
,170.17793,170.17793,167.93027
,167.93027,167.93027,165.7782
,165.7782,165.7782,164.3938
,164.3938,164.3938,163.70598
,163.70598,163.70598,163.75159
,163.75159,163.75159,164.31174
,164.31174,164.31174,164.645
,164.645,164.645,164.20555
,164.20555,164.20555,163.15384
,163.15384,163.15384,161.45734
,161.45734,161.45734,159.06136
,159.06136,159.06136,157.05243
,157.05243,157.05243,156.55827
,156.55827,156.55827,157.2908
,157.2908,157.2908,158.74338
,158.74338,158.74338,160.59578
,160.59578,160.59578,162.51633
,162.51633,162.51633,164.4661
,164.4661,164.4661,165.47754
,165.47754,165.47754,165.79262
,165.79262,165.79262,166.0023
,166.0023,166.0023,166.27916
,166.27916,166.27916,166.60999
,166.60999,166.60999,166.5694
,166.5694,166.5694,166.20454
,166.20454,166.20454,165.76054
,165.76054,165.76054,165.60132
,165.60132,165.60132,165.74626
,165.74626,165.74626,166.08037
,166.08037,166.08037,166.23595
,166.23595,166.23595,166.50188
,166.50188,166.50188,166.82997
,166.82997,166.82997,166.6792
,166.6792,166.6792,165.62582
,165.62582,165.62582,163.41362
,163.41362,163.41362,160.51952
,160.51952,160.51952,157.284
,157.284,157.284,154.44116
,154.44116,154.44116,152.66971
,152.66971,152.66971,151.8067
,151.8067,151.8067,151.90428
,151.90428,151.90428,152.71825
,152.71825,152.71825,155.39677
,155.39677,155.39677,160.23724
,160.23724,160.23724,165.76941
,165.76941,165.76941,170.43752
,170.43752,170.43752,174.44846
,174.44846,174.44846,178.98288
,178.98288,178.98288,184.5076
,184.5076,184.5076,189.92972
