stock,Actual,pred,PredLag
,115.47718,115.47718,114.49523
,114.49523,114.49523,113.7125
,113.7125,113.7125,113.30251
,113.30251,113.30251,113.30138
,113.30138,113.30138,113.597336
,113.597336,113.597336,114.35567
,114.35567,114.35567,115.178635
,115.178635,115.178635,115.44235
,115.44235,115.44235,114.88295
,114.88295,114.88295,113.834
,113.834,113.834,112.578964
,112.578964,112.578964,111.33013
,111.33013,111.33013,110.57566
,110.57566,110.57566,110.125305
,110.125305,110.125305,109.55758
,109.55758,109.55758,108.77231
,108.77231,108.77231,108.006325
,108.006325,108.006325,107.52271
,107.52271,107.52271,107.84829
,107.84829,107.84829,108.66444
,108.66444,108.66444,109.86141
,109.86141,109.86141,111.0943
,111.0943,111.0943,112.03235
,112.03235,112.03235,112.955154
,112.955154,112.955154,114.27886
,114.27886,114.27886,115.7948
,115.7948,115.7948,117.18826
,117.18826,117.18826,118.324234
,118.324234,118.324234,119.37527
,119.37527,119.37527,120.63226
,120.63226,120.63226,122.16685
,122.16685,122.16685,124.22407
,124.22407,124.22407,126.75679
,126.75679,126.75679,129.14894
,129.14894,129.14894,130.93068
,130.93068,130.93068,131.26912
,131.26912,131.26912,130.4471
,130.4471,130.4471,129.08643
,129.08643,129.08643,128.1283
,128.1283,128.1283,127.68194
,127.68194,127.68194,127.5499
,127.5499,127.5499,127.55144
,127.55144,127.55144,127.4709
,127.4709,127.4709,127.30565
,127.30565,127.30565,126.81047
,126.81047,126.81047,126.22618
,126.22618,126.22618,125.5617
,125.5617,125.5617,125.08139
,125.08139,125.08139,124.94381
,124.94381,124.94381,125.05793
,125.05793,125.05793,125.40857
,125.40857,125.40857,126.015
,126.015,126.015,126.60121
,126.60121,126.60121,127.09624
,127.09624,127.09624,127.315575
,127.315575,127.315575,127.43173
,127.43173,127.43173,127.72524
,127.72524,127.72524,128.65585
,128.65585,128.65585,130.20566
,130.20566,130.20566,132.0431
,132.0431,132.0431,133.70712
,133.70712,133.70712,134.82741
,134.82741,134.82741,135.48166
,135.48166,135.48166,135.90425
,135.90425,135.90425,136.19421
,136.19421,136.19421,136.46516
,136.46516,136.46516,136.90262
,136.90262,136.90262,137.35065
,137.35065,137.35065,137.88246
,137.88246,137.88246,138.20062
,138.20062,138.20062,137.96664
,137.96664,137.96664,137.1932
,137.1932,137.1932,136.11728
,136.11728,136.11728,135.24316
,135.24316,135.24316,134.69585
,134.69585,134.69585,134.4603
,134.4603,134.4603,134.94089
,134.94089,134.94089,136.05528
