stock,Actual,pred,PredLag
,41.835617,41.835617,41.80709
,41.80709,41.80709,41.75914
,41.75914,41.75914,41.778843
,41.778843,41.778843,41.909634
,41.909634,41.909634,42.076492
,42.076492,42.076492,42.28578
,42.28578,42.28578,42.44806
,42.44806,42.44806,42.430965
,42.430965,42.430965,42.28142
,42.28142,42.28142,42.086006
,42.086006,42.086006,41.880314
,41.880314,41.880314,41.70553
,41.70553,41.70553,41.691223
,41.691223,41.691223,41.85433
,41.85433,41.85433,42.116894
,42.116894,42.116894,42.308956
,42.308956,42.308956,42.51649
,42.51649,42.51649,42.791073
,42.791073,42.791073,43.160656
,43.160656,43.160656,43.543575
,43.543575,43.543575,43.935207
,43.935207,43.935207,44.251972
,44.251972,44.251972,44.48377
,44.48377,44.48377,44.638897
,44.638897,44.638897,44.813587
,44.813587,44.813587,44.99842
,44.99842,44.99842,45.323376
,45.323376,45.323376,45.661392
,45.661392,45.661392,45.971313
,45.971313,45.971313,46.23648
,46.23648,46.23648,46.44344
,46.44344,46.44344,46.660408
,46.660408,46.660408,46.91544
,46.91544,46.91544,47.178593
,47.178593,47.178593,47.371872
,47.371872,47.371872,47.214596
,47.214596,47.214596,46.831947
,46.831947,46.831947,46.40668
,46.40668,46.40668,46.12121
,46.12121,46.12121,45.984085
,45.984085,45.984085,45.925003
,45.925003,45.925003,45.86082
,45.86082,45.86082,45.76041
,45.76041,45.76041,45.658146
,45.658146,45.658146,45.525738
,45.525738,45.525738,45.402985
,45.402985,45.402985,45.38827
,45.38827,45.38827,45.46984
,45.46984,45.46984,45.634766
,45.634766,45.634766,45.799625
,45.799625,45.799625,45.892918
,45.892918,45.892918,45.965668
,45.965668,45.965668,45.98695
,45.98695,45.98695,45.970192
,45.970192,45.970192,45.998146
,45.998146,45.998146,46.080902
,46.080902,46.080902,46.142265
,46.142265,46.142265,46.179516
,46.179516,46.179516,46.211308
,46.211308,46.211308,46.200638
,46.200638,46.200638,46.215427
,46.215427,46.215427,46.288837
,46.288837,46.288837,46.408108
,46.408108,46.408108,46.534824
,46.534824,46.534824,46.68004
,46.68004,46.68004,46.763107
,46.763107,46.763107,46.82352
,46.82352,46.82352,46.81992
,46.81992,46.81992,46.785946
,46.785946,46.785946,46.729736
,46.729736,46.729736,46.709656
,46.709656,46.709656,46.740406
,46.740406,46.740406,46.840828
