stock,Actual,pred,PredLag
,83.52403,83.52403,83.544945
,83.544945,83.544945,83.79794
,83.79794,83.79794,84.28589
,84.28589,84.28589,85.07372
,85.07372,85.07372,86.04572
,86.04572,86.04572,87.35865
,87.35865,87.35865,88.68848
,88.68848,88.68848,89.627335
,89.627335,89.627335,90.24716
,90.24716,90.24716,90.760765
,90.760765,90.760765,91.0395
,91.0395,91.0395,91.26221
,91.26221,91.26221,91.70344
,91.70344,91.70344,92.2025
,92.2025,92.2025,92.47003
,92.47003,92.47003,92.297195
,92.297195,92.297195,91.87557
,91.87557,91.87557,91.335754
,91.335754,91.335754,91.02918
,91.02918,91.02918,90.81579
,90.81579,90.81579,90.845924
,90.845924,90.845924,91.03421
,91.03421,91.03421,91.1517
,91.1517,91.1517,91.34732
,91.34732,91.34732,91.69237
,91.69237,91.69237,91.91761
,91.91761,91.91761,92.001755
,92.001755,92.001755,92.06998
,92.06998,92.06998,92.30331
,92.30331,92.30331,92.86508
,92.86508,92.86508,93.594215
,93.594215,93.594215,94.63394
,94.63394,94.63394,96.04207
,96.04207,96.04207,97.49179
,97.49179,97.49179,98.467094
,98.467094,98.467094,98.307205
,98.307205,98.307205,97.39385
,97.39385,97.39385,96.13437
,96.13437,96.13437,95.052864
,95.052864,95.052864,94.15943
,94.15943,94.15943,93.456184
,93.456184,93.456184,92.83908
,92.83908,92.83908,92.35341
,92.35341,92.35341,92.00329
,92.00329,92.00329,91.50062
,91.50062,91.50062,90.93579
,90.93579,90.93579,90.22576
,90.22576,90.22576,89.517555
,89.517555,89.517555,89.029594
,89.029594,89.029594,88.682274
,88.682274,88.682274,88.46091
,88.46091,88.46091,88.358154
,88.358154,88.358154,88.18169
,88.18169,88.18169,87.90105
,87.90105,87.90105,87.315796
,87.315796,87.315796,86.67084
,86.67084,86.67084,86.14496
,86.14496,86.14496,85.99529
,85.99529,85.99529,86.23134
,86.23134,86.23134,86.66157
,86.66157,86.66157,87.039474
,87.039474,87.039474,87.1415
,87.1415,87.1415,87.41499
,87.41499,87.41499,87.93712
,87.93712,87.93712,88.58896
,88.58896,88.58896,89.17205
,89.17205,89.17205,89.66625
,89.66625,89.66625,89.93413
,89.93413,89.93413,90.048836
,90.048836,90.048836,89.81912
,89.81912,89.81912,89.13432
,89.13432,89.13432,88.22332
,88.22332,88.22332,87.43299
,87.43299,87.43299,86.942955
,86.942955,86.942955,86.753914
,86.753914,86.753914,86.72357
,86.72357,86.72357,86.95725
,86.95725,86.95725,87.39199
,87.39199,87.39199,87.97989
,87.97989,87.97989,88.55249
,88.55249,88.55249,89.05296
,89.05296,89.05296,89.48835
,89.48835,89.48835,89.633675
,89.633675,89.633675,89.402725
,89.402725,89.402725,88.80475
,88.80475,88.80475,88.02891
,88.02891,88.02891,87.40609
,87.40609,87.40609,86.96448
,86.96448,86.96448,86.57139
,86.57139,86.57139,86.19799
,86.19799,86.19799,85.91273
,85.91273,85.91273,85.61401
,85.61401,85.61401,85.22616
,85.22616,85.22616,84.79197
,84.79197,84.79197,84.31331
,84.31331,84.31331,83.81193
,83.81193,83.81193,83.129456
,83.129456,83.129456,82.38895
,82.38895,82.38895,81.58345
,81.58345,81.58345,80.748726
,80.748726,80.748726,79.9387
,79.9387,79.9387,79.153885
,79.153885,79.153885,78.595085
,78.595085,78.595085,78.31804
,78.31804,78.31804,78.21804
,78.21804,78.21804,78.06806
,78.06806,78.06806,77.76411
,77.76411,77.76411,77.10035
,77.10035,77.10035,76.16153
,76.16153,76.16153,75.14926
,75.14926,75.14926,74.376366
,74.376366,74.376366,73.77802
,73.77802,73.77802,73.30446
,73.30446,73.30446,72.82269
,72.82269,72.82269,72.37874
,72.37874,72.37874,72.123665
