stock,Actual,pred,PredLag
,103.6948,103.6948,103.32575
,103.32575,103.32575,102.853714
,102.853714,102.853714,102.413284
,102.413284,102.413284,102.40908
,102.40908,102.40908,102.8493
,102.8493,102.8493,103.964294
,103.964294,103.964294,105.248535
,105.248535,105.248535,106.17
,106.17,106.17,106.45369
,106.45369,106.45369,106.068794
,106.068794,106.068794,105.25287
,105.25287,105.25287,104.62461
,104.62461,104.62461,104.63271
,104.63271,104.63271,105.097
,105.097,105.097,105.51594
,105.51594,105.51594,105.586555
,105.586555,105.586555,105.54899
,105.54899,105.54899,105.76936
,105.76936,105.76936,106.81927
,106.81927,106.81927,108.36489
,108.36489,108.36489,110.371864
,110.371864,110.371864,112.407555
,112.407555,112.407555,114.175964
,114.175964,114.175964,115.7641
,115.7641,115.7641,117.20855
,117.20855,117.20855,118.12312
,118.12312,118.12312,118.51088
,118.51088,118.51088,118.64395
,118.64395,118.64395,118.693214
,118.693214,118.693214,118.97074
,118.97074,118.97074,119.59275
,119.59275,119.59275,120.506386
,120.506386,120.506386,121.69959
,121.69959,121.69959,122.755905
,122.755905,122.755905,123.372635
,123.372635,123.372635,122.888504
,122.888504,122.888504,121.67449
,121.67449,121.67449,120.34205
,120.34205,120.34205,119.32086
,119.32086,119.32086,118.64574
,118.64574,118.64574,118.28961
,118.28961,118.28961,117.87752
,117.87752,117.87752,117.43302
,117.43302,117.43302,117.077095
,117.077095,117.077095,116.52895
,116.52895,116.52895,115.73004
,115.73004,115.73004,114.65435
,114.65435,114.65435,113.63374
,113.63374,113.63374,112.84467
,112.84467,112.84467,112.4183
,112.4183,112.4183,112.24534
,112.24534,112.24534,112.36726
,112.36726,112.36726,112.64476
,112.64476,112.64476,113.16884
,113.16884,113.16884,113.87446
,113.87446,113.87446,114.80243
,114.80243,114.80243,115.61261
,115.61261,115.61261,116.332016
,116.332016,116.332016,117.12813
,117.12813,117.12813,117.87488
,117.87488,117.87488,118.42391
,118.42391,118.42391,118.693146
,118.693146,118.693146,118.79219
,118.79219,118.79219,118.843216
,118.843216,118.843216,118.83165
,118.83165,118.83165,118.72973
,118.72973,118.72973,118.47277
,118.47277,118.47277,118.09823
,118.09823,118.09823,117.64814
,117.64814,117.64814,117.19559
,117.19559,117.19559,116.88819
,116.88819,116.88819,116.7082
,116.7082,116.7082,116.678085
,116.678085,116.678085,117.49078
,117.49078,117.49078,119.29287
,119.29287,119.29287,121.58349
,121.58349,121.58349,123.76923
,123.76923,123.76923,125.66323
,125.66323,125.66323,127.28566
,127.28566,127.28566,128.56969
,128.56969,128.56969,129.47804
,129.47804,129.47804,129.97668
,129.97668,129.97668,130.12117
,130.12117,130.12117,129.95723
,129.95723,129.95723,129.63455
,129.63455,129.63455,129.23126
,129.23126,129.23126,129.05118
,129.05118,129.05118,129.07697
,129.07697,129.07697,129.38396
,129.38396,129.38396,129.99701
,129.99701,129.99701,130.90558
,130.90558,130.90558,131.68463
,131.68463,131.68463,132.28517
,132.28517,132.28517,132.86052
,132.86052,132.86052,133.28514
,133.28514,133.28514,133.43437
,133.43437,133.43437,133.50526
,133.50526,133.50526,133.53836
,133.53836,133.53836,133.53644
,133.53644,133.53644,133.40567
,133.40567,133.40567,133.12738
,133.12738,133.12738,132.76738
,132.76738,132.76738,132.46297
,132.46297,132.46297,132.13159
,132.13159,132.13159,131.6547
,131.6547,131.6547,130.84746
,130.84746,130.84746,129.94151
,129.94151,129.94151,128.85109
,128.85109,128.85109,127.612236
,127.612236,127.612236,126.48628
,126.48628,126.48628,125.75042
,125.75042,125.75042,125.37362
,125.37362,125.37362,125.14453
,125.14453,125.14453,124.9018
,124.9018,124.9018,124.56741
,124.56741,124.56741,124.234344
,124.234344,124.234344,123.7919
,123.7919,123.7919,123.40116
,123.40116,123.40116,123.15128
,123.15128,123.15128,123.17072
,123.17072,123.17072,123.41133
,123.41133,123.41133,124.04098
,124.04098,124.04098,124.78521
,124.78521,124.78521,125.49815
,125.49815,125.49815,126.06399
,126.06399,126.06399,126.27454
,126.27454,126.27454,126.212296
,126.212296,126.212296,126.13187
,126.13187,126.13187,126.19842
,126.19842,126.19842,126.46009
,126.46009,126.46009,126.538994
,126.538994,126.538994,126.295074
,126.295074,126.295074,125.47991
,125.47991,125.47991,124.472115
,124.472115,124.472115,123.538475
,123.538475,123.538475,122.71622
,122.71622,122.71622,122.30004
,122.30004,122.30004,122.36703
,122.36703,122.36703,122.89933
,122.89933,122.89933,123.732185
,123.732185,123.732185,125.71868
,125.71868,125.71868,128.63026
,128.63026,128.63026,131.52214
,131.52214,131.52214,133.70233
,133.70233,133.70233,135.25269
,135.25269,135.25269,136.7848
,136.7848,136.7848,138.4021
,138.4021,138.4021,139.92029
,139.92029,139.92029,141.03645
,141.03645,141.03645,141.65659
,141.65659,141.65659,142.22784
,142.22784,142.22784,143.2824
,143.2824,143.2824,144.58647
,144.58647,144.58647,145.71074
,145.71074,145.71074,146.55316
,146.55316,146.55316,147.23499
,147.23499,147.23499,148.10379
,148.10379,148.10379,149.13066
,149.13066,149.13066,150.22295
,150.22295,150.22295,151.2175
,151.2175,151.2175,152.02434
,152.02434,152.02434,152.67409
,152.67409,152.67409,153.2066
,153.2066,153.2066,155.10905
,155.10905,155.10905,157.89243
,157.89243,157.89243,161.12883
,161.12883,161.12883,164.25801
,164.25801,164.25801,166.94456
,166.94456,166.94456,169.00739
,169.00739,169.00739,170.3033
,170.3033,170.3033,170.93115
,170.93115,170.93115,171.32437
,171.32437,171.32437,171.69585
,171.69585,171.69585,172.43523
,172.43523,172.43523,173.39113
,173.39113,173.39113,174.61598
,174.61598,174.61598,175.96468
,175.96468,175.96468,177.00171
,177.00171,177.00171,177.65735
,177.65735,177.65735,178.05725
,178.05725,178.05725,178.26851
,178.26851,178.26851,178.36185
,178.36185,178.36185,178.41835
,178.41835,178.41835,178.25526
,178.25526,178.25526,177.8926
,177.8926,177.8926,177.25154
,177.25154,177.25154,176.2988
,176.2988,176.2988,175.25266
,175.25266,175.25266,174.3956
,174.3956,174.3956,173.65204
,173.65204,173.65204,
