stock,Actual,pred,PredLag
,6.701832,6.701832,6.6411953
,6.6411953,6.6411953,6.59524
,6.59524,6.59524,6.546742
,6.546742,6.546742,6.505353
,6.505353,6.505353,6.5024676
,6.5024676,6.5024676,6.5210357
,6.5210357,6.5210357,6.560236
,6.560236,6.560236,6.5900626
,6.5900626,6.5900626,6.580035
,6.580035,6.580035,6.5338526
,6.5338526,6.5338526,6.454179
,6.454179,6.454179,6.367531
,6.367531,6.367531,6.304572
,6.304572,6.304572,6.264535
,6.264535,6.264535,6.2272162
,6.2272162,6.2272162,6.172211
,6.172211,6.172211,6.0966196
,6.0966196,6.0966196,5.99784
,5.99784,5.99784,5.944895
,5.944895,5.944895,5.9476523
,5.9476523,5.9476523,6.0020733
,6.0020733,6.0020733,6.089668
,6.089668,6.089668,6.1819835
,6.1819835,6.1819835,6.289315
,6.289315,6.289315,6.4393353
,6.4393353,6.4393353,6.580839
,6.580839,6.580839,6.6713443
,6.6713443,6.6713443,6.722095
,6.722095,6.722095,6.769625
,6.769625,6.769625,6.846179
,6.846179,6.846179,6.973306
,6.973306,6.973306,7.141333
,7.141333,7.141333,7.3612456
,7.3612456,7.3612456,7.574015
,7.574015,7.574015,7.715639
,7.715639,7.715639,7.732683
,7.732683,7.732683,7.670088
,7.670088,7.670088,7.577106
,7.577106,7.577106,7.5017176
,7.5017176,7.5017176,7.441741
,7.441741,7.441741,7.395536
,7.395536,7.395536,7.352226
,7.352226,7.352226,7.3022895
,7.3022895,7.3022895,7.2457905
,7.2457905,7.2457905,7.156188
,7.156188,7.156188,7.0515757
,7.0515757,7.0515757,6.9383073
,6.9383073,6.9383073,6.851133
,6.851133,6.851133,6.8021536
,6.8021536,6.8021536,6.7783546
,6.7783546,6.7783546,6.7734346
,6.7734346,6.7734346,6.7928534
,6.7928534,6.7928534,6.8126955
,6.8126955,6.8126955,6.8294644
,6.8294644,6.8294644,6.823317
,6.823317,6.823317,6.8029275
,6.8029275,6.8029275,6.7794504
,6.7794504,6.7794504,6.771844
,6.771844,6.771844,6.800127
,6.800127,6.800127,6.8503847
,6.8503847,6.8503847,6.907035
,6.907035,6.907035,6.944978
,6.944978,6.944978,6.971449
,6.971449,6.971449,6.9938726
,6.9938726,6.9938726,7.0128217
,7.0128217,7.0128217,7.015086
,7.015086,7.015086,6.990456
,6.990456,6.990456,6.9592605
,6.9592605,6.9592605,6.912621
,6.912621,6.912621,6.831035
,6.831035,6.831035,6.7116494
,6.7116494,6.7116494,6.5782304
,6.5782304,6.5782304,6.4557757
,6.4557757,6.4557757,6.375492
,6.375492,6.375492,6.334248
,6.334248,6.334248,6.324205
,6.324205,6.324205,6.3523884
,6.3523884,6.3523884,6.411652
,6.411652,6.411652,6.483949
,6.483949,6.483949,6.545274
,6.545274,6.545274,6.591448
,6.591448,6.591448,6.610598
,6.610598,6.610598,6.603963
,6.603963,6.603963,6.577323
,6.577323,6.577323,6.533315
,6.533315,6.533315,6.484159
,6.484159,6.484159,6.461969
,6.461969,6.461969,6.4676623
,6.4676623,6.4676623,6.48236
,6.48236,6.48236,6.4951587
,6.4951587,6.4951587,6.5121517
,6.5121517,6.5121517,6.5145264
,6.5145264,6.5145264,6.4890294
,6.4890294,6.4890294,6.4605656
,6.4605656,6.4605656,6.4334917
,6.4334917,6.4334917,6.4164395
,6.4164395,6.4164395,6.390405
,6.390405,6.390405,6.3541393
,6.3541393,6.3541393,6.302917
,6.302917,6.302917,6.240064
,6.240064,6.240064,6.1894946
,6.1894946,6.1894946,6.155766
,6.155766,6.155766,6.182033
,6.182033,6.182033,6.283589
,6.283589,6.283589,6.419649
,6.419649,6.419649,6.516014
,6.516014,6.516014,6.547124
,6.547124,6.547124,6.517279
,6.517279,6.517279,6.4480143
,6.4480143,6.4480143,6.368197
,6.368197,6.368197,6.302501
,6.302501,6.302501,6.2525587
,6.2525587,6.2525587,6.223676
,6.223676,6.223676,6.213593
,6.213593,6.213593,6.226388
,6.226388,6.226388,6.25675
,6.25675,6.25675,6.277633
,6.277633,6.277633,6.2910333
,6.2910333,6.2910333,6.324881
,6.324881,6.324881,6.3936234
,6.3936234,6.3936234,6.4838843
,6.4838843,6.4838843,6.568714
,6.568714,6.568714,6.6419344
,6.6419344,6.6419344,6.7050424
,6.7050424,6.7050424,6.78751
,6.78751,6.78751,6.8878226
,6.8878226,6.8878226,6.994251
,6.994251,6.994251,7.091642
,7.091642,7.091642,7.1995296
,7.1995296,7.1995296,7.3085
,7.3085,7.3085,7.3881354
,7.3881354,7.3881354,7.4119644
,7.4119644,7.4119644,7.4112973
,7.4112973,7.4112973,7.403613
,7.403613,7.403613,7.3997416
,7.3997416,7.3997416,7.4086742
,7.4086742,7.4086742,7.451591
,7.451591,7.451591,7.521563
,7.521563,7.521563,7.6109257
,7.6109257,7.6109257,7.711734
,7.711734,7.711734,7.855259
,7.855259,7.855259,8.047697
,8.047697,8.047697,8.253492
,8.253492,8.253492,8.431159
,8.431159,8.431159,8.598889
,8.598889,8.598889,8.779764
,8.779764,8.779764,8.971752
,8.971752,8.971752,9.158993
,9.158993,9.158993,9.319128
,9.319128,9.319128,9.4494505
,9.4494505,9.4494505,9.572623
