stock,Actual,pred,PredLag
,1249.4824,1249.4824,1250.9401
,1250.9401,1250.9401,1252.8271
,1252.8271,1252.8271,1256.2587
,1256.2587,1256.2587,1260.2814
,1260.2814,1260.2814,1261.2906
,1261.2906,1261.2906,1266.6985
,1266.6985,1266.6985,1277.9298
,1277.9298,1277.9298,1290.2839
,1290.2839,1290.2839,1301.1132
,1301.1132,1301.1132,1311.313
,1311.313,1311.313,1320.597
,1320.597,1320.597,1330.1323
,1330.1323,1330.1323,1340.6682
,1340.6682,1340.6682,1352.695
,1352.695,1352.695,1362.9971
,1362.9971,1362.9971,1368.3007
,1368.3007,1368.3007,1369.4574
,1369.4574,1369.4574,1369.3882
,1369.3882,1369.3882,1370.3662
,1370.3662,1370.3662,1371.8698
,1371.8698,1371.8698,1375.7506
,1375.7506,1375.7506,1381.4967
,1381.4967,1381.4967,1388.2537
,1388.2537,1388.2537,1395.5074
,1395.5074,1395.5074,1402.369
,1402.369,1402.369,1408.0414
,1408.0414,1408.0414,1413.3518
,1413.3518,1413.3518,1418.4862
,1418.4862,1418.4862,1423.6804
,1423.6804,1423.6804,1428.4044
,1428.4044,1428.4044,1430.5037
,1430.5037,1430.5037,1431.7457
,1431.7457,1431.7457,1433.6632
,1433.6632,1433.6632,1436.6372
,1436.6372,1436.6372,1441.0508
,1441.0508,1441.0508,1441.8005
,1441.8005,1441.8005,1438.9165
,1438.9165,1438.9165,1434.6577
,1434.6577,1434.6577,1432.4143
,1432.4143,1432.4143,1433.2186
,1433.2186,1433.2186,1434.892
,1434.892,1434.892,1435.505
,1435.505,1435.505,1436.6266
,1436.6266,1436.6266,1439.6431
,1439.6431,1439.6431,1441.925
,1441.925,1441.925,1443.0989
,1443.0989,1443.0989,1437.9102
,1437.9102,1437.9102,1429.3483
,1429.3483,1429.3483,1422.0038
,1422.0038,1422.0038,1419.1882
,1419.1882,1419.1882,1422.5322
,1422.5322,1422.5322,1432.2899
,1432.2899,1432.2899,1444.9923
,1444.9923,1444.9923,1458.4668
,1458.4668,1458.4668,1471.9888
,1471.9888,1471.9888,1485.8872
,1485.8872,1485.8872,1497.3291
,1497.3291,1497.3291,1505.8551
,1505.8551,1505.8551,1511.5306
,1511.5306,1511.5306,1514.7916
,1514.7916,1514.7916,1516.4812
,1516.4812,1516.4812,1520.5845
,1520.5845,1520.5845,1526.8702
,1526.8702,1526.8702,1534.4858
,1534.4858,1534.4858,1538.7699
,1538.7699,1538.7699,1538.2468
,1538.2468,1538.2468,1535.7565
,1535.7565,1535.7565,1531.4214
,1531.4214,1531.4214,1527.4208
,1527.4208,1527.4208,1525.7655
,1525.7655,1525.7655,1522.8544
,1522.8544,1522.8544,1517.4979
,1517.4979,1517.4979,1509.9866
,1509.9866,1509.9866,1502.1406
,1502.1406,1502.1406,1497.098
,1497.098,1497.098,1494.876
,1494.876,1494.876,1494.4224
,1494.4224,1494.4224,1493.6606
,1493.6606,1493.6606,1493.9368
,1493.9368,1493.9368,1496.1763
,1496.1763,1496.1763,1498.9908
,1498.9908,1498.9908,1502.2507
,1502.2507,1502.2507,1508.4066
,1508.4066,1508.4066,1516.1964
,1516.1964,1516.1964,1526.158
,1526.158,1526.158,1537.1044
,1537.1044,1537.1044,1548.1489
,1548.1489,1548.1489,1559.6826
,1559.6826,1559.6826,1573.6193
,1573.6193,1573.6193,1587.7666
,1587.7666,1587.7666,1600.9033
,1600.9033,1600.9033,1611.4167
,1611.4167,1611.4167,1620.6945
,1620.6945,1620.6945,1633.4606
,1633.4606,1633.4606,1643.1444
,1643.1444,1643.1444,1643.9733
,1643.9733,1643.9733,1632.9921
,1632.9921,1632.9921,1615.7476
,1615.7476,1615.7476,1596.2074
,1596.2074,1596.2074,1576.8859
,1576.8859,1576.8859,1559.2683
,1559.2683,1559.2683,1546.2942
,1546.2942,1546.2942,1536.7336
,1536.7336,1536.7336,1527.7611
,1527.7611,1527.7611,1516.3275
,1516.3275,1516.3275,1501.6226
,1501.6226,1501.6226,1487.7404
,1487.7404,1487.7404,1473.3789
,1473.3789,1473.3789,1459.9421
,1459.9421,1459.9421,1449.8204
,1449.8204,1449.8204,1444.828
,1444.828,1444.828,1444.6907
,1444.6907,1444.6907,1447.6022
,1447.6022,1447.6022,1453.2998
,1453.2998,1453.2998,1458.2079
,1458.2079,1458.2079,1462.8707
,1462.8707,1462.8707,1465.2068
,1465.2068,1465.2068,1465.5878
,1465.5878,1465.5878,1466.5996
,1466.5996,1466.5996,1470.7947
,1470.7947,1470.7947,1481.4347
,1481.4347,1481.4347,1496.8809
,1496.8809,1496.8809,1513.4243
,1513.4243,1513.4243,1527.7198
,1527.7198,1527.7198,1539.35
,1539.35,1539.35,1545.7451
,1545.7451,1545.7451,1548.7281
,1548.7281,1548.7281,1552.4769
,1552.4769,1552.4769,1559.3458
,1559.3458,1559.3458,1570.2911
,1570.2911,1570.2911,1579.9907
,1579.9907,1579.9907,1587.1864
,1587.1864,1587.1864,1585.8383
,1585.8383,1585.8383,1579.9337
,1579.9337,1579.9337,1577.3671
,1577.3671,1577.3671,1580.4524
,1580.4524,1580.4524,1589.0002
,1589.0002,1589.0002,1607.4569
,1607.4569,1607.4569,1634.0948
,1634.0948,1634.0948,1663.2747
,1663.2747,1663.2747,1690.2678
,1690.2678,1690.2678,1710.8286
,1710.8286,1710.8286,1724.9912
,1724.9912,1724.9912,1733.7893
,1733.7893,1733.7893,1740.7762
,1740.7762,1740.7762,1747.4015
,1747.4015,1747.4015,1752.7585
,1752.7585,1752.7585,1754.9863
,1754.9863,1754.9863,1755.5719
,1755.5719,1755.5719,1754.1074
,1754.1074,1754.1074,1750.5037
,1750.5037,1750.5037,1748.2462
,1748.2462,1748.2462,1748.3519
,1748.3519,1748.3519,1751.8068
,1751.8068,1751.8068,1755.2946
,1755.2946,1755.2946,1760.1519
,1760.1519,1760.1519,1768.3488
,1768.3488,1768.3488,1778.6404
,1778.6404,1778.6404,1789.1779
,1789.1779,1789.1779,1798.0654
,1798.0654,1798.0654,1804.2317
,1804.2317,1804.2317,1805.5076
,1805.5076,1805.5076,1801.948
,1801.948,1801.948,1796.0243
,1796.0243,1796.0243,1788.2445
,1788.2445,1788.2445,1780.4133
,1780.4133,1780.4133,1773.457
,1773.457,1773.457,1766.6445
,1766.6445,1766.6445,1759.0869
,1759.0869,1759.0869,1751.865
,1751.865,1751.865,1744.8258
,1744.8258,1744.8258,1738.8489
,1738.8489,1738.8489,1734.7594
,1734.7594,1734.7594,1735.2705
,1735.2705,1735.2705,1738.6598
,1738.6598,1738.6598,1741.4535
,1741.4535,1741.4535,1743.6318
,1743.6318,1743.6318,1743.5874
,1743.5874,1743.5874,1742.4352
,1742.4352,1742.4352,1739.918
,1739.918,1739.918,1740.0999
,1740.0999,1740.0999,1745.2347
,1745.2347,1745.2347,1751.0208
,1751.0208,1751.0208,1753.8086
,1753.8086,1753.8086,1753.9891
,1753.9891,1753.9891,1751.6173
,1751.6173,1751.6173,1747.454
,1747.454,1747.454,1746.6312
,1746.6312,1746.6312,1756.6276
,1756.6276,1756.6276,1775.9208
,1775.9208,1775.9208,
