stock,Actual,pred,PredLag
,178.92244,178.92244,178.78694
,178.78694,178.78694,178.28142
,178.28142,178.28142,177.78027
,177.78027,177.78027,177.90137
,177.90137,177.90137,178.8817
,178.8817,178.8817,180.63489
,180.63489,180.63489,182.27129
,182.27129,182.27129,182.94608
,182.94608,182.94608,182.59421
,182.59421,182.59421,181.76286
,181.76286,181.76286,180.7726
,180.7726,180.7726,180.21127
,180.21127,180.21127,180.39131
,180.39131,180.39131,180.9791
,180.9791,180.9791,181.23842
,181.23842,181.23842,180.62639
,180.62639,180.62639,179.50443
,179.50443,179.50443,178.10002
,178.10002,178.10002,177.37465
,177.37465,177.37465,177.20868
,177.20868,177.20868,177.58572
,177.58572,177.58572,178.20885
,178.20885,178.20885,178.8346
,178.8346,178.8346,180.4891
,180.4891,180.4891,184.0715
,184.0715,184.0715,188.36935
,188.36935,188.36935,192.01382
,192.01382,192.01382,194.77638
,194.77638,194.77638,197.04521
,197.04521,197.04521,199.42989
,199.42989,199.42989,202.22255
,202.22255,202.22255,205.38074
,205.38074,205.38074,208.73235
,208.73235,208.73235,211.72475
,211.72475,211.72475,213.74736
,213.74736,213.74736,213.41096
,213.41096,213.41096,211.57678
,211.57678,211.57678,209.58066
,209.58066,209.58066,208.28351
,208.28351,208.28351,207.54228
,207.54228,207.54228,206.95802
,206.95802,206.95802,206.22789
,206.22789,206.22789,205.49155
,205.49155,205.49155,204.96889
,204.96889,204.96889,204.22113
,204.22113,204.22113,203.84348
,203.84348,203.84348,202.71904
,202.71904,202.71904,201.02975
,201.02975,201.02975,199.50706
,199.50706,199.50706,198.45714
,198.45714,198.45714,197.8561
,197.8561,197.8561,198.27808
,198.27808,198.27808,199.00568
,199.00568,199.00568,199.79597
,199.79597,199.79597,200.14413
,200.14413,200.14413,200.61754
,200.61754,200.61754,201.61436
,201.61436,201.61436,203.3673
,203.3673,203.3673,205.77113
,205.77113,205.77113,208.23373
,208.23373,208.23373,210.12117
,210.12117,210.12117,211.31226
,211.31226,211.31226,211.96487
,211.96487,211.96487,211.8469
,211.8469,211.8469,210.91177
,210.91177,210.91177,209.3787
,209.3787,209.3787,207.74297
,207.74297,207.74297,206.22226
,206.22226,206.22226,205.0042
,205.0042,205.0042,203.91628
,203.91628,203.91628,202.80798
,202.80798,202.80798,201.82146
,201.82146,201.82146,201.20743
,201.20743,201.20743,201.17506
,201.17506,201.17506,201.57973
,201.57973,201.57973,202.46962
,202.46962,202.46962,203.72891
,203.72891,203.72891,205.22191
,205.22191,205.22191,206.80002
,206.80002,206.80002,208.01326
,208.01326,208.01326,208.70924
,208.70924,208.70924,208.63182
,208.63182,208.63182,207.82901
,207.82901,207.82901,206.74745
,206.74745,206.74745,205.6316
,205.6316,205.6316,204.67474
,204.67474,204.67474,204.29599
,204.29599,204.29599,204.38066
,204.38066,204.38066,204.79118
,204.79118,204.79118,205.55653
,205.55653,205.55653,206.35364
,206.35364,206.35364,206.7952
,206.7952,206.7952,206.88547
,206.88547,206.88547,207.08125
,207.08125,207.08125,207.32538
,207.32538,207.32538,207.77513
,207.77513,207.77513,207.79433
,207.79433,207.79433,207.26138
,207.26138,207.26138,206.23148
,206.23148,206.23148,205.03105
,205.03105,205.03105,203.94614
,203.94614,203.94614,202.86433
,202.86433,202.86433,201.99265
,201.99265,201.99265,200.99301
,200.99301,200.99301,199.8443
,199.8443,199.8443,198.62854
,198.62854,198.62854,197.31664
,197.31664,197.31664,195.6281
,195.6281,195.6281,194.34122
,194.34122,194.34122,193.70634
,193.70634,193.70634,193.8923
,193.8923,193.8923,194.50423
,194.50423,194.50423,195.50188
,195.50188,195.50188,196.52733
,196.52733,196.52733,197.46632
,197.46632,197.46632,198.39488
,198.39488,198.39488,199.23502
,199.23502,199.23502,200.10028
,200.10028,200.10028,201.27707
,201.27707,201.27707,202.647
,202.647,202.647,204.4547
,204.4547,204.4547,206.29202
,206.29202,206.29202,207.88483
,207.88483,207.88483,208.93831
,208.93831,208.93831,209.29292
,209.29292,209.29292,209.07343
,209.07343,209.07343,208.70245
,208.70245,208.70245,208.03993
,208.03993,208.03993,207.32674
,207.32674,207.32674,206.70078
,206.70078,206.70078,205.93782
,205.93782,205.93782,204.66
,204.66,204.66,202.58278
,202.58278,202.58278,200.04462
,200.04462,200.04462,197.45264
,197.45264,197.45264,195.21835
,195.21835,195.21835,194.05661
,194.05661,194.05661,193.93272
,193.93272,193.93272,194.82239
,194.82239,194.82239,196.20622
,196.20622,196.20622,198.60454
,198.60454,198.60454,201.91844
,201.91844,201.91844,205.58879
,205.58879,205.58879,208.7913
,208.7913,208.7913,211.50696
,211.50696,211.50696,213.97751
,213.97751,213.97751,216.35689
,216.35689,216.35689,218.52248
,218.52248,218.52248,220.35481
,220.35481,220.35481,221.70963
,221.70963,221.70963,222.98717
,222.98717,222.98717,224.8883
,224.8883,224.8883,227.23914
,227.23914,227.23914,229.54013
,229.54013,229.54013,231.1324
,231.1324,231.1324,232.02869
,232.02869,232.02869,232.82886
,232.82886,232.82886,233.57173
,233.57173,233.57173,234.4905
,234.4905,234.4905,235.46576
,235.46576,235.46576,236.37958
,236.37958,236.37958,237.4317
,237.4317,237.4317,238.69392
,238.69392,238.69392,239.71176
,239.71176,239.71176,240.16695
,240.16695,240.16695,240.44824
,240.44824,240.44824,240.8478
,240.8478,240.8478,241.4283
,241.4283,241.4283,241.9328
,241.9328,241.9328,243.29799
,243.29799,243.29799,245.02028
,245.02028,245.02028,247.0682
,247.0682,247.0682,249.18953
,249.18953,249.18953,251.36104
,251.36104,251.36104,253.30824
,253.30824,253.30824,254.96829
,254.96829,254.96829,256.60968
,256.60968,256.60968,258.31445
,258.31445,258.31445,260.37088
,260.37088,260.37088,263.64374
,263.64374,263.64374,268.23047
,268.23047,268.23047,273.2525
,273.2525,273.2525,278.14783
,278.14783,278.14783,283.04358
,283.04358,283.04358,287.72403
,287.72403,287.72403,292.18417
,292.18417,292.18417,295.71307
,295.71307,295.71307,297.62872
,297.62872,297.62872,297.85217
,297.85217,297.85217,296.85184
,296.85184,296.85184,
