stock,Actual,pred,PredLag
,202.6568,202.6568,203.26498
,203.26498,203.26498,203.50655
,203.50655,203.50655,204.19315
,204.19315,204.19315,205.81796
,205.81796,205.81796,208.082
,208.082,208.082,210.77316
,210.77316,210.77316,213.36255
,213.36255,213.36255,215.43039
,215.43039,215.43039,217.1093
,217.1093,217.1093,218.7466
,218.7466,218.7466,220.23883
,220.23883,220.23883,221.85864
,221.85864,221.85864,223.90654
,223.90654,223.90654,226.3414
,226.3414,226.3414,228.57329
,228.57329,228.57329,230.09935
,230.09935,230.09935,231.20166
,231.20166,231.20166,232.41498
,232.41498,232.41498,234.21913
,234.21913,234.21913,235.92612
,235.92612,235.92612,237.17218
,237.17218,237.17218,238.11703
,238.11703,238.11703,238.94228
,238.94228,238.94228,239.7269
,239.7269,239.7269,240.78967
,240.78967,240.78967,241.92007
,241.92007,241.92007,243.15468
,243.15468,243.15468,244.31445
,244.31445,244.31445,245.65495
,245.65495,245.65495,247.00641
,247.00641,247.00641,248.04771
,248.04771,248.04771,249.11691
,249.11691,249.11691,250.40341
,250.40341,250.40341,251.79332
,251.79332,251.79332,252.93906
,252.93906,252.93906,252.6653
,252.6653,252.6653,251.25322
,251.25322,251.25322,249.2698
,249.2698,249.2698,247.83557
,247.83557,247.83557,247.31157
,247.31157,247.31157,247.38766
,247.38766,247.38766,247.54831
,247.54831,247.54831,247.76189
,247.76189,247.76189,248.09688
,248.09688,248.09688,248.22318
,248.22318,248.22318,248.02211
,248.02211,248.02211,247.28339
,247.28339,247.28339,246.52399
,246.52399,246.52399,246.31491
,246.31491,246.31491,246.50334
,246.50334,246.50334,246.8809
,246.8809,246.8809,247.36652
,247.36652,247.36652,247.7191
,247.7191,247.7191,248.00177
,248.00177,248.00177,248.16986
,248.16986,248.16986,248.37971
,248.37971,248.37971,248.62823
,248.62823,248.62823,249.44878
,249.44878,249.44878,250.79303
,250.79303,250.79303,252.36528
,252.36528,252.36528,254.03645
,254.03645,254.03645,255.61214
,255.61214,255.61214,257.10638
,257.10638,257.10638,258.64948
,258.64948,258.64948,260.06754
,260.06754,260.06754,261.3343
,261.3343,261.3343,262.5578
,262.5578,262.5578,263.5565
,263.5565,263.5565,264.21603
,264.21603,264.21603,264.68457
,264.68457,264.68457,264.9944
,264.9944,264.9944,265.22604
,265.22604,265.22604,265.53418
,265.53418,265.53418,265.89636
,265.89636,265.89636,266.384
,266.384,266.384,267.10815
,267.10815,267.10815,268.19305
,268.19305,268.19305,269.49664
,269.49664,269.49664,271.26147
,271.26147,271.26147,273.31555
,273.31555,273.31555,275.26447
,275.26447,275.26447,277.40707
,277.40707,277.40707,279.436
,279.436,279.436,280.96472
,280.96472,280.96472,281.77274
,281.77274,281.77274,282.15723
,282.15723,282.15723,282.59573
,282.59573,282.59573,283.1526
,283.1526,283.1526,284.14813
,284.14813,284.14813,285.25275
,285.25275,285.25275,286.04987
,286.04987,286.04987,286.36356
,286.36356,286.36356,286.35217
,286.35217,286.35217,286.27817
,286.27817,286.27817,285.3767
,285.3767,285.3767,283.3366
,283.3366,283.3366,280.57617
,280.57617,280.57617,278.24026
,278.24026,278.24026,276.44583
,276.44583,276.44583,275.37106
,275.37106,275.37106,275.21823
,275.21823,275.21823,276.10617
,276.10617,276.10617,277.38992
,277.38992,277.38992,278.49106
,278.49106,278.49106,278.8859
,278.8859,278.8859,278.42114
,278.42114,278.42114,277.4515
,277.4515,277.4515,275.87543
,275.87543,275.87543,273.88284
,273.88284,273.88284,272.025
,272.025,272.025,270.84412
,270.84412,270.84412,270.35324
,270.35324,270.35324,270.72662
,270.72662,270.72662,271.7139
