stock,Actual,pred,PredLag
,119.33839,119.33839,119.20352
,119.20352,119.20352,119.26911
,119.26911,119.26911,119.78176
,119.78176,119.78176,120.71958
,120.71958,120.71958,121.879585
,121.879585,121.879585,123.205444
,123.205444,123.205444,124.320015
,124.320015,124.320015,124.817894
,124.817894,124.817894,124.72553
,124.72553,124.72553,124.33913
,124.33913,124.33913,123.929695
,123.929695,123.929695,123.477425
,123.477425,123.477425,123.12892
,123.12892,123.12892,122.90156
,122.90156,122.90156,122.60477
,122.60477,122.60477,121.89109
,121.89109,121.89109,120.91776
,120.91776,120.91776,119.9189
,119.9189,119.9189,119.37354
,119.37354,119.37354,119.2437
,119.2437,119.2437,119.4377
,119.4377,119.4377,119.64564
,119.64564,119.64564,119.68918
,119.68918,119.68918,119.810875
,119.810875,119.810875,120.343254
,120.343254,120.343254,121.150314
,121.150314,121.150314,122.04188
,122.04188,122.04188,122.86543
,122.86543,122.86543,123.61896
,123.61896,123.61896,124.49567
,124.49567,124.49567,125.45263
,125.45263,125.45263,126.592094
,126.592094,126.592094,128.07385
,128.07385,128.07385,129.46028
,129.46028,129.46028,130.37354
,130.37354,130.37354,129.9535
,129.9535,129.9535,128.64719
,128.64719,128.64719,127.03226
,127.03226,127.03226,125.75446
,125.75446,125.75446,124.92459
,124.92459,124.92459,124.45776
,124.45776,124.45776,124.11199
,124.11199,124.11199,123.69044
,123.69044,123.69044,123.073166
,123.073166,123.073166,122.12434
,122.12434,122.12434,121.1615
,121.1615,121.1615,120.25148
,120.25148,120.25148,119.62798
,119.62798,119.62798,119.39548
,119.39548,119.39548,119.309654
,119.309654,119.309654,119.3156
,119.3156,119.3156,119.41264
,119.41264,119.41264,119.38283
,119.38283,119.38283,119.19929
,119.19929,119.19929,118.78696
,118.78696,118.78696,118.410576
,118.410576,118.410576,118.24642
,118.24642,118.24642,118.384445
,118.384445,118.384445,118.90843
,118.90843,118.90843,119.7523
,119.7523,119.7523,120.80079
,120.80079,120.80079,121.96408
,121.96408,121.96408,123.07467
,123.07467,123.07467,124.19956
,124.19956,124.19956,125.19431
,125.19431,125.19431,125.86508
,125.86508,125.86508,126.237114
,126.237114,126.237114,126.27909
,126.27909,126.27909,126.142235
,126.142235,126.142235,125.78033
,125.78033,125.78033,125.26882
,125.26882,125.26882,124.81968
,124.81968,124.81968,124.62531
,124.62531,124.62531,124.64648
,124.64648,124.64648,124.832954
,124.832954,124.832954,125.01993
,125.01993,125.01993,125.28879
,125.28879,125.28879,125.60817
,125.60817,125.60817,125.91912
,125.91912,125.91912,126.06476
,126.06476,126.06476,126.051735
,126.051735,126.051735,125.88582
,125.88582,125.88582,125.664055
,125.664055,125.664055,125.37903
,125.37903,125.37903,125.01414
,125.01414,125.01414,124.61627
,124.61627,124.61627,124.42056
,124.42056,124.42056,124.38469
,124.38469,124.38469,124.39634
,124.39634,124.39634,124.434746
,124.434746,124.434746,124.5175
,124.5175,124.5175,124.507614
,124.507614,124.507614,124.391235
,124.391235,124.391235,124.552155
,124.552155,124.552155,124.76636
,124.76636,124.76636,124.74428
,124.74428,124.74428,124.39511
,124.39511,124.39511,123.90861
,123.90861,123.90861,123.31846
,123.31846,123.31846,122.76461
,122.76461,122.76461,122.368095
,122.368095,122.368095,122.16633
,122.16633,122.16633,122.24247
,122.24247,122.24247,122.5784
,122.5784,122.5784,122.901596
,122.901596,122.901596,122.91754
,122.91754,122.91754,122.65241
,122.65241,122.65241,122.125015
,122.125015,122.125015,121.410904
,121.410904,121.410904,120.70869
,120.70869,120.70869,120.32881
,120.32881,120.32881,120.23877
,120.23877,120.23877,120.37168
,120.37168,120.37168,120.58228
,120.58228,120.58228,120.74473
,120.74473,120.74473,120.92794
,120.92794,120.92794,121.14217
,121.14217,121.14217,121.51017
,121.51017,121.51017,122.524
,122.524,122.524,123.81282
,123.81282,123.81282,124.98971
,124.98971,124.98971,125.739876
,125.739876,125.739876,126.116646
,126.116646,126.116646,126.178986
,126.178986,126.178986,126.11631
,126.11631,126.11631,126.01015
,126.01015,126.01015,125.32421
,125.32421,125.32421,123.931175
,123.931175,123.931175,122.19527
,122.19527,122.19527,120.508736
,120.508736,120.508736,118.828545
,118.828545,118.828545,117.11487
,117.11487,117.11487,115.21144
,115.21144,115.21144,113.42083
,113.42083,113.42083,112.14811
,112.14811,112.14811,111.53315
,111.53315,111.53315,111.520744
,111.520744,111.520744,111.727455
,111.727455,111.727455,112.13431
,112.13431,112.13431,112.61221
