stock,Actual,pred,PredLag
,59.347275,59.347275,59.231472
,59.231472,59.231472,59.14403
,59.14403,59.14403,59.106888
,59.106888,59.106888,59.124264
,59.124264,59.124264,59.12669
,59.12669,59.12669,59.307793
,59.307793,59.307793,59.543663
,59.543663,59.543663,59.566048
,59.566048,59.566048,59.38881
,59.38881,59.38881,59.16427
,59.16427,59.16427,59.008762
,59.008762,59.008762,58.943405
,58.943405,58.943405,58.97935
,58.97935,58.97935,59.11633
,59.11633,59.11633,59.188557
,59.188557,59.188557,59.105614
,59.105614,59.105614,58.995235
,58.995235,58.995235,58.86996
,58.86996,58.86996,58.85582
,58.85582,58.85582,58.988995
,58.988995,58.988995,59.415176
,59.415176,59.415176,59.981342
,59.981342,59.981342,60.556866
,60.556866,60.556866,61.065144
,61.065144,61.065144,61.557518
,61.557518,61.557518,61.897255
,61.897255,61.897255,62.143
,62.143,62.143,62.262524
,62.262524,62.262524,62.291172
,62.291172,62.291172,62.2579
,62.2579,62.2579,62.2665
,62.2665,62.2665,62.434834
,62.434834,62.434834,62.688892
,62.688892,62.688892,62.904533
,62.904533,62.904533,63.096207
,63.096207,63.096207,62.978516
,62.978516,62.978516,62.52881
,62.52881,62.52881,61.949886
,61.949886,61.949886,61.421276
,61.421276,61.421276,61.023624
,61.023624,61.023624,60.732273
,60.732273,60.732273,60.487076
,60.487076,60.487076,60.30306
,60.30306,60.30306,60.170624
,60.170624,60.170624,60.01961
,60.01961,60.01961,59.800907
,59.800907,59.800907,59.467163
,59.467163,59.467163,59.119366
,59.119366,59.119366,58.936424
,58.936424,58.936424,58.865128
,58.865128,58.865128,58.866524
,58.866524,58.866524,58.934826
,58.934826,58.934826,58.957123
,58.957123,58.957123,58.927055
,58.927055,58.927055,58.854935
,58.854935,58.854935,58.84189
,58.84189,58.84189,58.839058
,58.839058,58.839058,58.8475
,58.8475,58.8475,58.869854
,58.869854,58.869854,58.90865
,58.90865,58.90865,59.01713
,59.01713,59.01713,59.265125
,59.265125,59.265125,59.58039
,59.58039,59.58039,59.912704
,59.912704,59.912704,60.173355
,60.173355,60.173355,59.645947
,59.645947,59.645947,58.294468
,58.294468,58.294468,56.489532
,56.489532,56.489532,54.56133
,54.56133,54.56133,52.77909
,52.77909,52.77909,51.281605
,51.281605,51.281605,50.157234
,50.157234,50.157234,49.447113
,49.447113,49.447113,49.061832
,49.061832,49.061832,48.86341
,48.86341,48.86341,48.722248
,48.722248,48.722248,48.675316
,48.675316,48.675316,48.643814
,48.643814,48.643814,48.664917
,48.664917,48.664917,48.693798
,48.693798,48.693798,48.730705
,48.730705,48.730705,48.776085
,48.776085,48.776085,48.804306
,48.804306,48.804306,48.786926
,48.786926,48.786926,48.79071
,48.79071,48.79071,48.84235
,48.84235,48.84235,48.91838
,48.91838,48.91838,49.01583
,49.01583,49.01583,49.12966
,49.12966,49.12966,49.23418
,49.23418,49.23418,49.38888
,49.38888,49.38888,49.62652
,49.62652,49.62652,49.900246
,49.900246,49.900246,50.263187
,50.263187,50.263187,50.551094
,50.551094,50.551094,50.68285
,50.68285,50.68285,50.597393
,50.597393,50.597393,50.404366
,50.404366,50.404366,50.149357
,50.149357,50.149357,49.903236
,49.903236,49.903236,49.712826
,49.712826,49.712826,49.628067
,49.628067,49.628067,49.66216
,49.66216,49.66216,49.772293
,49.772293,49.772293,49.879074
,49.879074,49.879074,49.937664
,49.937664,49.937664,49.96434
,49.96434,49.96434,49.89622
,49.89622,49.89622,49.769154
,49.769154,49.769154,49.68346
,49.68346,49.68346,49.771637
,49.771637,49.771637,49.99609
,49.99609,49.99609,50.31661
,50.31661,50.31661,50.699394
,50.699394,50.699394,51.000095
,51.000095,51.000095,51.221615
,51.221615,51.221615,51.36113
,51.36113,51.36113,51.5262
,51.5262,51.5262,51.785698
,51.785698,51.785698,52.070145
,52.070145,52.070145,52.396706
,52.396706,52.396706,52.735424
,52.735424,52.735424,53.02653
,53.02653,53.02653,53.26606
,53.26606,53.26606,53.47786
,53.47786,53.47786,53.69452
,53.69452,53.69452,53.828182
,53.828182,53.828182,53.867214
,53.867214,53.867214,53.868958
,53.868958,53.868958,53.46354
,53.46354,53.46354,52.56877
,52.56877,52.56877,51.32337
,51.32337,51.32337,49.887108
,49.887108,49.887108,48.464123
,48.464123,48.464123,47.22794
,47.22794,47.22794,46.269157
,46.269157,46.269157,45.61572
,45.61572,45.61572,45.27959
,45.27959,45.27959,45.18274
,45.18274,45.18274,45.204643
,45.204643,45.204643,45.28095
,45.28095,45.28095,45.361176
