stock,Actual,pred,PredLag
,147.74779,147.74779,148.95413
,148.95413,148.95413,150.16342
,150.16342,150.16342,151.32326
,151.32326,151.32326,152.29346
,152.29346,152.29346,152.81543
,152.81543,152.81543,152.83084
,152.83084,152.83084,152.48318
,152.48318,152.48318,151.84787
,151.84787,151.84787,151.08046
,151.08046,151.08046,150.41678
,150.41678,150.41678,149.84694
,149.84694,149.84694,149.32841
,149.32841,149.32841,148.94435
,148.94435,148.94435,148.74013
,148.74013,148.74013,148.54489
,148.54489,148.54489,148.30374
,148.30374,148.30374,148.0749
,148.0749,148.0749,148.09209
,148.09209,148.09209,148.3616
,148.3616,148.3616,148.66524
,148.66524,148.66524,148.79614
,148.79614,148.79614,148.67065
,148.67065,148.67065,148.19826
,148.19826,148.19826,147.51044
,147.51044,147.51044,146.80258
,146.80258,146.80258,146.34117
,146.34117,146.34117,146.28944
,146.28944,146.28944,146.45177
,146.45177,146.45177,146.74033
,146.74033,146.74033,147.1017
,147.1017,147.1017,147.33754
,147.33754,147.33754,147.44283
,147.44283,147.44283,147.42543
,147.42543,147.42543,147.27263
,147.27263,147.27263,147.16351
,147.16351,147.16351,146.66988
,146.66988,146.66988,145.87433
,145.87433,145.87433,144.92404
,144.92404,144.92404,144.21158
,144.21158,144.21158,143.81361
,143.81361,143.81361,143.61734
,143.61734,143.61734,143.55501
,143.55501,143.55501,143.53867
,143.53867,143.53867,143.48932
,143.48932,143.48932,143.18336
,143.18336,143.18336,142.63841
,142.63841,142.63841,141.85948
,141.85948,141.85948,141.06541
,141.06541,141.06541,140.50922
,140.50922,140.50922,140.21452
,140.21452,140.21452,140.15218
,140.15218,140.15218,140.38084
,140.38084,140.38084,140.80388
,140.80388,140.80388,141.31898
,141.31898,141.31898,141.77338
,141.77338,141.77338,142.09654
,142.09654,142.09654,142.49191
,142.49191,142.49191,143.17729
,143.17729,143.17729,144.10092
,144.10092,144.10092,145.1574
,145.1574,145.1574,146.20033
,146.20033,146.20033,147.13075
,147.13075,147.13075,147.90178
,147.90178,147.90178,148.51836
,148.51836,148.51836,148.96342
,148.96342,148.96342,149.14983
,149.14983,149.14983,149.05132
,149.05132,149.05132,148.73836
,148.73836,148.73836,148.30959
,148.30959,148.30959,147.88574
,147.88574,147.88574,147.45732
,147.45732,147.45732,147.15715
,147.15715,147.15715,147.00482
,147.00482,147.00482,147.04515
,147.04515,147.04515,147.16818
,147.16818,147.16818,147.36932
,147.36932,147.36932,147.57393
,147.57393,147.57393,147.66489
,147.66489,147.66489,147.82355
,147.82355,147.82355,147.97337
,147.97337,147.97337,148.08452
,148.08452,148.08452,148.2081
,148.2081,148.2081,148.4291
,148.4291,148.4291,148.74919
,148.74919,148.74919,149.18129
,149.18129,149.18129,149.75702
,149.75702,149.75702,150.35692
,150.35692,150.35692,150.8788
,150.8788,150.8788,151.29774
,151.29774,151.29774,151.66228
,151.66228,151.66228,152.02971
,152.02971,152.02971,152.37488
,152.37488,152.37488,152.53534
,152.53534,152.53534,152.66376
,152.66376,152.66376,152.52686
,152.52686,152.52686,152.05841
,152.05841,152.05841,151.29564
,151.29564,151.29564,150.57716
,150.57716,150.57716,149.86482
,149.86482,149.86482,149.23364
,149.23364,149.23364,148.77182
,148.77182,148.77182,148.52274
,148.52274,148.52274,148.41104
,148.41104,148.41104,148.28348
,148.28348,148.28348,148.2442
,148.2442,148.2442,148.0279
,148.0279,148.0279,147.54137
,147.54137,147.54137,146.9052
,146.9052,146.9052,146.27896
,146.27896,146.27896,145.82451
,145.82451,145.82451,145.66968
