stock,Actual,pred,PredLag
,92.848305,92.848305,92.15737
,92.15737,92.15737,91.478905
,91.478905,91.478905,90.98737
,90.98737,90.98737,90.99078
,90.99078,90.99078,91.47697
,91.47697,91.47697,92.41332
,92.41332,92.41332,93.42722
,93.42722,93.42722,94.10993
,94.10993,94.10993,94.31572
,94.31572,94.31572,94.14686
,94.14686,94.14686,93.66075
,93.66075,93.66075,93.07636
,93.07636,93.07636,92.64893
,92.64893,92.64893,92.24405
,92.24405,92.24405,91.610405
,91.610405,91.610405,90.57159
,90.57159,90.57159,89.53149
,89.53149,89.53149,88.60745
,88.60745,88.60745,88.167915
,88.167915,88.167915,88.08741
,88.08741,88.08741,88.37534
,88.37534,88.37534,88.82033
,88.82033,88.82033,89.21264
,89.21264,89.21264,89.92775
,89.92775,89.92775,91.35238
,91.35238,91.35238,93.165985
,93.165985,93.165985,94.792595
,94.792595,94.792595,96.07832
,96.07832,96.07832,97.04491
,97.04491,97.04491,98.122635
,98.122635,98.122635,99.507835
,99.507835,99.507835,101.38613
,101.38613,101.38613,103.676414
,103.676414,103.676414,105.83594
,105.83594,105.83594,107.244225
,107.244225,107.244225,107.22578
,107.22578,107.22578,106.22461
,106.22461,106.22461,104.93186
,104.93186,104.93186,103.81631
,103.81631,103.81631,102.845695
,102.845695,102.845695,101.963196
,101.963196,101.963196,101.103966
,101.103966,101.103966,100.22623
,100.22623,100.22623,99.47062
,99.47062,99.47062,98.6734
,98.6734,98.6734,98.070244
,98.070244,98.070244,97.3565
,97.3565,97.3565,96.52261
,96.52261,96.52261,95.757
,95.757,95.757,95.10454
,95.10454,95.10454,94.537224
,94.537224,94.537224,94.22054
,94.22054,94.22054,93.96774
,93.96774,93.96774,93.7674
,93.7674,93.7674,93.48086
,93.48086,93.48086,93.460144
,93.460144,93.460144,93.85471
,93.85471,93.85471,94.57434
,94.57434,94.57434,95.52793
,95.52793,95.52793,96.56387
,96.56387,96.56387,97.401184
,97.401184,97.401184,97.89088
,97.89088,97.89088,98.22329
,98.22329,98.22329,98.453415
,98.453415,98.453415,98.6271
,98.6271,98.6271,98.71413
,98.71413,98.71413,98.62489
,98.62489,98.62489,98.4219
,98.4219,98.4219,98.35179
,98.35179,98.35179,98.27413
,98.27413,98.27413,98.10376
,98.10376,98.10376,97.82215
,97.82215,97.82215,97.44492
,97.44492,97.44492,97.15432
,97.15432,97.15432,97.01042
,97.01042,97.01042,97.138084
,97.138084,97.138084,97.571014
,97.571014,97.571014,98.40903
,98.40903,98.40903,99.43307
,99.43307,99.43307,100.38378
,100.38378,100.38378,101.13908
,101.13908,101.13908,101.48901
,101.48901,101.48901,101.372925
,101.372925,101.372925,100.95738
,100.95738,100.95738,100.350044
,100.350044,100.350044,99.68192
,99.68192,99.68192,99.25532
