stock,Actual,pred,PredLag
,47.423656,47.423656,47.096123
,47.096123,47.096123,46.703663
,46.703663,46.703663,46.33446
,46.33446,46.33446,46.131668
,46.131668,46.131668,46.099613
,46.099613,46.099613,46.204823
,46.204823,46.204823,46.29579
,46.29579,46.29579,46.296944
,46.296944,46.296944,46.186497
,46.186497,46.186497,46.023636
,46.023636,46.023636,45.813858
,45.813858,45.813858,45.575104
,45.575104,45.575104,45.44682
,45.44682,45.44682,45.411617
,45.411617,45.411617,45.375988
,45.375988,45.375988,45.24726
,45.24726,45.24726,45.01975
,45.01975,45.01975,44.71413
,44.71413,44.71413,44.506485
,44.506485,44.506485,44.41219
,44.41219,44.41219,44.49157
,44.49157,44.49157,44.652645
,44.652645,44.652645,44.81034
,44.81034,44.81034,45.004166
,45.004166,45.004166,45.273495
,45.273495,45.273495,45.61211
,45.61211,45.61211,45.939804
,45.939804,45.939804,46.229916
,46.229916,46.229916,46.462852
,46.462852,46.462852,46.705826
,46.705826,46.705826,46.965443
,46.965443,46.965443,47.29885
,47.29885,47.29885,47.732502
,47.732502,47.732502,48.149216
,48.149216,48.149216,48.45369
,48.45369,48.45369,48.415382
,48.415382,48.415382,48.074173
,48.074173,48.074173,47.63078
,47.63078,47.63078,47.253902
,47.253902,47.253902,46.98452
,46.98452,46.98452,46.840477
,46.840477,46.840477,46.726665
,46.726665,46.726665,46.58575
,46.58575,46.58575,46.414364
,46.414364,46.414364,46.166775
,46.166775,46.166775,45.888695
,45.888695,45.888695,45.532955
,45.532955,45.532955,45.186035
,45.186035,45.186035,44.926754
,44.926754,44.926754,44.778454
,44.778454,44.778454,44.72356
,44.72356,44.72356,44.75259
,44.75259,44.75259,44.832428
,44.832428,44.832428,44.91951
,44.91951,44.91951,44.909332
,44.909332,44.909332,44.88658
,44.88658,44.88658,44.901276
,44.901276,44.901276,44.997173
,44.997173,44.997173,45.191498
,45.191498,45.191498,45.424397
,45.424397,45.424397,45.691326
,45.691326,45.691326,45.91476
,45.91476,45.91476,46.141354
,46.141354,46.141354,46.46623
,46.46623,46.46623,46.8521
,46.8521,46.8521,47.24722
,47.24722,47.24722,47.603207
,47.603207,47.603207,47.871803
,47.871803,47.871803,48.03634
,48.03634,48.03634,48.092457
,48.092457,48.092457,48.038963
,48.038963,48.038963,47.848595
,47.848595,47.848595,47.596996
,47.596996,47.596996,47.38863
,47.38863,47.38863,47.27611
,47.27611,47.27611,47.27172
,47.27172,47.27172,47.336273
,47.336273,47.336273,47.442585
,47.442585,47.442585,47.597366
,47.597366,47.597366,47.77447
,47.77447,47.77447,47.949093
,47.949093,47.949093,48.085224
,48.085224,48.085224,48.188934
,48.188934,48.188934,48.193577
,48.193577,48.193577,48.104897
,48.104897,48.104897,47.960686
,47.960686,47.960686,47.851425
,47.851425,47.851425,47.799976
,47.799976,47.799976,47.811703
,47.811703,47.811703,47.870754
,47.870754,47.870754,48.064487
,48.064487,48.064487,48.34705
,48.34705,48.34705,48.61857
,48.61857,48.61857,48.9758
,48.9758,48.9758,49.356865
,49.356865,49.356865,49.738033
,49.738033,49.738033,50.00056
,50.00056,50.00056,50.14925
,50.14925,50.14925,50.206085
,50.206085,50.206085,50.279335
,50.279335,50.279335,50.37195
,50.37195,50.37195,50.489502
,50.489502,50.489502,50.599056
,50.599056,50.599056,50.666138
,50.666138,50.666138,50.682125
,50.682125,50.682125,50.565453
,50.565453,50.565453,50.378426
,50.378426,50.378426,50.08247
,50.08247,50.08247,49.750668
,49.750668,49.750668,49.44862
,49.44862,49.44862,49.24714
,49.24714,49.24714,49.124275
,49.124275,49.124275,49.082672
,49.082672,49.082672,49.087807
,49.087807,49.087807,49.124084
,49.124084,49.124084,49.17668
,49.17668,49.17668,49.201046
