stock,Actual,pred,PredLag
,145.6919,145.6919,145.09589
,145.09589,145.09589,144.63155
,144.63155,144.63155,144.54514
,144.54514,144.54514,145.26509
,145.26509,145.26509,146.89871
,146.89871,146.89871,148.95131
,148.95131,148.95131,150.64847
,150.64847,150.64847,151.4984
,151.4984,151.4984,151.56927
,151.56927,151.56927,151.09537
,151.09537,151.09537,150.28165
,150.28165,150.28165,149.3241
,149.3241,149.3241,148.59196
,148.59196,148.59196,147.99034
,147.99034,147.99034,147.16472
,147.16472,147.16472,145.74077
,145.74077,145.74077,143.88966
,143.88966,143.88966,142.158
,142.158,142.158,141.56711
,141.56711,141.56711,142.06436
,142.06436,142.06436,143.27164
,143.27164,143.27164,144.46472
,144.46472,144.46472,145.36691
,145.36691,145.36691,146.35013
,146.35013,146.35013,147.89883
,147.89883,147.89883,149.77988
,149.77988,149.77988,151.61063
,151.61063,151.61063,153.0915
,153.0915,153.0915,154.29001
,154.29001,154.29001,155.50674
,155.50674,155.50674,156.84923
,156.84923,156.84923,158.54324
,158.54324,158.54324,160.39236
,160.39236,160.39236,162.11774
,162.11774,162.11774,163.35109
,163.35109,163.35109,163.23755
,163.23755,163.23755,162.10689
,162.10689,162.10689,160.74309
,160.74309,160.74309,159.72112
,159.72112,159.72112,159.13283
,159.13283,159.13283,158.87679
,158.87679,158.87679,158.74608
,158.74608,158.74608,158.53717
,158.53717,158.53717,158.30946
,158.30946,158.30946,157.72363
,157.72363,157.72363,156.98248
,156.98248,156.98248,156.13225
,156.13225,156.13225,155.4881
,155.4881,155.4881,155.17065
,155.17065,155.17065,155.08179
,155.08179,155.08179,155.22383
,155.22383,155.22383,155.59323
,155.59323,155.59323,155.8577
,155.8577,155.8577,155.89459
,155.89459,155.89459,155.53001
,155.53001,155.53001,154.96283
,154.96283,154.96283,154.5197
,154.5197,154.5197,154.5623
,154.5623,154.5623,155.09755
,155.09755,155.09755,155.99034
,155.99034,155.99034,156.96445
,156.96445,156.96445,157.58849
,157.58849,157.58849,157.89177
,157.89177,157.89177,158.05789
,158.05789,158.05789,158.22568
,158.22568,158.22568,158.46085
,158.46085,158.46085,158.97919
,158.97919,158.97919,159.1708
,159.1708,159.1708,158.95682
,158.95682,158.95682,158.20145
,158.20145,158.20145,156.97269
,156.97269,156.97269,155.54016
,155.54016,155.54016,154.22229
,154.22229,154.22229,153.46703
,153.46703,153.46703,153.3351
,153.3351,153.3351,153.79247
,153.79247,153.79247,154.81801
,154.81801,154.81801,156.2852
,156.2852,156.2852,157.96364
,157.96364,157.96364,159.70161
,159.70161,159.70161,161.33212
,161.33212,161.33212,162.62535
,162.62535,162.62535,163.50223
,163.50223,163.50223,163.992
,163.992,163.992,164.13087
,164.13087,164.13087,163.94572
,163.94572,163.94572,163.69008
,163.69008,163.69008,163.46555
,163.46555,163.46555,163.35567
,163.35567,163.35567,163.3679
,163.3679,163.3679,163.57011
,163.57011,163.57011,163.72548
,163.72548,163.72548,163.87242
,163.87242,163.87242,164.36171
,164.36171,164.36171,164.94917
,164.94917,164.94917,165.41304
,165.41304,165.41304,165.51212
,165.51212,165.51212,165.46048
,165.46048,165.46048,165.22481
,165.22481,165.22481,165.06802
,165.06802,165.06802,165.23404
,165.23404,165.23404,165.547
,165.547,165.547,166.06377
,166.06377,166.06377,166.91362
,166.91362,166.91362,167.77426
,167.77426,167.77426,167.8822
,167.8822,167.8822,167.28302
,167.28302,167.28302,166.113
,166.113,166.113,164.75107
,164.75107,164.75107,163.47554
,163.47554,163.47554,162.52489
,162.52489,162.52489,161.80118
,161.80118,161.80118,161.25774
,161.25774,161.25774,160.76582
,160.76582,160.76582,160.40985
,160.40985,160.40985,160.37756
,160.37756,160.37756,160.5932
,160.5932,160.5932,161.22087
,161.22087,161.22087,162.23233
,162.23233,162.23233,163.52243
,163.52243,163.52243,164.82715
,164.82715,164.82715,165.81801
,165.81801,165.81801,166.54662
,166.54662,166.54662,167.13293
,167.13293,167.13293,167.75436
,167.75436,167.75436,168.31364
,168.31364,168.31364,168.84277
,168.84277,168.84277,169.20718
,169.20718,169.20718,169.49097
,169.49097,169.49097,169.67546
,169.67546,169.67546,169.51314
,169.51314,169.51314,168.67905
,168.67905,168.67905,167.17053
,167.17053,167.17053,165.32846
,165.32846,165.32846,163.62018
,163.62018,163.62018,162.48264
,162.48264,162.48264,162.1226
,162.1226,162.1226,161.9866
,161.9866,161.9866,162.0104
,162.0104,162.0104,162.13818
,162.13818,162.13818,162.33955
