stock,Actual,pred,PredLag
,82.17805,82.17805,81.87928
,81.87928,81.87928,81.520424
,81.520424,81.520424,81.26816
,81.26816,81.26816,81.33072
,81.33072,81.33072,81.47055
,81.47055,81.47055,81.52435
,81.52435,81.52435,81.37034
,81.37034,81.37034,80.93455
,80.93455,80.93455,80.262505
,80.262505,80.262505,79.58091
,79.58091,79.58091,78.95835
,78.95835,78.95835,78.323616
,78.323616,78.323616,77.752075
,77.752075,77.752075,77.402306
,77.402306,77.402306,77.22952
,77.22952,77.22952,77.212006
,77.212006,77.212006,77.44783
,77.44783,77.44783,77.85609
,77.85609,77.85609,78.31215
,78.31215,78.31215,78.57458
,78.57458,78.57458,78.56046
,78.56046,78.56046,78.32099
,78.32099,78.32099,77.95739
,77.95739,77.95739,77.632454
,77.632454,77.632454,77.43039
,77.43039,77.43039,77.451614
,77.451614,77.451614,77.77203
,77.77203,77.77203,78.211586
,78.211586,78.211586,78.72029
,78.72029,78.72029,79.31821
,79.31821,79.31821,79.90847
,79.90847,79.90847,80.46506
,80.46506,80.46506,81.000824
,81.000824,81.000824,81.44582
,81.44582,81.44582,81.737206
,81.737206,81.737206,81.57418
,81.57418,81.57418,80.93534
,80.93534,80.93534,79.869675
,79.869675,79.869675,78.8191
,78.8191,78.8191,77.963455
,77.963455,77.963455,77.33388
,77.33388,77.33388,77.020706
,77.020706,77.020706,76.89321
,76.89321,76.89321,76.87315
,76.87315,76.87315,76.81819
,76.81819,76.81819,76.7459
,76.7459,76.7459,76.58464
,76.58464,76.58464,76.413315
,76.413315,76.413315,76.366066
,76.366066,76.366066,76.50589
,76.50589,76.50589,76.8235
,76.8235,76.8235,77.28787
,77.28787,77.28787,77.74698
,77.74698,77.74698,78.05996
,78.05996,78.05996,78.12302
,78.12302,78.12302,77.98634
,77.98634,77.98634,77.79294
,77.79294,77.79294,77.68761
,77.68761,77.68761,77.777306
,77.777306,77.777306,78.01968
,78.01968,78.01968,78.35911
,78.35911,78.35911,78.689865
,78.689865,78.689865,78.919426
,78.919426,78.919426,79.02928
,79.02928,79.02928,78.998566
,78.998566,78.998566,78.80083
,78.80083,78.80083,78.62509
,78.62509,78.62509,78.600876
,78.600876,78.600876,78.69245
,78.69245,78.69245,78.80939
,78.80939,78.80939,78.99246
,78.99246,78.99246,79.38947
,79.38947,79.38947,79.89308
,79.89308,79.89308,80.38268
,80.38268,80.38268,80.749115
,80.749115,80.749115,80.97174
,80.97174,80.97174,81.07283
,81.07283,81.07283,81.09403
,81.09403,81.09403,81.1981
,81.1981,81.1981,81.467964
,81.467964,81.467964,81.8468
,81.8468,81.8468,82.3363
,82.3363,82.3363,82.855896
,82.855896,82.855896,83.36237
,83.36237,83.36237,83.81322
,83.81322,83.81322,84.17815
,84.17815,84.17815,84.48147
,84.48147,84.48147,84.75057
,84.75057,84.75057,84.9762
,84.9762,84.9762,85.17095
,85.17095,85.17095,85.324326
,85.324326,85.324326,85.407646
,85.407646,85.407646,85.36911
,85.36911,85.36911,85.408585
,85.408585,85.408585,85.47345
,85.47345,85.47345,85.50198
,85.50198,85.50198,85.35086
,85.35086,85.35086,85.14899
,85.14899,85.14899,84.89117
,84.89117,84.89117,84.66782
,84.66782,84.66782,84.4945
,84.4945,84.4945,84.37092
,84.37092,84.37092,84.383865
,84.383865,84.383865,84.52472
,84.52472,84.52472,84.74547
,84.74547,84.74547,84.799965
,84.799965,84.799965,84.637886
,84.637886,84.637886,84.31583
,84.31583,84.31583,83.96875
,83.96875,83.96875,83.659775
,83.659775,83.659775,83.401306
,83.401306,83.401306,83.13554
,83.13554,83.13554,82.93556
,82.93556,82.93556,82.732376
,82.732376,82.732376,82.45273
,82.45273,82.45273,82.14963
,82.14963,82.14963,81.76269
,81.76269,81.76269,81.350136
,81.350136,81.350136,81.00549
,81.00549,81.00549,80.75331
,80.75331,80.75331,80.58475
,80.58475,80.58475,80.504555
,80.504555,80.504555,80.47795
,80.47795,80.47795,80.37431
,80.37431,80.37431,80.234695
,80.234695,80.234695,80.02187
,80.02187,80.02187,79.730415
,79.730415,79.730415,79.392685
,79.392685,79.392685,79.14025
,79.14025,79.14025,79.053116
,79.053116,79.053116,79.035164
,79.035164,79.035164,78.965294
,78.965294,78.965294,78.69915
,78.69915,78.69915,78.25352
,78.25352,78.25352,77.685135
,77.685135,77.685135,77.19999
,77.19999,77.19999,76.892
,76.892,76.892,77.00838
,77.00838,77.00838,77.47614
,77.47614,77.47614,78.09935
,78.09935,78.09935,78.72616
,78.72616,78.72616,79.310425
,79.310425,79.310425,79.813446
,79.813446,79.813446,80.13015
,80.13015,80.13015,80.34914
,80.34914,80.34914,80.46127
,80.46127,80.46127,80.57745
,80.57745,80.57745,80.64114
,80.64114,80.64114,80.647285
,80.647285,80.647285,80.6199
,80.6199,80.6199,80.56892
