stock,Actual,pred,PredLag
,172.94112,172.94112,173.24268
,173.24268,173.24268,173.1714
,173.1714,173.1714,173.13344
,173.13344,173.13344,173.21884
,173.21884,173.21884,173.0895
,173.0895,173.0895,173.23444
,173.23444,173.23444,173.87894
,173.87894,173.87894,174.53926
,174.53926,174.53926,175.27515
,175.27515,175.27515,176.19669
,176.19669,176.19669,177.34052
,177.34052,177.34052,178.63477
,178.63477,178.63477,179.98657
,179.98657,179.98657,181.39723
,181.39723,181.39723,182.45493
,182.45493,182.45493,182.85379
,182.85379,182.85379,182.748
,182.748,182.748,182.56953
,182.56953,182.56953,182.62648
,182.62648,182.62648,182.83391
,182.83391,182.83391,183.22177
,183.22177,183.22177,183.5625
,183.5625,183.5625,183.76796
,183.76796,183.76796,183.71213
,183.71213,183.71213,183.46016
,183.46016,183.46016,183.09604
,183.09604,183.09604,182.83945
,182.83945,182.83945,182.71896
,182.71896,182.71896,182.84291
,182.84291,182.84291,183.19264
,183.19264,183.19264,183.48433
,183.48433,183.48433,183.91591
,183.91591,183.91591,184.58273
,184.58273,184.58273,185.4855
,185.4855,185.4855,186.9744
,186.9744,186.9744,188.13586
,188.13586,188.13586,188.74272
,188.74272,188.74272,188.98933
,188.98933,188.98933,189.3865
,189.3865,189.3865,190.07898
,190.07898,190.07898,191.08995
,191.08995,191.08995,192.16145
,192.16145,192.16145,193.48389
,193.48389,193.48389,195.06148
,195.06148,195.06148,196.403
,196.403,196.403,197.48628
,197.48628,197.48628,198.05783
,198.05783,198.05783,198.3005
,198.3005,198.3005,198.74274
,198.74274,198.74274,199.5537
,199.5537,199.5537,200.69531
,200.69531,200.69531,202.26678
,202.26678,202.26678,203.88364
,203.88364,203.88364,205.59145
,205.59145,205.59145,207.38406
,207.38406,207.38406,209.0563
,209.0563,209.0563,209.99135
,209.99135,209.99135,210.23895
,210.23895,210.23895,210.03851
,210.03851,210.03851,209.34464
,209.34464,209.34464,208.26207
,208.26207,208.26207,207.64703
,207.64703,207.64703,207.49742
,207.49742,207.49742,207.83032
,207.83032,207.83032,207.82535
,207.82535,207.82535,207.20451
,207.20451,207.20451,206.33928
,206.33928,206.33928,205.39436
,205.39436,205.39436,204.64351
,204.64351,204.64351,204.15565
,204.15565,204.15565,203.9665
,203.9665,203.9665,204.81064
,204.81064,204.81064,206.33081
,206.33081,206.33081,208.00034
,208.00034,208.00034,209.72076
,209.72076,209.72076,211.07883
,211.07883,211.07883,211.65436
,211.65436,211.65436,211.19019
,211.19019,211.19019,210.39604
,210.39604,210.39604,209.67566
,209.67566,209.67566,209.17438
,209.17438,209.17438,208.98172
,208.98172,208.98172,209.11986
,209.11986,209.11986,209.3487
,209.3487,209.3487,209.87573
,209.87573,209.87573,210.54797
,210.54797,210.54797,211.24908
,211.24908,211.24908,212.08163
,212.08163,212.08163,213.316
,213.316,213.316,215.206
,215.206,215.206,217.6435
,217.6435,217.6435,219.98746
,219.98746,219.98746,221.99612
,221.99612,221.99612,223.89174
,223.89174,223.89174,224.6721
,224.6721,224.6721,224.05013
,224.05013,224.05013,221.66792
