stock,Actual,pred,PredLag
,86.9126,86.9126,87.165665
,87.165665,87.165665,87.35658
,87.35658,87.35658,87.55053
,87.55053,87.55053,87.82734
,87.82734,87.82734,88.12515
,88.12515,88.12515,88.33689
,88.33689,88.33689,88.37715
,88.37715,88.37715,88.15806
,88.15806,88.15806,87.767456
,87.767456,87.767456,87.42888
,87.42888,87.42888,87.31334
,87.31334,87.31334,87.41377
,87.41377,87.41377,87.77437
,87.77437,87.77437,88.33478
,88.33478,88.33478,88.77659
,88.77659,88.77659,88.83596
,88.83596,88.83596,88.593704
,88.593704,88.593704,88.241714
,88.241714,88.241714,88.19244
,88.19244,88.19244,88.52285
,88.52285,88.52285,89.19101
,89.19101,89.19101,90.11242
,90.11242,90.11242,91.07503
,91.07503,91.07503,92.128006
,92.128006,92.128006,93.427925
,93.427925,93.427925,94.7567
,94.7567,94.7567,95.93004
,95.93004,95.93004,96.92902
,96.92902,96.92902,97.828514
,97.828514,97.828514,98.86357
,98.86357,98.86357,99.79782
,99.79782,99.79782,100.59815
,100.59815,100.59815,101.365105
,101.365105,101.365105,101.97645
,101.97645,101.97645,102.3525
,102.3525,102.3525,102.02991
,102.02991,102.02991,101.18325
,101.18325,101.18325,100.23442
,100.23442,100.23442,99.51204
,99.51204,99.51204,99.09995
,99.09995,99.09995,98.88341
,98.88341,98.88341,98.578415
,98.578415,98.578415,98.402565
,98.402565,98.402565,98.593445
,98.593445,98.593445,98.961784
,98.961784,98.961784,99.43363
,99.43363,99.43363,99.37984
,99.37984,99.37984,98.90554
,98.90554,98.90554,98.41188
,98.41188,98.41188,98.034164
,98.034164,98.034164,97.859314
,97.859314,97.859314,97.964745
,97.964745,97.964745,98.07123
,98.07123,98.07123,98.18947
,98.18947,98.18947,98.19734
,98.19734,98.19734,98.1557
,98.1557,98.1557,98.00502
,98.00502,98.00502,97.78722
,97.78722,97.78722,97.68437
,97.68437,97.68437,97.63977
,97.63977,97.63977,97.536575
,97.536575,97.536575,97.31742
,97.31742,97.31742,97.21339
,97.21339,97.21339,97.32116
,97.32116,97.32116,97.54234
,97.54234,97.54234,97.79184
,97.79184,97.79184,97.93139
,97.93139,97.93139,97.87511
,97.87511,97.87511,97.717186
,97.717186,97.717186,97.53084
,97.53084,97.53084,97.41538
,97.41538,97.41538,97.438644
,97.438644,97.438644,97.501884
,97.501884,97.501884,97.80276
,97.80276,97.80276,98.28613
,98.28613,98.28613,98.92602
,98.92602,98.92602,99.87086
,99.87086,99.87086,100.989815
,100.989815,100.989815,102.09723
,102.09723,102.09723,103.15031
,103.15031,103.15031,104.08128
,104.08128,104.08128,104.787254
,104.787254,104.787254,105.35022
,105.35022,105.35022,105.91305
,105.91305,105.91305,106.45612
,106.45612,106.45612,107.0542
,107.0542,107.0542,107.82213
,107.82213,107.82213,108.66499
,108.66499,108.66499,109.45842
,109.45842,109.45842,110.073845
,110.073845,110.073845,110.58826
,110.58826,110.58826,111.00565
,111.00565,111.00565,111.53263
,111.53263,111.53263,112.30942
,112.30942,112.30942,112.96006
,112.96006,112.96006,113.301765
,113.301765,113.301765,113.38926
,113.38926,113.38926,113.48362
,113.48362,113.48362,113.66008
,113.66008,113.66008,114.11713
,114.11713,114.11713,114.889175
,114.889175,114.889175,115.81892
,115.81892,115.81892,116.68188
,116.68188,116.68188,117.20912
,117.20912,117.20912,117.26797
,117.26797,117.26797,116.88326
,116.88326,116.88326,116.48997
,116.48997,116.48997,116.996414
,116.996414,116.996414,118.21354
,118.21354,118.21354,119.66351
,119.66351,119.66351,121.01128
,121.01128,121.01128,122.24383
,122.24383,122.24383,123.270004
,123.270004,123.270004,124.128784
,124.128784,124.128784,124.83337
,124.83337,124.83337,125.47537
,125.47537,125.47537,126.04394
,126.04394,126.04394,126.682
,126.682,126.682,127.350044
,127.350044,127.350044,128.0568
,128.0568,128.0568,128.63861
,128.63861,128.63861,129.01619
,129.01619,129.01619,129.102
,129.102,129.102,129.05142
,129.05142,129.05142,128.90417
,128.90417,128.90417,128.66705
,128.66705,128.66705,128.46037
,128.46037,128.46037,128.39832
,128.39832,128.39832,128.51405
,128.51405,128.51405,128.74474
,128.74474,128.74474,128.89813
,128.89813,128.89813,128.89542
,128.89542,128.89542,128.35548
,128.35548,128.35548,127.41116
,127.41116,127.41116,126.13686
,126.13686,126.13686,124.911476
,124.911476,124.911476,124.09438
,124.09438,124.09438,123.91228
,123.91228,123.91228,124.398445
,124.398445,124.398445,125.24378
,125.24378,125.24378,126.16051
,126.16051,126.16051,126.88736
,126.88736,126.88736,127.35311
,127.35311,127.35311,127.52786
,127.52786,127.52786,127.602196
,127.602196,127.602196,127.80316
,127.80316,127.80316,128.2939
,128.2939,128.2939,128.95064
,128.95064,128.95064,129.63742
,129.63742,129.63742,130.32866
,130.32866,130.32866,131.05336
,131.05336,131.05336,131.80135
,131.80135,131.80135,132.56535
,132.56535,132.56535,133.19373
,133.19373,133.19373,133.66248
,133.66248,133.66248,134.04236
,134.04236,134.04236,134.37239
,134.37239,134.37239,134.75171
,134.75171,134.75171,135.18735
,135.18735,135.18735,135.73563
,135.73563,135.73563,136.36711
,136.36711,136.36711,136.97281
,136.97281,136.97281,137.39565
,137.39565,137.39565,137.60233
,137.60233,137.60233,137.56673
,137.56673,137.56673,137.57974
,137.57974,137.57974,137.6591
,137.6591,137.6591,137.9172
,137.9172,137.9172,138.09288
,138.09288,138.09288,138.56857
,138.56857,138.56857,139.25928
,139.25928,139.25928,139.9439
,139.9439,139.9439,140.48915
,140.48915,140.48915,140.92435
,140.92435,140.92435,141.21317
,141.21317,141.21317,141.36832
,141.36832,141.36832,141.42126
,141.42126,141.42126,141.31656
,141.31656,141.31656,141.16933
,141.16933,141.16933,141.12733
,141.12733,141.12733,141.38751
,141.38751,141.38751,141.99379
,141.99379,141.99379,142.84369
,142.84369,142.84369,143.6187
,143.6187,143.6187,144.03818
,144.03818,144.03818,143.98337
,143.98337,143.98337,143.54515
,143.54515,143.54515,142.81815
,142.81815,142.81815,142.22272
,142.22272,142.22272,141.82307
,141.82307,141.82307,
