stock,Actual,pred,PredLag
,34.111946,34.111946,34.184284
,34.184284,34.184284,34.26437
,34.26437,34.26437,34.411133
,34.411133,34.411133,34.67351
,34.67351,34.67351,34.981483
,34.981483,34.981483,35.283894
,35.283894,35.283894,35.562744
,35.562744,35.562744,35.75426
,35.75426,35.75426,35.84968
,35.84968,35.84968,35.93366
,35.93366,35.93366,36.035362
,36.035362,36.035362,36.04358
,36.04358,36.04358,35.963074
,35.963074,35.963074,35.895756
,35.895756,35.895756,35.829494
,35.829494,35.829494,35.73723
,35.73723,35.73723,35.68305
,35.68305,35.68305,35.672752
,35.672752,35.672752,35.711777
,35.711777,35.711777,35.756878
,35.756878,35.756878,35.783417
,35.783417,35.783417,35.764416
,35.764416,35.764416,35.72373
,35.72373,35.72373,35.680973
,35.680973,35.680973,35.640198
,35.640198,35.640198,35.655476
,35.655476,35.655476,35.72768
,35.72768,35.72768,35.647396
,35.647396,35.647396,35.440216
,35.440216,35.440216,35.184143
,35.184143,35.184143,34.930088
,34.930088,34.930088,34.707897
,34.707897,34.707897,34.571014
,34.571014,34.571014,34.49364
,34.49364,34.49364,34.429844
,34.429844,34.429844,34.188744
,34.188744,34.188744,33.808395
,33.808395,33.808395,33.36037
,33.36037,33.36037,32.924976
,32.924976,32.924976,32.5647
,32.5647,32.5647,32.277134
,32.277134,32.277134,32.06648
,32.06648,32.06648,31.903585
,31.903585,31.903585,31.750792
,31.750792,31.750792,31.564783
,31.564783,31.564783,31.364826
,31.364826,31.364826,31.16053
,31.16053,31.16053,31.010494
,31.010494,31.010494,30.932543
,30.932543,30.932543,30.981598
,30.981598,30.981598,31.183542
,31.183542,31.183542,31.480465
,31.480465,31.480465,31.765528
,31.765528,31.765528,31.968124
,31.968124,31.968124,32.06195
,32.06195,32.06195,32.095253
,32.095253,32.095253,32.19718
,32.19718,32.19718,32.383686
,32.383686,32.383686,32.64486
,32.64486,32.64486,32.925262
,32.925262,32.925262,33.222717
,33.222717,33.222717,33.5299
,33.5299,33.5299,33.83205
,33.83205,33.83205,34.229633
,34.229633,34.229633,34.69093
,34.69093,34.69093,35.09465
,35.09465,35.09465,35.38046
,35.38046,35.38046,35.650707
,35.650707,35.650707,35.948334
,35.948334,35.948334,36.218002
,36.218002,36.218002,36.409443
,36.409443,36.409443,36.51076
,36.51076,36.51076,36.545403
,36.545403,36.545403,36.545822
,36.545822,36.545822,36.521458
,36.521458,36.521458,36.49557
,36.49557,36.49557,36.474365
,36.474365,36.474365,36.418533
,36.418533,36.418533,36.364643
,36.364643,36.364643,36.32093
,36.32093,36.32093,36.280605
,36.280605,36.280605,36.261845
,36.261845,36.261845,36.266693
,36.266693,36.266693,36.280094
,36.280094,36.280094,36.323463
,36.323463,36.323463,36.403423
,36.403423,36.403423,36.500874
,36.500874,36.500874,36.56711
,36.56711,36.56711,36.566864
,36.566864,36.566864,36.499123
,36.499123,36.499123,36.395714
,36.395714,36.395714,36.279205
,36.279205,36.279205,36.107475
,36.107475,36.107475,35.91531
,35.91531,35.91531,35.68463
,35.68463,35.68463,35.43291
,35.43291,35.43291,35.163486
,35.163486,35.163486,34.918156
,34.918156,34.918156,34.68601
,34.68601,34.68601,34.500885
,34.500885,34.500885,34.436695
,34.436695,34.436695,34.480274
,34.480274,34.480274,34.572186
,34.572186,34.572186,34.672035
,34.672035,34.672035,34.74632
