stock,Actual,pred,PredLag
,120.48115,120.48115,120.68126
,120.68126,120.68126,120.60074
,120.60074,120.60074,120.34564
,120.34564,120.34564,119.92617
,119.92617,119.92617,119.38303
,119.38303,119.38303,118.822556
,118.822556,118.822556,118.38227
,118.38227,118.38227,118.023796
,118.023796,118.023796,117.649345
,117.649345,117.649345,117.27432
,117.27432,117.27432,116.73124
,116.73124,116.73124,115.98538
,115.98538,115.98538,115.42071
,115.42071,115.42071,115.11528
,115.11528,115.11528,114.957924
,114.957924,114.957924,114.82182
,114.82182,114.82182,114.66253
,114.66253,114.66253,114.547035
,114.547035,114.547035,114.60971
,114.60971,114.60971,114.56637
,114.56637,114.56637,114.40224
,114.40224,114.40224,114.06259
,114.06259,114.06259,113.67896
,113.67896,113.67896,113.30381
,113.30381,113.30381,113.103836
,113.103836,113.103836,113.24743
,113.24743,113.24743,113.65413
,113.65413,113.65413,114.264084
,114.264084,114.264084,115.00833
,115.00833,115.00833,115.802185
,115.802185,115.802185,116.371124
,116.371124,116.371124,116.8141
,116.8141,116.8141,117.244286
,117.244286,117.244286,117.62035
,117.62035,117.62035,117.97412
,117.97412,117.97412,118.09179
,118.09179,118.09179,117.91644
,117.91644,117.91644,117.62362
,117.62362,117.62362,117.44155
,117.44155,117.44155,117.40557
,117.40557,117.40557,117.5652
,117.5652,117.5652,117.83597
,117.83597,117.83597,118.04605
,118.04605,118.04605,118.14127
,118.14127,118.14127,118.05025
,118.05025,118.05025,117.92114
,117.92114,117.92114,117.64577
,117.64577,117.64577,117.41455
,117.41455,117.41455,117.44064
,117.44064,117.44064,117.7337
,117.7337,117.7337,118.24038
,118.24038,118.24038,118.88823
,118.88823,118.88823,119.603966
,119.603966,119.603966,120.33972
,120.33972,120.33972,120.99486
,120.99486,120.99486,121.61479
,121.61479,121.61479,122.20094
,122.20094,122.20094,122.793785
,122.793785,122.793785,123.322136
,123.322136,123.322136,123.75929
,123.75929,123.75929,124.15977
,124.15977,124.15977,124.501015
,124.501015,124.501015,124.75452
,124.75452,124.75452,124.99711
,124.99711,124.99711,125.24628
,125.24628,125.24628,125.469795
,125.469795,125.469795,125.67264
,125.67264,125.67264,125.96078
,125.96078,125.96078,126.35474
,126.35474,126.35474,127.01205
,127.01205,127.01205,127.83574
,127.83574,127.83574,128.68033
,128.68033,128.68033,129.60754
,129.60754,129.60754,130.53163
,130.53163,130.53163,131.30177
,131.30177,131.30177,131.92244
,131.92244,131.92244,132.4475
,132.4475,132.4475,132.82909
,132.82909,132.82909,133.22234
,133.22234,133.22234,133.67749
,133.67749,133.67749,134.1034
,134.1034,134.1034,134.47098
,134.47098,134.47098,134.83879
,134.83879,134.83879,135.15195
,135.15195,135.15195,135.45801
,135.45801,135.45801,135.79955
,135.79955,135.79955,136.22836
,136.22836,136.22836,136.74046
,136.74046,136.74046,137.22108
,137.22108,137.22108,137.5921
,137.5921,137.5921,137.88037
,137.88037,137.88037,138.07613
,138.07613,138.07613,138.17976
,138.17976,138.17976,138.3774
,138.3774,138.3774,138.53522
,138.53522,138.53522,138.57372
,138.57372,138.57372,138.36661
,138.36661,138.36661,138.12157
,138.12157,138.12157,137.85031
,137.85031,137.85031,137.67294
,137.67294,137.67294,137.64896
,137.64896,137.64896,137.74469
,137.74469,137.74469,137.83356
,137.83356,137.83356,137.85472
,137.85472,137.85472,137.80365
,137.80365,137.80365,137.66327
,137.66327,137.66327,137.55402
,137.55402,137.55402,137.40309
,137.40309,137.40309,137.24347
,137.24347,137.24347,137.15472
,137.15472,137.15472,137.17453
,137.17453,137.17453,137.22266
,137.22266,137.22266,137.37598
,137.37598,137.37598,137.63991
,137.63991,137.63991,137.8789
,137.8789,137.8789,138.12306
,138.12306,138.12306,138.38805
,138.38805,138.38805,138.72836
,138.72836,138.72836,139.1807
,139.1807,139.1807,139.77528
,139.77528,139.77528,140.542
,140.542,140.542,141.36023
,141.36023,141.36023,142.09763
,142.09763,142.09763,142.67259
,142.67259,142.67259,143.1143
,143.1143,143.1143,143.2777
,143.2777,143.2777,143.2263
,143.2263,143.2263,143.1191
,143.1191,143.1191,142.91043
,142.91043,142.91043,142.68643
,142.68643,142.68643,142.4268
,142.4268,142.4268,142.22267
,142.22267,142.22267,141.77701
,141.77701,141.77701,141.07915
,141.07915,141.07915,140.24162
,140.24162,140.24162,139.50868
,139.50868,139.50868,139.17076
,139.17076,139.17076,139.17429
,139.17429,139.17429,139.49242
,139.49242,139.49242,140.05322
,140.05322,140.05322,140.34819
,140.34819,140.34819,140.41975
,140.41975,140.41975,140.50816
,140.50816,140.50816,140.69247
,140.69247,140.69247,141.09114
,141.09114,141.09114,141.51596
,141.51596,141.51596,141.8141
,141.8141,141.8141,141.80908
,141.80908,141.80908,141.5325
,141.5325,141.5325,141.09824
,141.09824,141.09824,140.59009
,140.59009,140.59009,140.06017
,140.06017,140.06017,139.59283
,139.59283,139.59283,139.2236
,139.2236,139.2236,138.97278
,138.97278,138.97278,138.85995
,138.85995,138.85995,138.78368
,138.78368,138.78368,138.62796
,138.62796,138.62796,138.4025
,138.4025,138.4025,138.1712
,138.1712,138.1712,138.00108
,138.00108,138.00108,137.7901
,137.7901,137.7901,137.46213
,137.46213,137.46213,137.12677
,137.12677,137.12677,136.80864
,136.80864,136.80864,136.58305
,136.58305,136.58305,136.5054
,136.5054,136.5054,136.6174
,136.6174,136.6174,136.91672
,136.91672,136.91672,137.2117
,137.2117,137.2117,137.34515
,137.34515,137.34515,137.29959
,137.29959,137.29959,137.23611
,137.23611,137.23611,137.2921
,137.2921,137.2921,137.447
,137.447,137.447,137.5964
,137.5964,137.5964,137.79042
,137.79042,137.79042,137.93317
,137.93317,137.93317,138.05467
,138.05467,138.05467,138.27203
,138.27203,138.27203,138.48816
,138.48816,138.48816,138.64136
,138.64136,138.64136,138.65883
,138.65883,138.65883,138.50455
,138.50455,138.50455,138.25108
,138.25108,138.25108,137.87509
,137.87509,137.87509,137.35843
,137.35843,137.35843,136.6954
,136.6954,136.6954,135.86221
,135.86221,135.86221,134.90007
,134.90007,134.90007,
