stock,Actual,pred,PredLag
,103.62825,103.62825,103.20791
,103.20791,103.20791,102.73894
,102.73894,102.73894,102.278755
,102.278755,102.278755,102.02677
,102.02677,102.02677,102.10149
,102.10149,102.10149,102.54352
,102.54352,102.54352,102.870674
,102.870674,102.870674,102.553406
,102.553406,102.553406,101.72089
,101.72089,101.72089,100.674835
,100.674835,100.674835,99.40896
,99.40896,99.40896,98.24185
,98.24185,98.24185,97.44978
,97.44978,97.44978,96.91876
,96.91876,96.91876,96.43358
,96.43358,96.43358,95.65197
,95.65197,95.65197,94.63989
,94.63989,94.63989,93.5955
,93.5955,93.5955,93.02515
,93.02515,93.02515,92.8438
,92.8438,92.8438,93.036964
,93.036964,93.036964,93.72614
,93.72614,93.72614,94.81215
,94.81215,94.81215,96.27627
,96.27627,96.27627,98.13578
,98.13578,98.13578,100.19214
,100.19214,100.19214,102.11884
,102.11884,102.11884,103.867775
,103.867775,103.867775,105.50567
,105.50567,105.50567,107.22484
,107.22484,107.22484,109.192184
,109.192184,109.192184,111.68524
,111.68524,111.68524,114.703606
,114.703606,114.703606,117.66376
,117.66376,117.66376,119.848854
,119.848854,119.848854,120.393105
,120.393105,120.393105,119.714005
,119.714005,119.714005,118.56948
,118.56948,118.56948,117.534744
,117.534744,117.534744,116.71713
,116.71713,116.71713,116.19492
,116.19492,116.19492,115.96714
,115.96714,115.96714,115.925835
,115.925835,115.925835,115.971245
,115.971245,115.971245,115.806946
,115.806946,115.806946,115.53496
,115.53496,115.53496,115.00907
,115.00907,115.00907,114.42378
,114.42378,114.42378,114.00109
,114.00109,114.00109,113.67781
,113.67781,113.67781,113.4052
,113.4052,113.4052,113.32133
,113.32133,113.32133,113.27653
,113.27653,113.27653,113.247795
,113.247795,113.247795,113.010735
,113.010735,113.010735,112.83798
,112.83798,112.83798,112.86234
,112.86234,112.86234,113.35434
,113.35434,113.35434,114.25941
,114.25941,114.25941,115.4388
,115.4388,115.4388,116.57792
,116.57792,116.57792,117.4752
,117.4752,117.4752,118.20749
,118.20749,118.20749,118.94511
,118.94511,118.94511,119.43545
,119.43545,119.43545,119.598076
,119.598076,119.598076,119.39735
,119.39735,119.39735,118.84431
,118.84431,118.84431,118.227234
,118.227234,118.227234,117.65021
,117.65021,117.65021,117.05491
,117.05491,117.05491,116.460396
,116.460396,116.460396,115.82723
,115.82723,115.82723,115.33724
,115.33724,115.33724,114.9528
,114.9528,114.9528,114.89781
,114.89781,114.89781,115.27745
,115.27745,115.27745,116.00485
,116.00485,116.00485,116.802635
,116.802635,116.802635,117.524414
,117.524414,117.524414,118.05987
,118.05987,118.05987,118.21034
,118.21034,118.21034,117.95513
,117.95513,117.95513,117.326385
,117.326385,117.326385,116.4556
,116.4556,116.4556,115.47969
,115.47969,115.47969,114.76089
,114.76089,114.76089,114.44135
,114.44135,114.44135,114.29695
,114.29695,114.29695,114.44775
,114.44775,114.44775,114.75353
,114.75353,114.75353,115.09449
,115.09449,115.09449,115.304504
,115.304504,115.304504,115.554955
,115.554955,115.554955,115.73721
,115.73721,115.73721,115.89658
,115.89658,115.89658,115.85247
,115.85247,115.85247,115.59761
,115.59761,115.59761,115.097534
,115.097534,115.097534,114.5683
,114.5683,114.5683,114.21273
,114.21273,114.21273,113.89728
,113.89728,113.89728,113.642296
,113.642296,113.642296,113.42148
,113.42148,113.42148,113.15865
,113.15865,113.15865,112.70719
,112.70719,112.70719,112.09744
,112.09744,112.09744,111.31962
,111.31962,111.31962,110.50148
,110.50148,110.50148,109.78193
,109.78193,109.78193,109.37217
,109.37217,109.37217,109.0726
,109.0726,109.0726,108.83616
,108.83616,108.83616,108.62723
,108.62723,108.62723,108.49611
,108.49611,108.49611,108.68289
,108.68289,108.68289,109.12872
,109.12872,109.12872,109.84223
,109.84223,109.84223,110.82117
,110.82117,110.82117,111.92336
,111.92336,111.92336,113.029015
,113.029015,113.029015,113.76569
,113.76569,113.76569,114.01153
,114.01153,114.01153,113.92976
,113.92976,113.92976,113.74761
,113.74761,113.74761,113.47892
,113.47892,113.47892,113.60496
,113.60496,113.60496,114.649254
