stock,Actual,pred,PredLag
,280.25607,280.25607,281.0072
,281.0072,281.0072,281.31442
,281.31442,281.31442,282.1884
,282.1884,282.1884,283.85785
,283.85785,283.85785,285.5711
,285.5711,285.5711,286.8537
,286.8537,286.8537,287.96695
,287.96695,287.96695,288.44934
,288.44934,288.44934,288.50082
,288.50082,288.50082,288.7467
,288.7467,288.7467,289.02103
,289.02103,289.02103,288.93033
,288.93033,288.93033,288.607
,288.607,288.607,288.341
,288.341,288.341,288.16046
,288.16046,288.16046,287.3582
,287.3582,287.3582,286.82327
,286.82327,286.82327,286.89908
,286.89908,286.89908,287.62238
,287.62238,287.62238,288.4201
,288.4201,288.4201,288.9253
,288.9253,288.9253,289.02185
,289.02185,289.02185,289.02945
,289.02945,289.02945,289.44937
,289.44937,289.44937,290.9074
,290.9074,290.9074,293.17487
,293.17487,293.17487,295.7686
,295.7686,295.7686,298.31226
,298.31226,298.31226,300.5606
,300.5606,300.5606,302.31583
,302.31583,302.31583,303.0442
,303.0442,303.0442,303.81406
,303.81406,303.81406,304.81296
,304.81296,304.81296,305.87997
,305.87997,305.87997,306.6035
,306.6035,306.6035,305.35123
,305.35123,305.35123,302.3818
,302.3818,302.3818,298.7366
,298.7366,298.7366,295.73227
,295.73227,295.73227,293.7625
,293.7625,293.7625,292.61557
,292.61557,292.61557,291.98743
,291.98743,291.98743,291.75708
,291.75708,291.75708,292.13388
,292.13388,292.13388,292.38416
,292.38416,292.38416,292.74738
,292.74738,292.74738,292.63455
,292.63455,292.63455,292.18195
,292.18195,292.18195,291.9837
,291.9837,291.9837,292.37598
,292.37598,292.37598,293.26306
,293.26306,293.26306,294.68665
,294.68665,294.68665,295.95853
,295.95853,295.95853,296.90457
,296.90457,296.90457,297.0342
,297.0342,297.0342,296.43967
,296.43967,296.43967,296.0597
,296.0597,296.0597,296.80914
,296.80914,296.80914,298.23148
,298.23148,298.23148,300.00183
,300.00183,300.00183,301.74713
,301.74713,301.74713,303.0193
,303.0193,303.0193,303.85696
,303.85696,303.85696,304.49582
,304.49582,304.49582,304.77545
,304.77545,304.77545,304.56598
,304.56598,304.56598,303.84903
,303.84903,303.84903,302.93488
,302.93488,302.93488,302.54214
,302.54214,302.54214,302.67072
,302.67072,302.67072,302.92578
,302.92578,302.92578,303.16254
,303.16254,303.16254,303.40393
,303.40393,303.40393,304.20966
,304.20966,304.20966,305.6541
,305.6541,305.6541,307.62946
,307.62946,307.62946,309.9249
,309.9249,309.9249,311.95395
,311.95395,311.95395,313.93008
,313.93008,313.93008,315.79138
,315.79138,315.79138,317.5606
,317.5606,317.5606,318.93024
,318.93024,318.93024,319.55914
,319.55914,319.55914,319.43805
,319.43805,319.43805,318.6906
,318.6906,318.6906,317.67554
,317.67554,317.67554,316.30225
,316.30225,316.30225,314.96692
,314.96692,314.96692,313.66284
,313.66284,313.66284,312.6461
,312.6461,312.6461,312.17932
,312.17932,312.17932,312.0694
,312.0694,312.0694,312.14157
,312.14157,312.14157,312.80054
,312.80054,312.80054,313.68576
,313.68576,313.68576,314.20758
,314.20758,314.20758,313.91937
,313.91937,313.91937,313.31293
,313.31293,313.31293,312.21918
,312.21918,312.21918,310.56244
,310.56244,310.56244,309.12457
,309.12457,309.12457,308.1323
,308.1323,308.1323,307.49643
,307.49643,307.49643,306.9916
,306.9916,306.9916,306.74826
,306.74826,306.74826,306.13846
,306.13846,306.13846,304.73975
,304.73975,304.73975,302.64185
,302.64185,302.64185,300.31573
,300.31573,300.31573,298.86066
,298.86066,298.86066,298.52103
