stock,Actual,pred,PredLag
,57.618675,57.618675,57.66062
,57.66062,57.66062,57.675125
,57.675125,57.675125,57.69561
,57.69561,57.69561,57.721413
,57.721413,57.721413,57.74809
,57.74809,57.74809,57.79227
,57.79227,57.79227,57.804317
,57.804317,57.804317,57.730984
,57.730984,57.730984,57.547134
,57.547134,57.547134,57.31477
,57.31477,57.31477,57.028877
,57.028877,57.028877,56.71726
,56.71726,56.71726,56.521065
,56.521065,56.521065,56.424206
,56.424206,56.424206,56.320477
,56.320477,56.320477,56.138573
,56.138573,56.138573,55.90147
,55.90147,55.90147,55.64253
,55.64253,55.64253,55.46942
,55.46942,55.46942,55.309067
,55.309067,55.309067,55.127007
,55.127007,55.127007,54.914585
,54.914585,54.914585,54.7049
,54.7049,54.7049,54.538715
,54.538715,54.538715,54.48599
,54.48599,54.48599,54.57763
,54.57763,54.57763,54.884453
,54.884453,54.884453,55.22584
,55.22584,55.22584,55.53994
,55.53994,55.53994,55.83209
,55.83209,55.83209,56.121925
,56.121925,56.121925,56.433117
,56.433117,56.433117,56.768726
,56.768726,56.768726,57.080505
,57.080505,57.080505,57.349632
,57.349632,57.349632,57.454235
,57.454235,57.454235,57.402534
,57.402534,57.402534,57.232517
,57.232517,57.232517,57.06233
,57.06233,57.06233,56.92583
,56.92583,56.92583,56.84384
,56.84384,56.84384,56.75849
,56.75849,56.75849,56.619217
,56.619217,56.619217,56.38759
,56.38759,56.38759,56.02764
,56.02764,56.02764,55.620575
,55.620575,55.620575,55.163143
,55.163143,55.163143,54.806366
,54.806366,54.806366,54.629246
,54.629246,54.629246,54.573086
,54.573086,54.573086,54.584873
,54.584873,54.584873,54.657784
,54.657784,54.657784,54.753403
,54.753403,54.753403,54.868046
,54.868046,54.868046,54.88657
,54.88657,54.88657,54.836018
,54.836018,54.836018,54.756474
,54.756474,54.756474,54.74601
,54.74601,54.74601,54.789375
,54.789375,54.789375,54.90536
,54.90536,54.90536,55.106667
,55.106667,55.106667,55.3244
,55.3244,55.3244,55.509773
,55.509773,55.509773,55.640167
,55.640167,55.640167,55.725964
,55.725964,55.725964,55.85132
,55.85132,55.85132,56.025967
,56.025967,56.025967,56.262928
,56.262928,56.262928,56.52718
,56.52718,56.52718,56.766983
,56.766983,56.766983,56.969173
,56.969173,56.969173,57.113056
,57.113056,57.113056,57.247784
,57.247784,57.247784,57.359913
,57.359913,57.359913,57.46132
,57.46132,57.46132,57.60268
,57.60268,57.60268,57.811058
,57.811058,57.811058,58.023003
,58.023003,58.023003,58.20382
,58.20382,58.20382,58.33636
,58.33636,58.33636,58.441704
,58.441704,58.441704,58.529243
,58.529243,58.529243,58.62876
,58.62876,58.62876,58.73048
,58.73048,58.73048,58.814762
,58.814762,58.814762,58.876812
,58.876812,58.876812,58.95956
,58.95956,58.95956,59.05586
,59.05586,59.05586,59.15207
,59.15207,59.15207,59.234745
,59.234745,59.234745,59.286404
,59.286404,59.286404,59.308582
,59.308582,59.308582,59.303192
,59.303192,59.303192,59.3761
,59.3761,59.3761,59.54083
,59.54083,59.54083,59.745316
,59.745316,59.745316,59.90596
,59.90596,59.90596,60.003853
,60.003853,60.003853,60.0149
,60.0149,60.0149,59.97704
,59.97704,59.97704,59.96122
,59.96122,59.96122,60.00458
,60.00458,60.00458,60.077988
,60.077988,60.077988,60.168957
,60.168957,60.168957,60.24579
,60.24579,60.24579,60.24506
,60.24506,60.24506,60.185417
,60.185417,60.185417,60.037113
,60.037113,60.037113,59.847027
,59.847027,59.847027,59.675125
,59.675125,59.675125,59.54463
,59.54463,59.54463,59.447754
,59.447754,59.447754,59.39372
,59.39372,59.39372,59.373497
,59.373497,59.373497,59.358982
,59.358982,59.358982,59.369076
,59.369076,59.369076,59.389698
,59.389698,59.389698,59.42019
,59.42019,59.42019,59.426388
,59.426388,59.426388,59.41311
,59.41311,59.41311,59.40688
,59.40688,59.40688,59.401936
,59.401936,59.401936,59.329243
,59.329243,59.329243,59.17208
,59.17208,59.17208,58.959328
,58.959328,58.959328,58.68291
,58.68291,58.68291,58.374817
,58.374817,58.374817,58.04411
,58.04411,58.04411,57.763805
,57.763805,57.763805,57.607895
,57.607895,57.607895,57.559067
,57.559067,57.559067,57.544937
,57.544937,57.544937,57.45448
,57.45448,57.45448,57.314487
,57.314487,57.314487,57.18375
,57.18375,57.18375,57.138435
,57.138435,57.138435,57.181747
,57.181747,57.181747,57.241077
,57.241077,57.241077,57.345795
,57.345795,57.345795,57.515606
,57.515606,57.515606,57.814716
,57.814716,57.814716,58.29031
,58.29031,58.29031,58.85764
,58.85764,58.85764,59.398254
,59.398254,59.398254,59.86328
,59.86328,59.86328,60.22181
,60.22181,60.22181,60.464916
,60.464916,60.464916,60.58141
,60.58141,60.58141,60.592842
,60.592842,60.592842,60.52911
,60.52911,60.52911,60.44197
,60.44197,60.44197,60.390884
,60.390884,60.390884,60.370243
,60.370243,60.370243,60.377804
,60.377804,60.377804,60.39152
,60.39152,60.39152,60.41238
,60.41238,60.41238,60.492718
,60.492718,60.492718,60.65305
,60.65305,60.65305,60.84714
,60.84714,60.84714,61.01824
,61.01824,61.01824,61.15074
,61.15074,61.15074,61.246235
,61.246235,61.246235,61.245293
,61.245293,61.245293,61.14623
,61.14623,61.14623,60.965008
,60.965008,60.965008,60.78686
,60.78686,60.78686,60.608818
,60.608818,60.608818,60.444153
,60.444153,60.444153,60.336666
,60.336666,60.336666,60.222767
,60.222767,60.222767,60.051636
,60.051636,60.051636,59.83717
,59.83717,59.83717,59.608368
,59.608368,59.608368,59.40567
,59.40567,59.40567,59.236053
,59.236053,59.236053,59.053833
,59.053833,59.053833,58.901764
,58.901764,58.901764,58.80626
,58.80626,58.80626,58.743843
,58.743843,58.743843,58.74787
,58.74787,58.74787,58.756775
,58.756775,58.756775,58.692528
,58.692528,58.692528,58.53475
,58.53475,58.53475,58.308186
,58.308186,58.308186,58.047436
,58.047436,58.047436,57.791782
,57.791782,57.791782,57.593903
,57.593903,57.593903,57.44266
,57.44266,57.44266,57.341175
,57.341175,57.341175,57.283024
,57.283024,57.283024,
