stock,Actual,pred,PredLag
,129.08195,129.08195,129.67561
,129.67561,129.67561,129.9398
,129.9398,129.9398,129.98093
,129.98093,129.98093,129.83206
,129.83206,129.83206,129.5498
,129.5498,129.5498,128.90503
,128.90503,128.90503,127.829056
,127.829056,127.829056,126.62403
,126.62403,126.62403,125.58698
,125.58698,125.58698,124.89972
,124.89972,124.89972,124.44448
,124.44448,124.44448,124.02445
,124.02445,124.02445,123.66772
,123.66772,123.66772,123.45296
,123.45296,123.45296,123.384125
,123.384125,123.384125,123.410484
,123.410484,123.410484,123.46001
,123.46001,123.46001,123.676735
,123.676735,123.676735,124.1695
,124.1695,124.1695,124.65307
,124.65307,124.65307,125.02082
,125.02082,125.02082,125.2302
,125.2302,125.2302,125.2621
,125.2621,125.2621,125.13431
,125.13431,125.13431,124.81775
,124.81775,124.81775,124.47014
,124.47014,124.47014,124.21165
,124.21165,124.21165,124.05884
,124.05884,124.05884,123.985504
,123.985504,123.985504,123.927216
,123.927216,123.927216,123.76512
,123.76512,123.76512,123.46611
,123.46611,123.46611,123.06841
,123.06841,123.06841,122.65609
,122.65609,122.65609,122.27806
,122.27806,122.27806,121.88703
,121.88703,121.88703,121.32839
,121.32839,121.32839,120.66689
,120.66689,120.66689,120.127106
,120.127106,120.127106,119.74188
,119.74188,119.74188,119.41306
,119.41306,119.41306,119.239586
,119.239586,119.239586,119.35487
,119.35487,119.35487,119.6564
,119.6564,119.6564,119.9623
,119.9623,119.9623,120.14761
,120.14761,120.14761,120.10551
,120.10551,120.10551,119.93393
,119.93393,119.93393,119.78035
,119.78035,119.78035,119.69125
,119.69125,119.69125,119.62601
,119.62601,119.62601,119.54116
,119.54116,119.54116,120.00606
,120.00606,120.00606,120.84169
,120.84169,120.84169,122.00248
,122.00248,122.00248,123.501625
,123.501625,123.501625,125.04849
,125.04849,125.04849,126.58679
,126.58679,126.58679,128.00658
,128.00658,128.00658,129.223
,129.223,129.223,130.15906
,130.15906,130.15906,130.79732
,130.79732,130.79732,131.2481
,131.2481,131.2481,131.60478
,131.60478,131.60478,131.82799
,131.82799,131.82799,131.8968
,131.8968,131.8968,131.84904
,131.84904,131.84904,131.77974
,131.77974,131.77974,131.65761
,131.65761,131.65761,131.45103
,131.45103,131.45103,131.14153
,131.14153,131.14153,130.77257
,130.77257,130.77257,130.5718
,130.5718,130.5718,130.45007
,130.45007,130.45007,130.31152
,130.31152,130.31152,130.18564
,130.18564,130.18564,130.22864
,130.22864,130.22864,130.3193
,130.3193,130.3193,130.5013
,130.5013,130.5013,130.75249
,130.75249,130.75249,131.07481
,131.07481,131.07481,131.63585
,131.63585,131.63585,132.31659
,132.31659,132.31659,132.81421
,132.81421,132.81421,132.91972
,132.91972,132.91972,132.76987
,132.76987,132.76987,132.49965
,132.49965,132.49965,132.15884
,132.15884,132.15884,131.80937
,131.80937,131.80937,131.91649
,131.91649,131.91649,132.74846
,132.74846,132.74846,133.97847
,133.97847,133.97847,135.86772
,135.86772,135.86772,138.18938
,138.18938,138.18938,140.3202
,140.3202,140.3202,141.83762
,141.83762,141.83762,142.40942
,142.40942,142.40942,142.30724
,142.30724,142.30724,141.65996
,141.65996,141.65996,140.7129
,140.7129,140.7129,139.75569
,139.75569,139.75569,138.95291
,138.95291,138.95291,138.27635
,138.27635,138.27635,137.7428
,137.7428,137.7428,137.25299
,137.25299,137.25299,136.9155
,136.9155,136.9155,136.8377
,136.8377,136.8377,136.81033
,136.81033,136.81033,136.78595
,136.78595,136.78595,136.80092
,136.80092,136.80092,136.85622
,136.85622,136.85622,136.92526
,136.92526,136.92526,137.18375
,137.18375,137.18375,137.84018
,137.84018,137.84018,138.60321
,138.60321,138.60321,139.35631
,139.35631,139.35631,139.94244
,139.94244,139.94244,140.34227
,140.34227,140.34227,140.62337
,140.62337,140.62337,140.92982
,140.92982,140.92982,141.38321
,141.38321,141.38321,142.07788
,142.07788,142.07788,142.753
,142.753,142.753,143.30736
,143.30736,143.30736,143.73235
,143.73235,143.73235,143.91957
,143.91957,143.91957,143.96034
,143.96034,143.96034,143.97424
,143.97424,143.97424,143.94753
,143.94753,143.94753,143.90392
,143.90392,143.90392,143.743
,143.743,143.743,143.52585
,143.52585,143.52585,143.11595
,143.11595,143.11595,142.54285
,142.54285,142.54285,141.83696
,141.83696,141.83696,141.21661
,141.21661,141.21661,140.94293
,140.94293,140.94293,140.94733
,140.94733,140.94733,141.2042
,141.2042,141.2042,141.7694
,141.7694,141.7694,142.36859
,142.36859,142.36859,142.98627
,142.98627,142.98627,143.75298
,143.75298,143.75298,144.63211
,144.63211,144.63211,145.66484
,145.66484,145.66484,146.87779
,146.87779,146.87779,147.91982
,147.91982,147.91982,148.62312
,148.62312,148.62312,149.21912
,149.21912,149.21912,149.66405
,149.66405,149.66405,149.99342
,149.99342,149.99342,150.26688
,150.26688,150.26688,150.53548
,150.53548,150.53548,150.78072
,150.78072,150.78072,151.06569
,151.06569,151.06569,151.37103
,151.37103,151.37103,151.50998
,151.50998,151.50998,151.37453
,151.37453,151.37453,151.00792
,151.00792,151.00792,150.47755
,150.47755,150.47755,149.98958
,149.98958,149.98958,149.55359
,149.55359,149.55359,149.08861
,149.08861,149.08861,148.60396
,148.60396,148.60396,148.05429
,148.05429,148.05429,147.47758
,147.47758,147.47758,146.92963
,146.92963,146.92963,146.50482
,146.50482,146.50482,146.21396
,146.21396,146.21396,146.0338
,146.0338,146.0338,145.80821
,145.80821,145.80821,145.44368
,145.44368,145.44368,145.0061
,145.0061,145.0061,144.70044
,144.70044,144.70044,144.512
,144.512,144.512,144.38988
,144.38988,144.38988,144.30142
,144.30142,144.30142,144.3998
,144.3998,144.3998,144.62076
,144.62076,144.62076,144.93979
,144.93979,144.93979,145.29677
,145.29677,145.29677,145.63223
,145.63223,145.63223,145.95752
,145.95752,145.95752,146.37802
,146.37802,146.37802,146.76468
,146.76468,146.76468,147.014
,147.014,147.014,146.96
,146.96,146.96,146.56297
,146.56297,146.56297,146.10626
,146.10626,146.10626,145.70132
,145.70132,145.70132,
