stock,Actual,pred,PredLag
,41.564648,41.564648,41.54656
,41.54656,41.54656,41.699207
,41.699207,41.699207,42.00867
,42.00867,42.00867,42.40561
,42.40561,42.40561,42.881863
,42.881863,42.881863,43.555157
,43.555157,43.555157,44.287136
,44.287136,44.287136,44.71365
,44.71365,44.71365,44.902294
,44.902294,44.902294,44.96022
,44.96022,44.96022,44.901314
,44.901314,44.901314,44.78391
,44.78391,44.78391,44.792942
,44.792942,44.792942,44.919434
,44.919434,44.919434,44.987118
,44.987118,44.987118,44.791546
,44.791546,44.791546,44.394447
,44.394447,44.394447,43.90321
,43.90321,43.90321,43.65509
,43.65509,43.65509,43.606052
,43.606052,43.606052,43.7595
,43.7595,43.7595,43.985355
,43.985355,43.985355,44.199284
,44.199284,44.199284,44.45979
,44.45979,44.45979,44.78308
,44.78308,44.78308,45.04333
,45.04333,45.04333,45.226074
,45.226074,45.226074,45.403156
,45.403156,45.403156,45.663754
,45.663754,45.663754,46.126717
,46.126717,46.126717,46.721478
,46.721478,46.721478,47.6108
,47.6108,47.6108,48.81642
,48.81642,48.81642,50.06224
,50.06224,50.06224,50.9426
,50.9426,50.9426,51.066883
,51.066883,51.066883,50.62353
,50.62353,50.62353,49.918777
,49.918777,49.918777,49.26266
,49.26266,49.26266,48.6694
,48.6694,48.6694,48.167393
,48.167393,48.167393,47.705624
,47.705624,47.705624,47.314537
,47.314537,47.314537,47.032944
,47.032944,47.032944,46.702045
,46.702045,46.702045,46.348454
,46.348454,46.348454,45.9144
,45.9144,45.9144,45.483692
,45.483692,45.483692,45.148243
,45.148243,45.148243,44.857903
,44.857903,44.857903,44.620956
,44.620956,44.620956,44.46491
,44.46491,44.46491,44.30274
,44.30274,44.30274,44.1075
,44.1075,44.1075,43.773293
,43.773293,43.773293,43.423378
,43.423378,43.423378,43.139824
,43.139824,43.139824,43.04343
,43.04343,43.04343,43.158905
,43.158905,43.158905,43.386127
,43.386127,43.386127,43.580902
,43.580902,43.580902,43.621277
,43.621277,43.621277,43.67103
,43.67103,43.67103,43.71714
,43.71714,43.71714,43.749207
,43.749207,43.749207,43.747387
,43.747387,43.747387,43.7615
,43.7615,43.7615,43.767944
,43.767944,43.767944,43.791073
,43.791073,43.791073,43.68128
,43.68128,43.68128,43.44835
,43.44835,43.44835,43.173557
,43.173557,43.173557,43.005398
,43.005398,43.005398,42.997246
,42.997246,42.997246,43.09325
,43.09325,43.09325,43.214993
,43.214993,43.214993,43.39599
,43.39599,43.39599,43.65368
,43.65368,43.65368,43.886936
,43.886936,43.886936,43.972794
,43.972794,43.972794,43.927784
,43.927784,43.927784,43.771503
,43.771503,43.771503,43.54248
,43.54248,43.54248,43.260185
,43.260185,43.260185,42.921402
,42.921402,42.921402,42.54424
