stock,Actual,pred,PredLag
,70.00439,70.00439,69.839325
,69.839325,69.839325,69.61189
,69.61189,69.61189,69.54519
,69.54519,69.54519,69.666016
,69.666016,69.666016,69.819695
,69.819695,69.819695,70.08864
,70.08864,70.08864,70.56312
,70.56312,70.56312,71.0867
,71.0867,71.0867,71.61619
,71.61619,71.61619,72.18369
,72.18369,72.18369,72.80523
,72.80523,72.80523,73.478
,73.478,73.478,74.24867
,74.24867,74.24867,75.13423
,75.13423,75.13423,75.974014
,75.974014,75.974014,76.59708
,76.59708,76.59708,77.0105
,77.0105,77.0105,77.233604
,77.233604,77.233604,77.44732
,77.44732,77.44732,77.672005
,77.672005,77.672005,77.99231
,77.99231,77.99231,78.34182
,78.34182,78.34182,78.69295
,78.69295,78.69295,78.97594
,78.97594,78.97594,79.19348
,79.19348,79.19348,79.35909
,79.35909,79.35909,79.477135
,79.477135,79.477135,79.62463
,79.62463,79.62463,79.83571
,79.83571,79.83571,80.11392
,80.11392,80.11392,80.367355
,80.367355,80.367355,80.7148
,80.7148,80.7148,81.18458
,81.18458,81.18458,81.893005
,81.893005,81.893005,82.90944
,82.90944,82.90944,83.78016
,83.78016,83.78016,84.372314
,84.372314,84.372314,84.78766
,84.78766,84.78766,85.2601
,85.2601,85.2601,85.807976
,85.807976,85.807976,86.36274
,86.36274,86.36274,86.82105
,86.82105,86.82105,87.30997
,87.30997,87.30997,87.97287
,87.97287,87.97287,88.63631
,88.63631,88.63631,89.265495
,89.265495,89.265495,89.6265
,89.6265,89.6265,89.841705
,89.841705,89.841705,90.055405
,90.055405,90.055405,90.28588
,90.28588,90.28588,90.50916
,90.50916,90.50916,90.87399
,90.87399,90.87399,91.34368
,91.34368,91.34368,91.98174
,91.98174,91.98174,92.74255
,92.74255,92.74255,93.523575
,93.523575,93.523575,94.19687
,94.19687,94.19687,94.82085
,94.82085,94.82085,95.443474
,95.443474,95.443474,95.94996
,95.94996,95.94996,96.28346
,96.28346,96.28346,96.6061
,96.6061,96.6061,96.86517
,96.86517,96.86517,97.053055
,97.053055,97.053055,96.867065
,96.867065,96.867065,96.31549
,96.31549,96.31549,95.732765
,95.732765,95.732765,95.18178
,95.18178,95.18178,94.820206
,94.820206,94.820206,94.747116
,94.747116,94.747116,95.61148
,95.61148,95.61148,97.466866
,97.466866,97.466866,99.89112
,99.89112,99.89112,102.39831
,102.39831,102.39831,104.90235
,104.90235,104.90235,107.02856
,107.02856,107.02856,108.73094
,108.73094,108.73094,109.79638
,109.79638,109.79638,110.53683
,110.53683,110.53683,111.27264
,111.27264,111.27264,112.04378
,112.04378,112.04378,112.75791
,112.75791,112.75791,113.41375
,113.41375,113.41375,113.99895
,113.99895,113.99895,114.6708
,114.6708,114.6708,115.83935
,115.83935,115.83935,117.50467
,117.50467,117.50467,119.29019
,119.29019,119.29019,121.01164
,121.01164,121.01164,122.41756
,122.41756,122.41756,123.41589
,123.41589,123.41589,124.346
,124.346,124.346,125.65268
,125.65268,125.65268,127.06859
,127.06859,127.06859,127.59753
,127.59753,127.59753,127.147156
,127.147156,127.147156,125.52257
,125.52257,125.52257,123.46987
,123.46987,123.46987,121.28869
,121.28869,121.28869,119.13425
,119.13425,119.13425,117.42516
,117.42516,117.42516,116.294
,116.294,116.294,115.41658
,115.41658,115.41658,114.52039
,114.52039,114.52039,113.34892
,113.34892,113.34892,112.22576
,112.22576,112.22576,111.47057
,111.47057,111.47057,110.784355
,110.784355,110.784355,110.1423
,110.1423,110.1423,109.87068
,109.87068,109.87068,110.177765
,110.177765,110.177765,110.849
,110.849,110.849,111.74857
,111.74857,111.74857,112.77104
,112.77104,112.77104,113.50888
,113.50888,113.50888,114.10447
,114.10447,114.10447,114.40382
,114.40382,114.40382,114.55191
,114.55191,114.55191,114.641914
,114.641914,114.641914,114.852
,114.852,114.852,115.70913
,115.70913,115.70913,116.89247
,116.89247,116.89247,118.069374
,118.069374,118.069374,119.02289
,119.02289,119.02289,119.58039
,119.58039,119.58039,119.56759
,119.56759,119.56759,119.22466
,119.22466,119.22466,118.73639
,118.73639,118.73639,118.15861
,118.15861,118.15861,117.520454
,117.520454,117.520454,116.89462
,116.89462,116.89462,116.45509
,116.45509,116.45509,115.85204
,115.85204,115.85204,115.33263
,115.33263,115.33263,114.56365
,114.56365,114.56365,113.53754
,113.53754,113.53754,112.54558
,112.54558,112.54558,112.071236
,112.071236,112.071236,112.42564
,112.42564,112.42564,113.37486
,113.37486,113.37486,114.38784
,114.38784,114.38784,115.16788
,115.16788,115.16788,115.90658
,115.90658,115.90658,116.633446
,116.633446,116.633446,117.30348
,117.30348,117.30348,117.94236
,117.94236,117.94236,118.46313
,118.46313,118.46313,118.73842
,118.73842,118.73842,118.829895
,118.829895,118.829895,118.7297
,118.7297,118.7297,118.25523
,118.25523,118.25523,117.58803
,117.58803,117.58803,116.97572
,116.97572,116.97572,116.562584
,116.562584,116.562584,116.52361
,116.52361,116.52361,117.05272
,117.05272,117.05272,118.0134
,118.0134,118.0134,119.12607
,119.12607,119.12607,120.12044
,120.12044,120.12044,120.987946
,120.987946,120.987946,121.76579
,121.76579,121.76579,122.259895
,122.259895,122.259895,122.556435
,122.556435,122.556435,122.683586
,122.683586,122.683586,122.64811
,122.64811,122.64811,122.93332
,122.93332,122.93332,123.58595
,123.58595,123.58595,124.4904
,124.4904,124.4904,125.31306
,125.31306,125.31306,126.01722
,126.01722,126.01722,126.853424
,126.853424,126.853424,127.74905
,127.74905,127.74905,128.65012
,128.65012,128.65012,129.80493
,129.80493,129.80493,131.01639
,131.01639,131.01639,132.013
,132.013,132.013,132.63483
,132.63483,132.63483,132.6885
,132.6885,132.6885,132.40526
,132.40526,132.40526,131.7024
,131.7024,131.7024,131.02336
,131.02336,131.02336,130.6543
,130.6543,130.6543,130.38377
,130.38377,130.38377,130.09166
,130.09166,130.09166,129.92067
,129.92067,129.92067,129.76471
,129.76471,129.76471,129.4588
,129.4588,129.4588,129.06767
,129.06767,129.06767,128.97394
,128.97394,128.97394,129.56125
,129.56125,129.56125,
