,Title,index,URL,Date,Symbol,date_plus_28,date_plus_7,date_plus_1,Price,price_plus_28,price_plus_7,price_plus_1,return_28,return_7,return_1,rating_28,rating_7,rating_1
0,Apple Inc. (AAPL) CEO Tim Cook on Q4 2020 Results - Earnings Call Transcript,0,/article/4382943-apple-inc-aapl-ceo-tim-cook-on-q4-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A1,2020-10-29,AAPL,2020-11-26,2020-11-05,2020-10-30,115.31999969482422,116.58999633789062,119.02999877929688,108.86000061035156,0.01101280477304245,0.03217134143505529,-0.05601802897648289,hold,hold,sell
1,Apple Inc. (AAPL) CEO Tim Cook on Q3 2020 Results - Earnings Call Transcript,1,/article/4362707-apple-inc-aapl-ceo-tim-cook-on-q3-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A2,2020-07-30,AAPL,2020-08-27,2020-08-06,2020-07-31,96.19000244140624,125.01000213623048,113.90249633789062,106.26000213623048,0.2996153338532228,0.1841406949466904,0.1046886312427151,buy,buy,buy
2,Apple Inc. (AAPL) CEO Tim Cook on Q2 2020 Results - Earnings Call Transcript,2,/article/4341792-apple-inc-aapl-ceo-tim-cook-on-q2-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A3,2020-04-30,AAPL,2020-05-28,2020-05-07,2020-05-01,73.44999694824219,79.5625,75.93499755859375,72.26750183105469,0.08321992247413013,0.03383254885773046,-0.01609932152918625,buy,hold,hold
3,Apple Inc. (AAPL) CEO Tim Cook on Q1 2020 Results - Earnings Call Transcript,3,/article/4319666-apple-inc-aapl-ceo-tim-cook-on-q1-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A4,2020-01-28,AAPL,2020-02-25,2020-02-04,2020-01-29,79.42250061035156,72.0199966430664,79.7125015258789,81.08499908447266,-0.09320411609301993,0.0036513697415558877,0.020932336067801982,sell,hold,hold
4,AbbVie Inc.'s (ABBV) CEO Rick Gonzalez on Q3 2020 Results - Earnings Call Transcript,4,/article/4383381-abbvie-inc-s-abbv-ceo-rick-gonzalez-on-q3-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A7,2020-10-30,ABBV,2020-11-27,2020-11-06,2020-10-31,85.0999984741211,104.88999938964844,92.8499984741211,88.25,0.23254995617356533,0.09106933183267651,0.03701529473983278,buy,buy,hold
5,AbbVie Inc. (ABBV) CEO Rick Gonzalez on Q2 2020 Results - Earnings Call Transcript,5,/article/4363134-abbvie-inc-abbv-ceo-rick-gonzalez-on-q2-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A9,2020-07-31,ABBV,2020-08-28,2020-08-07,2020-08-01,94.91000366210938,94.16999816894531,92.91999816894531,95.94000244140624,-0.007796917760097943,-0.02096728918322155,0.010852373190962883,hold,hold,hold
6,AbbVie Inc. (ABBV) CEO Rick Gonzalez on Q1 2020 Results - Earnings Call Transcript,6,/article/4342124-abbvie-inc-abbv-ceo-rick-gonzalez-on-q1-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A10,2020-05-01,ABBV,2020-05-29,2020-05-08,2020-05-02,82.83999633789062,92.66999816894531,83.95999908447266,81.86000061035156,0.11866250924203015,0.013520072381627335,-0.011829982748210455,buy,hold,hold
7,AbbVie Inc. (ABBV) CEO Rick Gonzalez on Q4 2019 Results - Earnings Call Transcript,7,/article/4322499-abbvie-inc-abbv-ceo-rick-gonzalez-on-q4-2019-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A11,2020-02-07,ABBV,2020-03-06,2020-02-14,2020-02-08,92.29000091552734,88.81999969482422,94.0500030517578,94.75,-0.03759888597118122,0.01907034476943359,0.026655098711335867,hold,hold,hold
8,Abbott Laboratories (ABT) CEO Robert Ford on Q3 2020 Results - Earnings Call Transcript,8,/article/4380361-abbott-laboratories-abt-ceo-robert-ford-on-q3-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A2,2020-10-21,ABT,2020-11-18,2020-10-28,2020-10-22,105.93000030517578,109.7699966430664,106.41999816894531,109.4800033569336,0.036250319331897485,0.004625676034720083,0.03351272577674447,hold,hold,hold
9,"Abbott Laboratories (ABT) CEO, Robert Ford on Q2 2020 Results - Earnings Call Transcript",9,/article/4358872-abbott-laboratories-abt-ceo-robert-ford-on-q2-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A4,2020-07-16,ABT,2020-08-13,2020-07-23,2020-07-17,96.4000015258789,101.0999984741211,100.81999969482422,99.25,0.04875515429302624,0.04585060268654395,0.029564299056115795,hold,hold,hold
10,"Abbott Laboratories (ABT) CEO, Robert Ford on Q1 2020 Results - Earnings Call Transcript",10,/article/4338017-abbott-laboratories-abt-ceo-robert-ford-on-q1-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A6,2020-04-16,ABT,2020-05-14,2020-04-23,2020-04-17,96.0,91.77999877929688,93.94000244140624,96.01000213623048,-0.04395834604899085,-0.021458307902018414,0.00010418891906760486,hold,hold,hold
