Symbol,Name,GICS Sector_x,GICS Sub-Industry_x,Headquarters Location_x,Date first added_x,CIK_x,Founded_x,GICS Sector_y,GICS Sub-Industry_y,Headquarters Location_y,Date first added_y,CIK_y,Founded_y
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,320193,1977,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,320193,1977
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31,1551152,2013 (1888),Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31,1551152,2013 (1888)
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800,1888,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,1800,1888
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1467373,1989,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,1467373,1989
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",1997-05-05,796343,1982,Information Technology,Application Software,"San Jose, California",1997-05-05,796343,1982
AIG,American International Group,Financials,Property & Casualty Insurance,"New York, New York",1980-03-31,5272,1919,Financials,Property & Casualty Insurance,"New York, New York",1980-03-31,5272,1919
ALL,Allstate,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995-07-13,899051,1931,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995-07-13,899051,1931
AMGN,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,318154,1980,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,318154,1980
AMT,American Tower,Real Estate,Specialized REITs,"Boston, Massachusetts",2007-11-19,1053507,1995,Real Estate,Specialized REITs,"Boston, Massachusetts",2007-11-19,1053507,1995
AMZN,Amazon.com,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18,1018724,1994,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18,1018724,1994
AXP,American Express,Financials,Consumer Finance,"New York, New York",1976-06-30,4962,1850,Financials,Consumer Finance,"New York, New York",1976-06-30,4962,1850
BA,Boeing Co.,Industrials,Aerospace & Defense,"Chicago, Illinois",1957-03-04,12927,1916,Industrials,Aerospace & Defense,"Chicago, Illinois",1957-03-04,12927,1916
BAC,Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30,70858,1998 (1923 / 1874),Financials,Diversified Banks,"Charlotte, North Carolina",1976-06-30,70858,1998 (1923 / 1874)
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",2003-11-13,875045,1978,Health Care,Biotechnology,"Cambridge, Massachusetts",2003-11-13,875045,1978
BK,The Bank of New York Mellon,Financials,Asset Management & Custody Banks,"New York, New York",1995-03-31,1390777,1784,Financials,Asset Management & Custody Banks,"New York, New York",1995-03-31,1390777,1784
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",2009-11-06,1075531,1996,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",2009-11-06,1075531,1996
BLK,BlackRock Inc,Financials,Asset Management & Custody Banks,"New York, New York",2011-04-04,1364742,1988,Financials,Asset Management & Custody Banks,"New York, New York",2011-04-04,1364742,1988
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,"New York, New York",1957-03-04,14272,1989,Health Care,Health Care Distributors,"New York, New York",1957-03-04,14272,1989
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,1067983,1839,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010-02-16,1067983,1839
C,Citigroup Inc,Financials,Diversified Banks,"New York, New York",1988-05-31,831001,1998,Financials,Diversified Banks,"New York, New York",1988-05-31,831001,1998
