title,url,date,ticker
Apple Inc. (AAPL) CEO Tim Cook on Q4 2020 Results - Earnings Call Transcript,/article/4382943-apple-inc-aapl-ceo-tim-cook-on-q4-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A1,10/29/2020,AAPL
Apple Inc. (AAPL) CEO Tim Cook on Q3 2020 Results - Earnings Call Transcript,/article/4362707-apple-inc-aapl-ceo-tim-cook-on-q3-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A2,7/30/2020,AAPL
Apple Inc. (AAPL) CEO Tim Cook on Q2 2020 Results - Earnings Call Transcript,/article/4341792-apple-inc-aapl-ceo-tim-cook-on-q2-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A3,4/30/2020,AAPL
Apple Inc. (AAPL) CEO Tim Cook on Q1 2020 Results - Earnings Call Transcript,/article/4319666-apple-inc-aapl-ceo-tim-cook-on-q1-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A4,1/28/2020,AAPL
AbbVie (ABBV) Presents Immunology Strategy Update and Long Term Outlook - Slideshow,/article/4394879-abbvie-abbv-presents-immunology-strategy-update-and-long-term-outlook-slideshow?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A3,12/15/2020,ABBV
AbbVie Inc. (ABBV) Presents at Piper Sandler 32nd Annual Healthcare Conference (Transcript),/article/4392835-abbvie-inc-abbv-presents-piper-sandler-32nd-annual-healthcare-conference-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A4,12/3/2020,ABBV
AbbVie (ABBV) Management on Evercore ISI 3rd Annual HealthCONx Conference,/article/4392665-abbvie-abbv-management-on-evercore-isi-3rd-annual-healthconx-conference?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A5,12/2/2020,ABBV
AbbVie Inc. (ABBV) Presents at Wolfe Research Healthcare Conference (Transcript),/article/4390402-abbvie-inc-abbv-presents-wolfe-research-healthcare-conference-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A6,11/19/2020,ABBV
AbbVie Inc.'s (ABBV) CEO Rick Gonzalez on Q3 2020 Results - Earnings Call Transcript,/article/4383381-abbvie-inc-s-abbv-ceo-rick-gonzalez-on-q3-2020-results-earnings-call-transcript?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A7,10/30/2020,ABBV
AbbVie Inc. (ABBV) CEO Rick Gonzalez Presents at Morgan Stanley 18th Annual Global Healthcare Conference (Transcript),/article/4374769-abbvie-inc-abbv-ceo-rick-gonzalez-presents-morgan-stanley-18th-annual-global-healthcare?source=content_type%3Areact%7Csection%3ATranscripts%7CsectionAsset%3ATranscripts%7Cfirst_level_url%3Asymbol%7Cbutton%3AAuthor%7Clock_status%3ANo%7Cline%3A8,9/16/2020,ABBV
